,main - pass,main - fail,pass - main,pass - fail,fail - main,fail - pass
0,F337,F153,F252,F153,F152,F152
1,F4,F157,F471,F157,F16,F16
2,F572,F159,F524,F159,F185,F185
3,F573,F198,F574,F198,F187,F187
4,,F200,,F200,F206,F206
5,,F201,,F201,F209,F209
6,,F21,,F21,F244,F244
7,,F26,,F26,F245,F245
8,,F273,,F273,F246,F246
9,,F292,,F292,F252,F287
10,,F319,,F319,F287,F321
11,,F32,,F32,F321,F342
12,,F33,,F33,F342,F347
13,,F334,,F334,F347,F382
14,,F337,,F34,F382,F383
15,,F34,,F345,F383,F384
16,,F345,,F35,F384,F4
17,,F35,,F39,F413,F413
18,,F39,,F407,F425,F425
19,,F407,,F411,F457,F457
20,,F411,,F426,F459,F459
21,,F426,,F470,F46,F46
22,,F470,,F471,F478,F478
23,,F474,,F474,F516,F516
24,,F476,,F476,F517,F517
25,,F525,,F525,F518,F518
26,,F550,,F550,F524,F572
27,,F551,,F551,F574,F573
28,,F553,,F553,F576,F576
29,,F554,,F554,F577,F577
30,,F556,,F556,F74,F74
31,,F557,,F557,,
32,,F569,,F569,,
33,,F578,,F578,,
34,,F72,,F72,,
