,F152,F16,F185,F187,F206,F209,F244,F245,F246,F252,F287,F321,F342,F347,F382,F383,F384,F4,F413,F425,F457,F459,F46,F478,F516,F517,F518,F524,F572,F573,F574,F576,F577,F74
0,0.4734,10.0433,5.72,11.19,0.0,0.0,,,,2.8374,0.1337,1.6252,0.0,0.0,,,,1.3602,29.0271,4.7141,4.0502,1.7924,723.3092,0.0,,,,4.856,8.95,0.3157,3.0624,1.6765,14.9509,0.0
1,0.5666,9.2599,6.92,9.05,0.0,0.0,,,,3.8999,0.1662,1.8045,0.0,0.0,,,,0.8294,27.7464,6.1188,4.7448,1.4336,724.8264,0.0,,,,6.6475,5.92,0.2653,2.0111,1.1065,10.9003,0.0
2,0.4909,9.3144,9.21,17.87,0.0,0.0,,,,4.1446,0.1479,2.568,0.0,0.0,,,,1.5102,21.6062,5.2707,6.528,2.8042,734.7924,0.0,,,,7.087,11.21,0.1882,4.0923,2.0952,9.2721,0.0
3,1.3029,9.6924,5.69,18.2,0.0,0.0,,,,3.2119,0.3882,1.7339,0.0,0.0,,,,1.3204,14.5054,13.442,3.9918,2.8555,733.8778,0.0,,,,5.4751,9.33,0.1738,2.8971,1.7585,8.5831,0.0
4,0.4434,10.3387,3.98,25.54,0.0,0.0,,,,2.5775,0.1293,1.1229,0.0,0.0,,,,1.5334,24.4142,4.2892,2.8822,3.8248,789.7523,0.0,,,,4.4146,8.83,0.2224,3.1776,1.6597,10.9698,0.0
5,0.5564,9.2441,7.92,21.62,0.0,0.0,,,,2.6668,0.1614,2.3901,0.0,0.0,,,,1.5334,24.4142,6.0186,5.7538,3.3771,746.8692,0.0,,,,4.5466,8.91,0.3201,2.2598,1.6679,13.7755,0.0
6,0.4136,9.999,5.04,6.91,0.0,0.0,,,,3.4843,0.1207,1.6849,0.0,0.0,,,,0.8294,27.7464,4.1364,3.4406,1.0951,723.4934,0.0,,,,5.9234,6.48,0.2027,2.2019,1.1958,8.3645,0.0
7,1.3097,9.6836,7.61,21.7,0.0,0.0,,,,2.7835,0.3878,2.7469,0.0,0.0,,,,0.7884,7.321,13.525,5.5678,3.4032,745.6875,0.0,,,,4.7144,278.19,0.354,92.5866,56.4274,16.0862,0.0
8,1.3892,9.7046,5.63,19.79,0.0,0.0,,,,2.8729,0.4127,1.6988,0.0,0.0,,,,0.7884,7.321,14.3147,4.0705,3.0923,745.4127,0.0,,,,4.8876,7.09,0.3168,2.4902,1.3248,14.2892,0.0
9,1.2564,9.7046,10.29,23.39,0.0,0.0,,,,2.9198,0.3714,3.1792,0.0,0.0,,,,0.7884,7.321,12.9464,7.5033,3.6557,746.1649,0.0,,,,5.0025,3.54,0.1676,1.0395,0.6636,7.4181,0.0
10,0.4291,10.2918,3.04,18.95,0.0,0.0,,,,2.6472,0.1211,0.8803,0.0,0.0,,,,1.3204,8.7145,4.1698,2.2007,3.0341,723.2513,0.0,,,,4.5221,9.5699,0.2723,3.3618,1.7983,14.5507,0.0
