,F152,F153,F157,F159,F16,F185,F187,F198,F200,F201,F206,F209,F21,F244,F245,F246,F252,F26,F273,F287,F292,F319,F32,F321,F33,F334,F337,F34,F342,F345,F347,F35,F382,F383,F384,F39,F4,F407,F411,F413,F425,F426,F457,F459,F46,F470,F471,F474,F476,F478,F516,F517,F518,F524,F525,F550,F551,F553,F554,F556,F557,F569,F572,F573,F574,F576,F577,F578,F72,F74
0,0.4734,0.0167,,1017.0,10.0433,5.72,11.19,0.296,10.3,5.38,0.0,0.0,-5419.0,,,,2.8374,1.773,15.9525,0.1337,,5.3737,83.3971,1.6252,9.5126,0.0913,1.5989,50.617,0.0,,0.0,64.2588,,,,117.5132,1.3602,1.4392,2.1118,29.0271,4.7141,1.7275,4.0502,1.7924,723.3092,2.7864,9.7752,13.6778,31.9893,0.0,,,,4.856,3.1406,12.93,0.78,5.7349,0.3363,3.2687,1.0297,,8.95,0.3157,3.0624,1.6765,14.9509,,,0.0
1,0.5666,0.0144,,568.0,9.2599,6.92,9.05,0.316,8.02,3.74,0.0,0.0,-5441.5,,,,3.8999,2.0143,17.4008,0.1662,,5.2445,84.9052,1.8045,9.7997,0.0878,1.1506,50.6596,0.0,,0.0,64.2828,,,,118.1188,0.8294,1.0323,2.5197,27.7464,6.1188,1.4857,4.7448,1.4336,724.8264,3.0652,10.2211,13.243,30.8643,0.0,,,,6.6475,3.131,16.0,1.33,7.1196,0.4989,3.9139,1.7819,,5.92,0.2653,2.0111,1.1065,10.9003,0.0096,,0.0
2,0.4909,0.0177,,562.0,9.3144,9.21,17.87,0.949,16.73,5.09,0.0,0.0,-5447.75,,,,4.1446,2.0295,15.7716,0.1479,,6.1797,84.7569,2.568,8.659,0.2777,1.5481,50.153,0.0,13.5664,0.0,64.1114,,,,118.6128,1.5102,1.1798,2.0627,21.6062,5.2707,1.8268,6.528,2.8042,734.7924,9.3327,8.3977,45.5423,13.3923,0.0,,,,7.087,12.1831,16.16,0.85,7.1619,0.3752,3.9306,1.1386,68.8489,11.21,0.1882,4.0923,2.0952,9.2721,0.0584,140.6972,0.0
3,1.3029,0.015,,859.0,9.6924,5.69,18.2,1.264,13.56,5.92,0.0,0.0,-5468.25,,,,3.2119,2.0038,16.9347,0.3882,,6.3329,84.9105,1.7339,8.6789,0.3512,1.7317,50.51,0.0,8.4026,0.0,64.1125,,,,117.0442,1.3204,1.1907,2.1737,14.5054,13.442,1.5441,3.9918,2.8555,733.8778,12.3786,9.1494,48.4887,35.4323,0.0,,,,5.4751,6.7553,131.68,39.33,56.9303,17.4781,35.3198,54.2917,25.0363,9.33,0.1738,2.8971,1.7585,8.5831,0.0202,160.321,0.0
4,0.4434,0.0126,,699.0,10.3387,3.98,25.54,0.519,19.77,5.52,0.0,0.0,-5476.25,,,,2.5775,1.9912,17.4864,0.1293,,11.0583,86.3269,1.1229,8.7677,0.1773,1.6216,50.248,0.0,,0.0,64.1511,,,,121.4364,1.5334,1.1704,2.185,24.4142,4.2892,1.2943,2.8822,3.8248,789.7523,5.2987,7.4365,19.1303,42.6838,0.0,,,,4.4146,2.9954,19.63,1.98,9.7608,0.8311,4.9086,2.5014,,8.83,0.2224,3.1776,1.6597,10.9698,,,0.0
5,0.5564,0.0106,,2089.0,9.2441,7.92,21.62,1.003,21.78,6.61,0.0,0.0,-6058.0,,,,2.6668,1.7775,17.4864,0.1614,,10.178,85.4233,2.3901,9.6484,0.3364,1.9589,50.5795,0.0,,0.0,64.072,,,,117.4928,1.5334,1.0323,2.185,24.4142,6.0186,1.0841,5.7538,3.3771,746.8692,10.1989,9.0384,52.6935,56.539,0.0,,,,4.5466,4.406,16.06,1.65,7.2448,0.6268,3.896,2.0541,22.5598,8.91,0.3201,2.2598,1.6679,13.7755,0.0342,,0.0
6,0.4136,0.0189,,2117.0,9.999,5.04,6.91,0.247,14.05,3.43,0.0,0.0,-6154.0,,,,3.4843,1.7715,17.4008,0.1207,,5.1685,87.1543,1.6849,9.1502,0.0725,0.8887,50.2847,0.0,,0.0,64.2476,,,,121.8664,0.8294,0.8583,2.5197,27.7464,4.1364,1.9544,3.4406,1.0951,723.4934,2.3822,10.4319,17.4307,29.9535,0.0,,,,5.9234,4.734,13.73,0.87,5.4711,0.371,3.3955,1.2077,,6.48,0.2027,2.2019,1.1958,8.3645,,,0.0
7,1.3097,0.016,,233.0,9.6836,7.61,21.7,1.026,12.63,4.72,0.0,0.0,-5395.5,,,,2.7835,1.9893,19.9839,0.3878,,10.9128,83.8887,2.7469,8.7289,0.3503,1.4892,50.4685,0.0,,0.0,64.4021,,,,116.5628,0.7884,0.791,2.4679,7.321,13.525,1.6483,5.5678,3.4032,745.6875,10.428,9.6785,29.3676,71.7657,0.0,,,,4.7144,4.2075,15.97,0.76,6.4786,0.3589,3.9131,1.029,23.6052,278.19,0.354,92.5866,56.4274,16.0862,0.0204,,0.0
8,1.3892,0.0151,,5781.0,9.7046,5.63,19.79,0.877,16.32,5.09,0.0,0.0,-4196.5,,,,2.8729,1.323,19.9839,0.4127,,9.2406,85.4274,1.6988,9.6234,0.3266,1.5156,50.4893,0.0,,0.0,63.9315,,,,117.419,0.7884,0.791,2.4679,7.321,14.3147,1.5571,4.0705,3.0923,745.4127,8.9128,9.0916,34.4251,44.9089,0.0,,,,4.8876,6.5231,17.54,1.36,8.2095,0.5478,4.2941,1.8374,18.212,7.09,0.3168,2.4902,1.3248,14.2892,0.0111,,0.0
9,1.2564,0.0179,,862.0,9.7046,10.29,23.39,1.179,5.58,6.18,0.0,0.0,-5357.5,,,,2.9198,1.778,19.9839,0.3714,,10.6022,83.8887,3.1792,8.7289,0.4002,1.9743,50.4685,0.0,,0.0,64.4021,,,,116.5628,0.7884,0.791,2.4679,7.321,12.9464,1.8549,7.5033,3.6557,746.1649,12.1954,13.4911,30.7396,63.2981,0.0,,,,5.0025,7.4717,15.15,1.11,6.509,0.4257,3.8209,1.4788,5.8617,3.54,0.1676,1.0395,0.6636,7.4181,0.0212,,0.0
10,0.4291,0.0183,,5655.0,10.2918,3.04,18.95,0.477,17.24,4.07,0.0,0.0,-2727.5,,,,2.6472,0.8847,18.0919,0.1211,,6.2918,84.7569,0.8803,8.659,0.1202,1.0726,50.153,0.0,7.87,0.0,64.1114,,,,118.6128,1.3204,1.1704,2.419,8.7145,4.1698,1.8942,2.2007,3.0341,723.2513,4.4961,9.4525,39.6661,24.5336,0.0,,,,4.5221,4.8734,17.93,0.89,7.8882,0.3612,4.3557,1.1944,15.4411,9.5699,0.2723,3.3618,1.7983,14.5507,0.0355,151.5228,0.0
11,0.4533,0.0167,,2352.0,10.113,7.17,23.08,0.746,13.78,2.08,0.0,0.0,-6097.75,,,,3.064,1.7695,16.6372,0.1335,,10.6289,85.4274,1.7992,9.6234,0.2879,0.6579,50.4893,0.0,,0.0,63.9315,,,,117.419,0.9959,1.6248,2.3541,27.8475,4.4827,1.725,5.2408,3.5979,749.2445,7.6268,11.0886,31.0008,51.7796,0.0,,,,5.1428,5.2886,14.32,0.43,7.1523,0.1713,3.5881,0.5671,13.0129,7.74,0.28,2.8659,1.4501,12.8058,0.037,,0.0
12,0.5815,0.0186,,971.0,9.5007,8.33,13.64,0.747,17.96,7.11,0.0,0.0,-5521.25,,,,3.4391,2.0107,18.0919,0.1709,,6.8271,84.9105,2.3822,8.6789,0.2175,1.9911,50.51,0.0,13.23,0.0,64.1125,,,,117.0442,1.3204,0.8583,2.419,8.7145,6.1204,1.9245,6.0288,2.136,740.1569,7.6114,7.7847,45.2117,24.1399,0.0,,,,5.8568,6.2801,17.48,1.61,8.5332,0.5961,4.2757,1.9735,,9.95,0.1291,2.6544,1.8767,6.5577,0.0188,158.0006,0.0
13,0.3514,0.0341,,2413.0,10.4109,5.02,14.76,0.279,12.63,3.57,0.0,0.0,-6069.75,,,,3.179,1.7822,17.5461,0.1035,,6.2531,83.7998,1.309,8.7977,0.0816,1.1474,50.4285,0.0,,0.0,64.202,,,,116.536,1.4668,1.2284,2.4171,9.2374,3.3751,3.5863,3.638,2.3752,723.0309,2.645,9.5918,13.9898,6.6225,0.0,,,,5.3373,3.9474,14.44,1.13,7.1552,0.4541,3.6099,1.5411,23.8168,9.93,0.2785,3.441,1.8622,12.4598,,,0.0
14,0.8038,0.014,,5726.0,9.7825,9.59,19.25,0.491,17.34,3.91,0.0,0.0,-1431.5,,,,3.8517,0.439,22.6271,0.2881,,6.6228,85.0922,2.8768,9.2007,0.1525,1.2491,50.1899,0.0,4.6047,0.0,64.2199,,,,118.2566,1.2924,1.2284,2.8814,13.7861,8.2173,1.4406,6.9999,3.0576,732.4237,4.699,6.1078,22.3212,15.768,0.0,,,,6.8096,5.1066,14.17,1.06,6.3017,0.5242,3.5513,1.3017,,11.42,0.3692,3.7724,2.144,16.1875,0.0202,151.6967,0.0
15,0.6427,0.0105,,5803.0,9.5917,5.36,18.32,0.613,10.4,3.1,0.0,0.0,-2694.75,,,,4.8847,0.8882,22.6271,0.2181,,6.8385,85.0922,2.0794,9.2007,0.1685,1.0242,50.1899,0.0,4.5432,0.0,64.2199,,,,118.2566,1.2924,0.8041,2.8814,13.7861,6.7005,1.0833,3.9388,2.9078,734.8382,6.0357,6.137,23.2655,21.0437,0.0,,,,8.5439,5.4568,17.42,0.85,7.8265,0.3892,4.3389,1.1509,,8.53,0.3049,2.8829,1.5911,13.1895,0.0174,159.7713,0.0
16,0.3917,0.0137,,601.0,9.1999,6.87,17.15,1.183,15.7,2.59,0.0,0.0,-5757.25,,,,2.7255,2.0055,17.4686,0.1247,,7.0729,86.3472,1.7471,9.1283,0.356,0.6749,50.1869,0.0,6.4935,0.0,64.0917,,,,122.0886,1.395,0.8041,2.1143,44.9094,4.2581,1.4197,4.9191,2.644,755.3431,11.5505,7.5067,13.101,20.9306,0.0,,,,4.6061,6.1799,17.03,0.97,7.0198,0.4229,4.1619,1.2759,19.9909,8.43,0.2364,2.766,1.5675,11.1971,0.0184,163.5055,0.0
17,0.455,0.0126,,1653.0,9.4147,3.21,15.2,1.148,11.45,4.9,0.0,0.0,-5612.5,,,,2.9492,1.7835,17.4686,0.1376,,7.2303,85.0465,1.0938,8.5762,0.3114,1.4931,50.0595,0.0,3.637,0.0,63.8294,,,,117.7632,1.395,0.8041,2.1143,44.9094,4.8332,1.3003,2.2909,2.3405,756.6351,11.4517,6.2616,14.7892,10.2185,0.0,,,,5.0285,6.6861,,,,,,,18.6964,10.26,0.4839,3.5183,1.9291,22.148,,170.5815,0.0
18,0.4062,0.0142,,1036.0,9.847,4.14,16.88,0.44,17.69,5.3,0.0,0.0,-5575.25,,,,2.793,1.9803,29.3685,0.1433,,6.9173,85.3498,1.4088,8.6397,0.1316,1.7522,50.6324,0.0,5.4768,0.0,64.1999,,,,117.674,1.2043,0.7969,3.3841,25.4663,4.1254,1.4616,2.9207,2.6103,749.7516,4.3102,7.2194,25.9254,13.6881,0.0,,,,4.6954,4.5438,14.63,1.48,6.18,0.6754,3.5928,1.9857,16.3603,6.0,0.3148,2.3022,1.1273,13.7941,,166.6571,0.0
19,0.3257,0.0146,,906.0,10.1924,6.66,13.16,0.89,10.43,6.25,0.0,0.0,-5469.25,,,,2.3663,2.0157,18.0418,0.0976,,6.7628,84.9105,1.8735,8.6789,0.2498,1.7887,50.51,0.0,8.0945,0.0,64.1125,,,,117.0442,1.5509,0.7969,2.1369,30.3788,3.1952,1.5012,4.9429,2.0796,734.4697,8.6183,7.952,34.3784,32.1569,0.0,,,,4.0018,5.7825,19.83,1.33,8.1693,0.6061,4.8795,1.7842,,7.81,0.2811,2.2358,1.4608,13.6183,0.0229,160.6463,0.0
20,0.4476,0.017,,227.0,9.7659,6.88,16.41,0.9,11.21,4.46,0.0,0.0,-5441.0,,,,3.36,1.97,,0.1466,,6.6868,85.7939,2.5039,8.6572,0.2957,1.5802,50.2073,0.0,6.5317,0.0,63.9008,,,,117.2894,,0.7969,,,4.583,1.7554,5.0545,2.5459,753.9565,9.0538,6.2285,23.0478,24.9484,0.0,,,,5.7122,4.5416,12.44,0.63,6.109,0.2694,3.0613,0.7907,10.397,6.86,0.3007,2.4529,1.2913,13.5856,,169.1827,0.0
21,0.3507,0.0167,,1001.0,10.3503,6.16,15.4,0.863,17.51,5.9,0.0,0.0,-5434.0,,,,3.447,2.0095,29.3685,0.1078,,7.1292,85.3498,2.0232,8.6397,0.2963,1.8395,50.6324,0.0,4.6444,0.0,64.1999,,,,117.674,1.2043,0.7969,3.3841,25.4663,3.3881,1.7251,4.5117,2.3859,755.3269,8.5785,5.985,23.945,16.926,0.0,,,,5.8732,4.3493,23.06,1.71,10.8976,0.7116,5.621,2.1258,24.1277,8.1,0.206,2.8482,1.5279,9.9804,0.0175,166.6559,0.0
22,0.2777,0.0142,,668.0,10.3647,6.37,17.45,1.069,16.13,5.81,0.0,0.0,-5310.25,,,,3.2127,1.9715,29.3685,0.0829,,6.8796,85.3498,1.7676,8.6397,0.2906,1.8127,50.6324,0.0,4.9853,0.0,64.1999,,,,117.674,1.2043,1.1525,3.3841,25.4663,2.6793,1.4638,4.4208,2.6806,754.3495,10.6502,5.0569,25.8266,25.8499,0.0,,,,5.451,3.3379,14.97,1.33,6.9097,0.5707,3.6801,1.775,18.1074,7.49,0.2964,2.6843,1.4181,12.6981,0.025,175.3178,0.0
23,2.0334,0.0149,,5665.0,8.8407,4.54,16.0,0.893,16.72,3.34,0.0,0.0,-2664.25,,,,3.8766,0.8915,25.2088,0.5969,,6.9612,85.0922,1.5733,9.2007,0.244,0.9001,50.1899,0.0,5.6482,0.0,64.2199,,,,118.2566,1.4022,1.3173,3.6059,11.4366,23.0001,1.5379,3.3049,2.5232,737.734,8.7833,5.8277,18.9409,36.3944,0.0,,,,6.8185,7.3469,15.91,0.91,7.7465,0.4079,3.9718,1.2205,,8.76,0.1682,3.1106,1.6343,8.4505,0.0098,153.3345,0.0
24,0.5142,0.0037,,5366.0,9.5066,6.21,15.55,0.238,11.37,3.32,0.0,0.0,-2681.75,,,,3.2675,0.8862,25.652,0.1881,,6.1235,84.0432,1.614,8.7487,0.0642,1.2514,50.2849,0.0,2.8688,0.0,64.3732,,,,118.7784,1.2639,1.3121,3.0582,9.1854,5.4093,0.3813,4.4525,2.4512,736.8018,2.2761,10.3624,16.1328,11.4665,0.0,,,,5.5411,7.948,20.53,1.66,8.9829,0.7528,5.0015,2.066,,7.17,0.4183,2.6206,1.3383,18.8142,0.0288,152.8594,0.0
25,0.3428,0.0214,,5913.0,9.747,6.39,12.16,0.385,11.35,4.84,0.0,0.0,-2706.0,,,,2.6365,0.8895,17.2584,0.1019,,6.4657,85.0716,1.9739,8.6942,0.1225,1.4067,50.5287,0.0,4.4406,0.0,64.3976,,,,118.0626,1.4918,0.9718,2.4411,41.8356,3.5169,2.24,4.3949,1.9197,726.0669,3.6417,4.8438,19.6543,11.383,0.0,,,,4.4577,3.4051,20.63,0.56,8.7911,0.2431,5.0121,0.7598,24.8352,9.25,0.2794,2.9887,1.7367,12.4036,,148.5884,0.0
26,0.388,0.0213,,542.0,9.8198,3.7,25.5,0.216,19.84,5.3,0.0,0.0,-5611.75,,,,2.3593,2.0137,17.2584,0.1158,,10.1805,84.9052,1.1113,9.7997,0.0696,1.6294,50.6596,0.0,5.7269,0.0,64.2828,,,,118.1188,1.4918,0.9718,2.4411,41.8356,3.9517,2.2223,2.5787,4.0898,720.3336,1.9859,7.1962,23.4105,15.2357,0.0,,,,4.0167,4.9268,,,,,,,30.4914,5.4,0.4222,1.7463,1.018,18.2982,,140.894,0.0
27,3.4114,0.0123,,455.0,10.215,5.92,16.31,0.726,13.36,6.52,0.0,0.0,-5369.0,,,,4.9397,2.0017,20.7635,1.2112,,5.722,84.3324,1.9211,8.9336,0.2409,2.0018,50.5527,0.0,4.191,0.0,64.2529,,,,116.7828,1.3548,1.5844,3.0049,58.1134,33.3963,1.2655,4.4485,2.5505,751.0793,7.5001,6.4521,35.6874,15.6314,0.0,,,,8.4235,79.3919,12.25,0.37,5.289,0.1609,3.0919,0.5048,23.5268,9.37,0.238,3.3671,1.7732,10.2289,0.0183,163.9744,0.0
