,F152,F16,F185,F187,F252,F287,F321,F425,F457,F459,F46,F524,F572,F573,F574,F576,F577
0,0.4734,10.0433,5.72,11.19,2.8374,0.1337,1.6252,4.7141,4.0502,1.7924,723.3092,4.856,8.95,0.3157,3.0624,1.6765,14.9509
1,0.5666,9.2599,6.92,9.05,3.8999,0.1662,1.8045,6.1188,4.7448,1.4336,724.8264,6.6475,5.92,0.2653,2.0111,1.1065,10.9003
2,0.4909,9.3144,9.21,17.87,4.1446,0.1479,2.568,5.2707,6.528,2.8042,734.7924,7.087,11.21,0.1882,4.0923,2.0952,9.2721
3,1.3029,9.6924,5.69,18.2,3.2119,0.3882,1.7339,13.442,3.9918,2.8555,733.8778,5.4751,9.33,0.1738,2.8971,1.7585,8.5831
4,0.4434,10.3387,3.98,25.54,2.5775,0.1293,1.1229,4.2892,2.8822,3.8248,789.7523,4.4146,8.83,0.2224,3.1776,1.6597,10.9698
5,0.5564,9.2441,7.92,21.62,2.6668,0.1614,2.3901,6.0186,5.7538,3.3771,746.8692,4.5466,8.91,0.3201,2.2598,1.6679,13.7755
6,0.4136,9.999,5.04,6.91,3.4843,0.1207,1.6849,4.1364,3.4406,1.0951,723.4934,5.9234,6.48,0.2027,2.2019,1.1958,8.3645
7,1.3097,9.6836,7.61,21.7,2.7835,0.3878,2.7469,13.525,5.5678,3.4032,745.6875,4.7144,278.19,0.354,92.5866,56.4274,16.0862
8,1.3892,9.7046,5.63,19.79,2.8729,0.4127,1.6988,14.3147,4.0705,3.0923,745.4127,4.8876,7.09,0.3168,2.4902,1.3248,14.2892
9,1.2564,9.7046,10.29,23.39,2.9198,0.3714,3.1792,12.9464,7.5033,3.6557,746.1649,5.0025,3.54,0.1676,1.0395,0.6636,7.4181
10,0.4291,10.2918,3.04,18.95,2.6472,0.1211,0.8803,4.1698,2.2007,3.0341,723.2513,4.5221,9.5699,0.2723,3.3618,1.7983,14.5507
11,0.4533,10.113,7.17,23.08,3.064,0.1335,1.7992,4.4827,5.2408,3.5979,749.2445,5.1428,7.74,0.28,2.8659,1.4501,12.8058
12,0.5815,9.5007,8.33,13.64,3.4391,0.1709,2.3822,6.1204,6.0288,2.136,740.1569,5.8568,9.95,0.1291,2.6544,1.8767,6.5577
13,0.3514,10.4109,5.02,14.76,3.179,0.1035,1.309,3.3751,3.638,2.3752,723.0309,5.3373,9.93,0.2785,3.441,1.8622,12.4598
14,0.8038,9.7825,9.59,19.25,3.8517,0.2881,2.8768,8.2173,6.9999,3.0576,732.4237,6.8096,11.42,0.3692,3.7724,2.144,16.1875
15,0.6427,9.5917,5.36,18.32,4.8847,0.2181,2.0794,6.7005,3.9388,2.9078,734.8382,8.5439,8.53,0.3049,2.8829,1.5911,13.1895
16,0.3917,9.1999,6.87,17.15,2.7255,0.1247,1.7471,4.2581,4.9191,2.644,755.3431,4.6061,8.43,0.2364,2.766,1.5675,11.1971
17,0.455,9.4147,3.21,15.2,2.9492,0.1376,1.0938,4.8332,2.2909,2.3405,756.6351,5.0285,10.26,0.4839,3.5183,1.9291,22.148
18,0.4062,9.847,4.14,16.88,2.793,0.1433,1.4088,4.1254,2.9207,2.6103,749.7516,4.6954,6,0.3148,2.3022,1.1273,13.7941
19,0.3257,10.1924,6.66,13.16,2.3663,0.0976,1.8735,3.1952,4.9429,2.0796,734.4697,4.0018,7.81,0.2811,2.2358,1.4608,13.6183
20,0.4476,9.7659,6.88,16.41,3.36,0.1466,2.5039,4.583,5.0545,2.5459,753.9565,5.7122,6.86,0.3007,2.4529,1.2913,13.5856
21,0.3507,10.3503,6.16,15.4,3.447,0.1078,2.0232,3.3881,4.5117,2.3859,755.3269,5.8732,8.1,0.206,2.8482,1.5279,9.9804
22,0.2777,10.3647,6.37,17.45,3.2127,0.0829,1.7676,2.6793,4.4208,2.6806,754.3495,5.451,7.49,0.2964,2.6843,1.4181,12.6981
23,2.0334,8.8407,4.54,16,3.8766,0.5969,1.5733,23.0001,3.3049,2.5232,737.734,6.8185,8.76,0.1682,3.1106,1.6343,8.4505
24,0.5142,9.5066,6.21,15.55,3.2675,0.1881,1.614,5.4093,4.4525,2.4512,736.8018,5.5411,7.17,0.4183,2.6206,1.3383,18.8142
25,0.3428,9.747,6.39,12.16,2.6365,0.1019,1.9739,3.5169,4.3949,1.9197,726.0669,4.4577,9.25,0.2794,2.9887,1.7367,12.4036
26,0.388,9.8198,3.7,25.5,2.3593,0.1158,1.1113,3.9517,2.5787,4.0898,720.3336,4.0167,5.4,0.4222,1.7463,1.018,18.2982
27,3.4114,10.215,5.92,16.31,4.9397,1.2112,1.9211,33.3963,4.4485,2.5505,751.0793,8.4235,9.37,0.238,3.3671,1.7732,10.2289
28,0.4089,9.7745,6.21,13.77,2.381,0.1208,1.5014,4.1837,4.6463,2.1406,755.6347,4.1013,7.41,0.4414,2.5665,1.4217,19.4047
29,0.9961,8.6625,7.22,17.27,2.6898,0.3014,2.3151,11.4986,5.4124,2.7445,739.2852,4.752,8.78,0.4072,3.1722,1.643,18.1292
30,0.3989,9.8631,5.18,16.59,2.9025,0.1221,1.6487,4.0441,3.663,2.6381,723.714,4.937,7.73,0.2625,2.6984,1.4574,12.0275
31,0.446,9.75,7.96,15.68,2.1927,0.1336,2.4309,4.5748,5.8911,2.4867,739.5598,3.9184,7.95,0.219,2.9829,1.4909,9.6586
32,1.4992,9.7447,6.49,15.65,4.2653,0.4608,1.7739,15.3844,4.4997,2.4771,726.2285,7.2939,10.86,0.2539,3.5623,2.024,11.551
33,2.8455,9.672,7.55,16.98,4.441,0.9118,2.1524,29.4205,5.146,2.6937,720.9909,7.5934,11.79,0.2879,4.1245,2.2271,13.4859
34,1.2511,9.6398,5.61,10.35,2.4406,0.4032,1.8478,12.9785,4.1247,1.5944,760.2925,4.3199,8.09,0.3806,2.5269,1.5277,16.6904
35,0.2675,10.4472,4.66,16.98,2.8954,0.0826,1.6215,2.5606,3.2619,2.6435,742.0584,4.8923,5.2,0.3427,1.8732,0.9783,15.1794
36,4.0045,10.499,3.17,13.55,3.6863,1.2261,0.9763,38.142,2.3678,2.1092,754.1593,6.4223,10.9,0.2799,3.6701,2.0459,11.6384
37,4.2234,9.4864,8.17,16.57,4.9502,1.1949,2.4952,44.5204,6.0304,2.6271,738.7487,8.4774,10.35,0.2681,3.3656,1.939,11.8467
38,1.0515,9.7739,4.36,13.74,2.6639,0.3218,1.4851,10.758,3.1685,2.1532,740.5161,4.4824,7.03,0.2962,2.2791,1.3166,15.6351
