,F153,F159,F198,F200,F201,F21,F26,F319,F32,F33,F334,F337,F34,F35,F39,F407,F426,F470,F474,F476,F572,F573
0,0.0167,1017,0.296,10.3,5.38,-5419,1.773,5.3737,83.3971,9.5126,0.0913,1.5989,50.617,64.2588,117.5132,1.4392,1.7275,2.7864,13.6778,31.9893,8.95,0.3157
1,0.0144,568,0.316,8.02,3.74,-5441.5,2.0143,5.2445,84.9052,9.7997,0.0878,1.1506,50.6596,64.2828,118.1188,1.0323,1.4857,3.0652,13.243,30.8643,5.92,0.2653
2,0.0177,562,0.949,16.73,5.09,-5447.75,2.0295,6.1797,84.7569,8.659,0.2777,1.5481,50.153,64.1114,118.6128,1.1798,1.8268,9.3327,45.5423,13.3923,11.21,0.1882
3,0.015,859,1.264,13.56,5.92,-5468.25,2.0038,6.3329,84.9105,8.6789,0.3512,1.7317,50.51,64.1125,117.0442,1.1907,1.5441,12.3786,48.4887,35.4323,9.33,0.1738
4,0.0126,699,0.519,19.77,5.52,-5476.25,1.9912,11.0583,86.3269,8.7677,0.1773,1.6216,50.248,64.1511,121.4364,1.1704,1.2943,5.2987,19.1303,42.6838,8.83,0.2224
5,0.0106,2089,1.003,21.78,6.61,-6058,1.7775,10.178,85.4233,9.6484,0.3364,1.9589,50.5795,64.072,117.4928,1.0323,1.0841,10.1989,52.6935,56.539,8.91,0.3201
6,0.0189,2117,0.247,14.05,3.43,-6154,1.7715,5.1685,87.1543,9.1502,0.0725,0.8887,50.2847,64.2476,121.8664,0.8583,1.9544,2.3822,17.4307,29.9535,6.48,0.2027
7,0.016,233,1.026,12.63,4.72,-5395.5,1.9893,10.9128,83.8887,8.7289,0.3503,1.4892,50.4685,64.4021,116.5628,0.791,1.6483,10.428,29.3676,71.7657,278.19,0.354
8,0.0151,5781,0.877,16.32,5.09,-4196.5,1.323,9.2406,85.4274,9.6234,0.3266,1.5156,50.4893,63.9315,117.419,0.791,1.5571,8.9128,34.4251,44.9089,7.09,0.3168
9,0.0179,862,1.179,5.58,6.18,-5357.5,1.778,10.6022,83.8887,8.7289,0.4002,1.9743,50.4685,64.4021,116.5628,0.791,1.8549,12.1954,30.7396,63.2981,3.54,0.1676
