,F153,F159,F198,F200,F201,F21,F252,F26,F319,F32,F33,F334,F34,F334.1,F35,F39,F407,F426,F470,F471,F474,F476,F524,F574
0,0.0167,1017,0.296,10.3,5.38,-5419,2.8374,1.773,5.3737,83.3971,9.5126,0.0913,50.617,0.0913,64.2588,117.5132,1.4392,1.7275,2.7864,9.7752,13.6778,31.9893,4.856,3.0624
1,0.0144,568,0.316,8.02,3.74,-5441.5,3.8999,2.0143,5.2445,84.9052,9.7997,0.0878,50.6596,0.0878,64.2828,118.1188,1.0323,1.4857,3.0652,10.2211,13.243,30.8643,6.6475,2.0111
2,0.0177,562,0.949,16.73,5.09,-5447.75,4.1446,2.0295,6.1797,84.7569,8.659,0.2777,50.153,0.2777,64.1114,118.6128,1.1798,1.8268,9.3327,8.3977,45.5423,13.3923,7.087,4.0923
3,0.015,859,1.264,13.56,5.92,-5468.25,3.2119,2.0038,6.3329,84.9105,8.6789,0.3512,50.51,0.3512,64.1125,117.0442,1.1907,1.5441,12.3786,9.1494,48.4887,35.4323,5.4751,2.8971
4,0.0126,699,0.519,19.77,5.52,-5476.25,2.5775,1.9912,11.0583,86.3269,8.7677,0.1773,50.248,0.1773,64.1511,121.4364,1.1704,1.2943,5.2987,7.4365,19.1303,42.6838,4.4146,3.1776
5,0.0106,2089,1.003,21.78,6.61,-6058,2.6668,1.7775,10.178,85.4233,9.6484,0.3364,50.5795,0.3364,64.072,117.4928,1.0323,1.0841,10.1989,9.0384,52.6935,56.539,4.5466,2.2598
6,0.0189,2117,0.247,14.05,3.43,-6154,3.4843,1.7715,5.1685,87.1543,9.1502,0.0725,50.2847,0.0725,64.2476,121.8664,0.8583,1.9544,2.3822,10.4319,17.4307,29.9535,5.9234,2.2019
7,0.016,233,1.026,12.63,4.72,-5395.5,2.7835,1.9893,10.9128,83.8887,8.7289,0.3503,50.4685,0.3503,64.4021,116.5628,0.791,1.6483,10.428,9.6785,29.3676,71.7657,4.7144,92.5866
8,0.0151,5781,0.877,16.32,5.09,-4196.5,2.8729,1.323,9.2406,85.4274,9.6234,0.3266,50.4893,0.3266,63.9315,117.419,0.791,1.5571,8.9128,9.0916,34.4251,44.9089,4.8876,2.4902
9,0.0179,862,1.179,5.58,6.18,-5357.5,2.9198,1.778,10.6022,83.8887,8.7289,0.4002,50.4685,0.4002,64.4021,116.5628,0.791,1.8549,12.1954,13.4911,30.7396,63.2981,5.0025,1.0395
10,0.0183,5655,0.477,17.24,4.07,-2727.5,2.6472,0.8847,6.2918,84.7569,8.659,0.1202,50.153,0.1202,64.1114,118.6128,1.1704,1.8942,4.4961,9.4525,39.6661,24.5336,4.5221,3.3618
11,0.0167,2352,0.746,13.78,2.08,-6097.75,3.064,1.7695,10.6289,85.4274,9.6234,0.2879,50.4893,0.2879,63.9315,117.419,1.6248,1.725,7.6268,11.0886,31.0008,51.7796,5.1428,2.8659
