,F152,F153,F159,F16,F185,F187,F198,F200,F201,F21,F252,F26,F273,F287,F319,F32,F321,F33,F334,F337,F34,F35,F39,F4,F407,F411,F413,F425,F426,F457,F459,F46,F470,F471,F474,F476,F524,F572,F573,F574,F576,F577
0,0.4734,0.0167,1017,10.0433,5.72,11.19,0.296,10.3,5.38,-5419,2.8374,1.773,15.9525,0.1337,5.3737,83.3971,1.6252,9.5126,0.0913,1.5989,50.617,64.2588,117.5132,1.3602,1.4392,2.1118,29.0271,4.7141,1.7275,4.0502,1.7924,723.3092,2.7864,9.7752,13.6778,31.9893,4.856,8.95,0.3157,3.0624,1.6765,14.9509
1,0.5666,0.0144,568,9.2599,6.92,9.05,0.316,8.02,3.74,-5441.5,3.8999,2.0143,17.4008,0.1662,5.2445,84.9052,1.8045,9.7997,0.0878,1.1506,50.6596,64.2828,118.1188,0.8294,1.0323,2.5197,27.7464,6.1188,1.4857,4.7448,1.4336,724.8264,3.0652,10.2211,13.243,30.8643,6.6475,5.92,0.2653,2.0111,1.1065,10.9003
2,0.4909,0.0177,562,9.3144,9.21,17.87,0.949,16.73,5.09,-5447.75,4.1446,2.0295,15.7716,0.1479,6.1797,84.7569,2.568,8.659,0.2777,1.5481,50.153,64.1114,118.6128,1.5102,1.1798,2.0627,21.6062,5.2707,1.8268,6.528,2.8042,734.7924,9.3327,8.3977,45.5423,13.3923,7.087,11.21,0.1882,4.0923,2.0952,9.2721
3,1.3029,0.015,859,9.6924,5.69,18.2,1.264,13.56,5.92,-5468.25,3.2119,2.0038,16.9347,0.3882,6.3329,84.9105,1.7339,8.6789,0.3512,1.7317,50.51,64.1125,117.0442,1.3204,1.1907,2.1737,14.5054,13.442,1.5441,3.9918,2.8555,733.8778,12.3786,9.1494,48.4887,35.4323,5.4751,9.33,0.1738,2.8971,1.7585,8.5831
4,0.4434,0.0126,699,10.3387,3.98,25.54,0.519,19.77,5.52,-5476.25,2.5775,1.9912,17.4864,0.1293,11.0583,86.3269,1.1229,8.7677,0.1773,1.6216,50.248,64.1511,121.4364,1.5334,1.1704,2.185,24.4142,4.2892,1.2943,2.8822,3.8248,789.7523,5.2987,7.4365,19.1303,42.6838,4.4146,8.83,0.2224,3.1776,1.6597,10.9698
5,0.5564,0.0106,2089,9.2441,7.92,21.62,1.003,21.78,6.61,-6058,2.6668,1.7775,17.4864,0.1614,10.178,85.4233,2.3901,9.6484,0.3364,1.9589,50.5795,64.072,117.4928,1.5334,1.0323,2.185,24.4142,6.0186,1.0841,5.7538,3.3771,746.8692,10.1989,9.0384,52.6935,56.539,4.5466,8.91,0.3201,2.2598,1.6679,13.7755
6,0.4136,0.0189,2117,9.999,5.04,6.91,0.247,14.05,3.43,-6154,3.4843,1.7715,17.4008,0.1207,5.1685,87.1543,1.6849,9.1502,0.0725,0.8887,50.2847,64.2476,121.8664,0.8294,0.8583,2.5197,27.7464,4.1364,1.9544,3.4406,1.0951,723.4934,2.3822,10.4319,17.4307,29.9535,5.9234,6.48,0.2027,2.2019,1.1958,8.3645
7,1.3097,0.016,233,9.6836,7.61,21.7,1.026,12.63,4.72,-5395.5,2.7835,1.9893,19.9839,0.3878,10.9128,83.8887,2.7469,8.7289,0.3503,1.4892,50.4685,64.4021,116.5628,0.7884,0.791,2.4679,7.321,13.525,1.6483,5.5678,3.4032,745.6875,10.428,9.6785,29.3676,71.7657,4.7144,278.19,0.354,92.5866,56.4274,16.0862
8,1.3892,0.0151,5781,9.7046,5.63,19.79,0.877,16.32,5.09,-4196.5,2.8729,1.323,19.9839,0.4127,9.2406,85.4274,1.6988,9.6234,0.3266,1.5156,50.4893,63.9315,117.419,0.7884,0.791,2.4679,7.321,14.3147,1.5571,4.0705,3.0923,745.4127,8.9128,9.0916,34.4251,44.9089,4.8876,7.09,0.3168,2.4902,1.3248,14.2892
9,1.2564,0.0179,862,9.7046,10.29,23.39,1.179,5.58,6.18,-5357.5,2.9198,1.778,19.9839,0.3714,10.6022,83.8887,3.1792,8.7289,0.4002,1.9743,50.4685,64.4021,116.5628,0.7884,0.791,2.4679,7.321,12.9464,1.8549,7.5033,3.6557,746.1649,12.1954,13.4911,30.7396,63.2981,5.0025,3.54,0.1676,1.0395,0.6636,7.4181
