,Time,Pass/Fail,F1,F2,F3,F4,F6,F7,F8,F9,F10,F11,F12,F14,F15,F16,F17,F18,F19,F20,F22,F23,F24,F25,F28,F29,F30,F31,F36,F37,F38,F40,F41,F43,F44,F45,F46,F47,F48,F50,F51,F53,F54,F55,F56,F58,F59,F60,F61,F62,F63,F64,F65,F66,F68,F70,F71,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F86,F87,F88,F89,F90,F91,F96,F98,F99,F102,F107,F108,F109,F110,F111,F113,F115,F116,F117,F118,F119,F120,F121,F122,F125,F126,F127,F128,F129,F130,F132,F133,F134,F136,F137,F138,F139,F144,F145,F146,F150,F151,F152,F155,F156,F160,F161,F162,F166,F167,F168,F170,F171,F173,F175,F176,F181,F182,F183,F184,F187,F188,F195,F206,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F222,F223,F224,F227,F228,F244,F246,F248,F249,F252,F254,F255,F268,F270,F272,F274,F277,F280,F281,F285,F286,F287,F290,F295,F296,F297,F303,F304,F305,F306,F308,F311,F316,F317,F318,F320,F321,F324,F342,F344,F346,F347,F348,F349,F350,F351,F352,F353,F354,F355,F356,F361,F382,F383,F385,F389,F390,F405,F406,F416,F418,F419,F423,F432,F433,F460,F468,F472,F473,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F491,F496,F499,F500,F510,F511,F521,F526,F545,F546,F547,F548,F558,F559,F562,F563,F564,F570,F571,F573,F574,F575,F577,F579,F581,F586,F587,F589
2,2008-07-19 13:17,1,2559.94,2186.4111,1698.0172,1.5102,95.4878,0.1241,1.4436,0.0041,0.0013,0.9615,202.0179,9.5157,416.7075,9.3144,0.9674,192.7035,12.5404,1.4123,2701.75,-4047.0,-1916.5,1.3122,67.1333,2.3333,0.1734,3.5986,49.847,65.8389,84.7327,14.37,5.434,364.3782,9.8783,131.8027,734.7924,1.2992,141.0845,637.2655,185.7574,4.486,4.748,2936.0,0.9139,4.5873,23.8245,364.5364,10.1685,115.6273,11.3019,16.1755,24.2829,710.5095,145.8,625.9636,84.7681,485.2665,0.0,-0.0078,-0.0326,-0.0052,0.0213,-0.0054,-0.1134,-0.0182,0.0287,7.1041,0.1362,2.4532,0.988,1685.8514,0.1497,9317.1698,0.0553,-0.1343,-0.1427,0.1218,0.0134,-0.0301,-0.0728,,,,0.9231,718.5777,0.9899,58.4808,0.6015,0.9772,6.4527,15.9,2.882,0.8798,3.094,0.4777,3.272,-0.1892,0.8194,2.2592,998.444,42.0579,126.4,96.5,45.1001,306.038,0.0754,0.0483,0.0619,4.819,8.443,0.4909,0.47,0.0497,788.0,759.0,2100.0,2.1,1.4,0.123,1.0824,0.0369,0.5753,0.9677,0.2706,0.745,13.31,22.912,0.1959,17.87,60.11,0.139,0.0,0.0,0.0339,0.0494,0.0696,0.0406,0.0401,0.084,0.0349,0.0718,2.4266,0.0152,182.4956,0.0284,0.0192,0.017,,,0.0273,0.0,4.1446,0.0063,0.4166,29.621,23.551,32.6256,97.3868,2.5274,0.0152,0.0157,1.5306,2.5493,0.1479,0.1185,329.6406,325.0672,902.4576,0.0416,0.1041,0.3846,0.0151,0.2268,0.1175,5.7247,0.2682,3.8541,0.0546,2.568,16.0104,0.0,24.7959,15.4488,0.0,0.0105,0.0208,0.0327,0.0171,0.0116,0.0428,0.0154,0.0383,0.7786,58.0575,,,0.0221,0.0003,1.2356,0.019,11.4871,3.0609,0.0,0.0,50.6425,18.7546,109.5747,32.3594,21.3645,148.0287,31.4674,0.0,93.9245,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,1.0281,18.9849,0.0,0.0,240.7767,244.2748,0.0,0.6451,7.116,0.7942,411.136,74.654,1.5021,0.3718,267.064,0.9032,1.1,535.0245,2.0293,0.1882,4.0923,0.064,9.2721,0.0484,82.8602,0.0584,0.0484,82.8602
10,2008-07-19 21:57,1,2548.21,2195.1222,1046.1468,1.3204,103.34,0.1223,1.5144,-0.019,0.0013,0.9433,201.7125,11.8566,411.9572,10.2918,0.9664,191.4207,12.4663,1.4195,1400.0,-1976.0,360.5,0.455,68.7111,1.9444,0.1656,3.5029,49.847,65.8389,84.7327,14.37,5.434,366.1545,10.325,120.2818,723.2513,0.9543,138.1345,624.5709,113.0565,4.647,4.931,2891.0,0.9241,4.4828,27.8373,364.89,10.6091,108.1191,7.8579,12.1627,16.9061,706.3452,144.5955,617.6045,112.0789,466.0817,0.0,0.0035,-0.053,0.0003,-0.0411,-0.0002,-0.0996,0.0011,0.0356,7.4902,0.1355,2.4532,0.9883,1732.2002,0.1669,8476.17,0.042,0.0176,-0.1401,0.0149,-0.0108,-0.0082,-0.0517,,,,0.938,636.9547,0.9906,58.5394,0.6004,0.9799,6.2058,15.75,3.148,0.946,3.027,0.5328,3.299,-0.5677,0.778,2.3715,993.1274,38.1448,170.8,146.2,53.0999,380.5909,0.1327,0.0512,0.0517,9.66,10.227,0.4291,0.46,0.0624,2942.0,3967.0,776.0,2.2,1.0,0.116,1.0824,0.0369,0.5753,0.9677,0.2706,0.323,13.2,23.319,0.0963,18.95,34.253,4.617,0.0,0.0,0.0644,0.0527,0.059,0.0667,0.0427,0.0969,0.0215,0.1047,2.3422,0.0087,68.026,0.0713,0.0134,0.0128,,,0.0448,0.0,2.6472,0.0037,0.382,19.862,23.551,50.6152,120.7408,2.0875,0.0113,0.0147,3.3436,3.4306,0.1211,0.1243,1620.7332,2281.7211,418.6848,0.0375,0.0351,0.3846,0.0151,0.2268,0.1175,5.2778,0.1106,3.9047,0.0242,0.8803,9.4138,0.0,36.4186,4.596,0.0,0.0167,0.0236,0.0262,0.0304,0.0124,0.0507,0.0093,0.0528,0.8216,22.956,,,0.0092,0.0003,0.8859,0.0165,7.1493,3.0263,269.3851,0.0,81.4734,200.7591,215.2566,30.2973,14.6207,219.3969,33.4629,0.0,105.3338,0.0,99.4809,0.0,162.1884,0.0,97.2892,0.0,293.8947,2.5832,42.7355,474.3363,615.015,87.1111,0.0,0.0,0.3783,7.116,0.7517,411.648,74.512,1.3569,0.7213,265.922,0.7929,9.26,532.1764,1.8715,0.2723,3.3618,0.0862,14.5507,0.0205,57.8122,0.0355,0.0205,57.8122
11,2008-07-19 22:52,1,2479.4,2196.2111,1605.7578,0.9959,97.9156,0.1257,1.469,0.017,-0.0154,0.9445,202.1264,9.1084,419.9018,10.113,0.9673,192.0134,12.5263,1.421,2808.0,-3869.75,752.5,0.9025,64.7667,2.0667,0.1603,3.5217,49.5107,66.3322,86.9476,61.1,3.217,360.7891,9.752,143.8782,749.2445,1.1927,136.8118,641.4791,213.618,4.636,4.915,2865.0,0.9316,4.6275,25.0836,362.5064,9.7813,128.9618,9.4424,14.9164,21.6833,727.5613,144.17,635.6382,63.7271,,0.0,-0.0223,-0.0947,0.0051,0.0083,0.0035,-0.0001,-0.0261,0.0223,6.6383,0.132,2.3588,0.9695,1632.312,0.1997,8789.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9359,725.8145,0.9899,59.5776,0.5985,0.9638,6.304,15.88,2.661,0.9082,2.78,0.4467,3.267,-0.5677,0.8038,2.2764,997.4308,45.1318,112.8,150.5,51.7,250.3359,0.1097,0.0966,0.0364,4.678,11.597,0.4533,0.48,0.0378,597.0,295.0,143.0,2.3,0.9,0.056,0.5087,0.2885,0.5245,0.8582,0.247,0.407,13.48,36.218,0.1409,23.08,72.888,0.244,0.0,0.0,0.137,0.0699,0.0775,0.0846,0.0908,0.0375,0.0369,0.0576,3.9528,0.0042,104.4568,0.0535,0.0417,0.0328,,,0.0435,0.0,3.064,0.0177,0.4577,27.537,30.9815,50.3528,87.4243,2.4003,0.0217,0.0103,1.4144,3.2929,0.1335,0.1286,255.566,128.014,68.7047,0.0218,0.0293,0.218,0.1153,0.2266,0.0908,4.6853,0.1079,3.6111,0.0431,1.7992,23.0631,0.0,24.8109,,0.0,0.037,0.0291,0.0328,0.0357,0.0262,0.0158,0.0155,0.0259,1.4606,39.6184,,,0.0097,0.0002,0.9904,0.0111,9.4089,3.8989,569.2818,236.8442,51.3594,7.6232,19.0033,34.1207,8.2922,145.9369,13.9444,0.0,115.6431,613.8337,73.812,0.0,0.0,0.0,0.0,141.3793,258.5859,0.7578,26.8017,935.7644,0.0,67.9406,0.0,0.0,1.8407,7.116,1.299,399.092,75.82,1.0344,0.4385,264.188,0.6575,3.32,533.7464,2.1865,0.28,2.8659,0.0841,12.8058,0.0279,75.5077,0.037,0.0279,75.5077
14,2008-07-21 11:53,1,2629.48,2224.6222,947.7739,1.2924,104.8489,0.1197,1.4474,0.0144,-0.0119,0.9582,195.3787,9.7561,422.3675,9.7825,0.9692,185.5963,12.4582,1.4029,619.5,-1025.25,131.75,0.2328,62.5,2.4222,0.1992,3.4603,49.8101,66.505,88.3312,74.57,1.946,354.2945,9.8685,138.28,732.4237,0.8974,137.0027,629.5773,133.2749,4.558,4.755,2887.0,0.9323,4.5924,17.6382,353.3127,10.4491,115.9182,10.2273,22.3618,28.1392,704.2846,150.1191,619.35,78.7486,467.6533,0.0,-0.0151,-0.0617,0.004,-0.0549,0.0573,0.0629,-0.016,0.027,7.3445,0.134,2.4704,0.9827,1839.845,1.3861,8651.3099,-0.01,0.1439,-0.4609,-0.0419,-0.032,-0.0362,0.0172,,,,0.9228,736.1852,0.9692,56.5635,0.5961,0.9638,6.4127,15.77,3.038,0.8467,2.572,0.511,3.171,0.0,0.7661,2.3262,998.4607,38.6257,209.2,197.9,64.0999,295.563,0.0731,0.0999,0.0457,7.568,10.272,0.8038,0.48,0.0493,2478.0,4101.0,527.0,2.2,1.0,0.108,0.5969,0.1513,0.5896,0.8207,0.1958,0.722,7.73,22.958,0.0992,19.25,32.266,0.355,0.0,0.0,0.1363,0.061,0.1075,0.0894,0.0873,0.0515,0.0637,0.0864,3.3189,0.0509,157.0715,0.9851,0.0135,0.0123,,,0.1131,0.0,3.8517,0.0181,0.3141,38.321,19.0952,65.5491,92.9482,2.5782,0.0244,0.012,2.3209,3.4534,0.2881,0.1291,1239.0,2050.5,263.5,0.0332,0.0398,0.2118,0.058,0.2441,0.0694,4.9515,0.2701,2.3778,0.0308,2.8768,10.4504,0.0,18.924,4.7148,0.0,0.0428,0.0252,0.0515,0.0386,0.0254,0.0276,0.0279,0.0401,1.2958,44.0573,,,0.0336,0.0061,1.0806,0.0087,14.2037,3.5078,692.5477,385.4507,77.572,400.0,400.0,24.2101,22.1678,169.5462,17.4852,0.0,84.8485,901.9024,98.8254,0.0,162.99,152.356,81.9411,398.125,320.2966,1.8655,71.0696,344.4976,697.8723,125.5385,728.8889,0.0,1.8764,7.116,1.062,399.004,81.434,0.9139,0.1233,,,,532.6446,2.2808,0.3692,3.7724,0.1163,16.1875,0.0289,142.908,0.0202,0.0289,142.908
23,2008-07-25 15:23,1,2514.54,2160.3667,899.9488,1.4022,105.4978,0.124,1.5585,-0.0317,-0.0138,0.9638,196.1842,11.6229,434.7942,8.8407,0.9696,187.3435,12.4761,1.429,1542.0,-2069.0,-112.25,0.4425,62.5,2.0667,0.1874,3.4744,49.8101,66.505,88.3312,74.57,1.946,356.2155,9.7725,140.5218,737.734,1.2401,137.3727,634.11,207.6625,4.558,4.755,2887.0,0.9323,4.5924,18.3936,355.0636,10.167,118.9155,13.1691,21.6064,29.3176,708.4164,146.9618,620.9409,80.3773,467.6064,0.0,-0.0665,-0.0748,-0.0026,-0.0613,0.0405,-0.0906,-0.0162,0.0225,6.8634,0.135,2.4107,0.9663,1843.7237,0.1624,8621.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9496,762.9077,0.9643,56.8545,0.5865,0.9702,6.2733,15.96,3.034,0.9838,2.671,0.5088,3.192,-0.4731,0.8093,2.2936,1010.834,38.9435,133.7,136.5,77.9001,205.346,0.1067,0.0421,0.0598,6.161,16.081,2.0334,0.49,0.033,3623.0,4429.0,1045.0,3.4,1.4,0.117,0.5969,0.1513,0.5896,0.8207,0.1958,0.568,5.63,23.538,0.117,16.0,53.795,0.355,0.0,0.0,0.1312,0.0373,0.0732,0.0593,0.0738,0.1285,0.0859,0.082,5.3001,0.0064,87.8372,0.0354,0.0229,0.0258,,,0.0152,0.0,3.8766,0.0195,0.2749,30.671,29.7595,47.7554,63.001,2.7759,0.0143,0.0134,1.9332,4.4475,0.5969,0.1326,1834.1299,2400.8614,445.8747,0.0344,0.0351,0.2118,0.058,0.2441,0.0694,5.1588,0.1677,1.9108,0.03,1.5733,18.595,0.0,34.706,5.4043,0.0,0.0386,0.0162,0.0361,0.0327,0.0239,0.0632,0.043,0.0373,2.1044,27.2835,,,0.0344,0.006,1.1806,0.0134,11.3622,3.9505,132.8862,433.3333,53.0074,214.0648,930.9577,25.905,18.1585,126.964,15.4584,0.0,136.0472,197.3489,49.8663,0.0,96.6979,182.2785,141.7931,531.0665,364.04,1.6302,21.7883,0.0,893.5065,60.1156,0.0,0.0,2.0097,7.116,0.7404,400.572,74.558,0.9643,0.1567,,,,536.0054,1.9902,0.1682,3.1106,0.0503,8.4505,0.0213,216.8869,0.0098,0.0213,216.8869
38,2008-07-28 6:45,1,2542.24,2222.6778,1547.6125,1.4431,110.5644,0.1211,1.478,-0.0131,0.0079,0.9665,199.6664,5.4971,409.9835,9.7739,0.9731,189.8925,12.5724,1.4081,2550.5,-4939.75,-1403.75,1.338,68.3222,2.1889,0.1827,3.6042,49.847,65.8389,84.7327,14.37,5.434,362.8327,9.7189,137.6736,740.5161,1.2288,137.6055,638.1118,218.5681,4.486,4.748,2936.0,0.9139,4.5873,24.9027,361.2645,9.9598,122.5764,10.8518,15.0973,22.6227,717.8934,143.4191,627.26,96.0843,468.5564,0.0,-0.0459,-0.0608,0.0047,-0.0813,0.0549,0.0841,-0.0079,0.0313,7.033,0.1392,2.4364,0.966,1831.8286,0.1963,8660.4701,0.0015,0.0693,-0.4622,0.0679,0.0446,0.1063,0.1242,,,,0.9461,656.7414,0.9903,59.4302,0.608,0.9763,6.2346,15.93,2.647,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,2.3397,1011.7456,43.008,133.6,98.3,67.7998,277.494,0.127,0.0469,0.0565,5.662,12.671,1.0515,0.38,0.0334,259.0,4672.0,2073.0,2.2,1.2,0.133,1.0824,0.0369,0.5753,0.9677,0.2706,0.345,11.34,23.743,0.1305,13.74,56.979,0.139,0.0,0.0,0.1423,0.0916,0.1076,0.1415,0.0872,0.0598,0.0791,0.1442,3.6584,0.0244,99.7323,0.0722,0.0243,0.0156,,,0.036,0.0,2.6639,0.0082,0.3502,18.14,23.551,37.4513,80.0216,2.2619,0.0142,0.0161,1.9785,3.5423,0.3218,0.1157,116.2999,2230.3298,956.8286,0.0486,0.1014,0.3846,0.0151,0.2268,0.1175,4.0902,0.1237,3.3696,0.0418,1.4851,20.1427,0.0,27.2031,2.9883,0.0,0.0433,0.0378,0.0499,0.0598,0.0272,0.0245,0.0332,0.0727,1.1657,31.9075,,,0.0046,0.0003,0.9237,0.0179,6.2984,2.5597,357.8445,719.7452,102.9999,94.5797,147.6759,26.0692,13.4523,180.7996,22.1894,0.0,79.1566,309.6844,150.6579,0.0,173.9932,158.8885,71.127,0.0,461.0711,3.3756,36.7703,0.0,0.0,172.0755,646.5753,0.0,0.8396,7.116,1.0451,394.004,71.584,1.5021,0.3718,,,,533.9509,1.8946,0.2962,2.2791,0.0865,15.6351,0.0151,100.7279,0.015,0.0151,100.7279
40,2008-07-28 15:11,1,2545.71,2221.5778,1503.623,1.1878,111.3444,0.1211,1.5424,-0.0177,0.014,0.9691,198.7302,6.4395,417.85,9.5543,0.9729,189.1758,12.5473,1.3947,3493.75,-1465.75,-4444.6667,1.2542,63.5111,2.4222,0.1862,3.342,49.6862,66.374,86.279,74.54,2.215,355.3409,9.804,153.76,755.293,1.0771,133.8709,642.9718,202.5914,4.585,4.832,2890.0,0.933,4.6476,15.1509,359.0427,9.7464,128.9109,10.7536,24.8491,30.1427,725.1503,144.2645,632.2182,198.9925,472.9142,0.0,-0.0506,-0.0505,-0.0173,-0.0658,0.0593,0.0951,-0.0051,0.0077,7.7702,0.1392,2.4324,0.9908,1797.941,0.1643,8416.3099,0.064,-0.0477,0.162,-0.0512,-0.0636,-0.002,-0.0129,,,,0.941,731.0955,0.9916,57.5651,0.596,0.9673,6.3296,15.93,2.647,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,2.3397,1011.7456,43.008,125.9,92.9,67.5999,531.4619,0.1158,0.0601,0.0605,7.882,18.283,5.2486,0.41,0.0481,4170.0,8536.0,4507.0,3.6,1.8,0.195,0.7927,0.0637,0.4054,0.7343,0.1435,0.459,11.13,21.615,0.1119,17.18,62.291,0.128,0.0,0.0,0.1431,0.0696,0.1536,0.0669,0.082,0.0749,0.0691,0.0384,2.2585,0.0005,131.8158,0.1162,0.0117,0.0165,,,0.0197,0.0,2.7806,0.0156,0.1656,18.14,23.551,34.7118,157.6079,2.1387,0.0157,0.0157,2.6204,5.3158,1.596,0.1209,2005.8744,4175.3221,2304.3082,0.0582,0.2309,0.2956,0.027,0.1457,0.0557,4.1708,0.1306,3.276,0.0326,1.798,17.8483,0.0,16.6716,2.4374,0.0,0.0428,0.0293,0.0673,0.0327,0.0237,0.0391,0.0332,0.0197,0.9534,41.0749,,,0.0207,0.0004,0.7928,0.0179,6.2984,2.4767,339.1887,431.3725,122.4017,582.364,101.4024,30.7471,25.939,161.6201,15.8155,0.0,29.7559,283.0161,137.89,887.8613,101.749,138.2945,78.8006,0.0,498.7013,3.3756,70.6972,400.8565,0.0,75.2941,756.3636,0.0,1.6168,7.116,0.7246,410.286,74.82,0.9854,0.1928,260.078,0.617,4.38,537.6273,2.2025,0.2089,4.2202,0.0636,9.4847,0.0086,45.4264,0.0189,0.0086,45.4264
45,2008-07-29 8:23,1,2446.25,2166.5222,907.0746,1.0647,104.5211,0.1221,1.5336,-0.0283,0.005,0.9625,201.7858,5.1046,408.7597,10.0934,0.9679,191.6925,12.4871,1.4199,2632.75,-4311.75,-531.0,1.3072,69.0667,2.5667,0.2146,3.4502,49.3118,66.2535,87.5105,79.48,2.419,349.4655,10.27,129.1318,718.1845,0.9464,142.2927,620.89,130.8965,4.575,4.848,2859.0,0.93,4.6061,5.03,348.4873,10.9983,94.1618,23.28,34.97,38.8982,679.2864,154.9609,597.61,21.9757,464.6776,0.0,-0.0227,-0.0469,-0.0565,-0.0564,0.015,-0.0774,-0.0222,-0.0074,8.0515,0.1335,2.4108,0.9904,1801.9478,0.1568,8925.6301,0.0892,0.3051,-0.4109,0.0372,-0.0483,-0.0395,0.0372,,,,0.9345,767.6058,0.9907,57.3774,0.5972,0.9787,6.3215,15.82,3.2,1.125,2.622,0.5261,3.142,-0.4258,0.7692,2.3248,1001.9434,38.7769,100.4,146.9,53.3,508.087,0.108,0.0546,0.0729,5.137,19.374,0.3856,0.52,0.0338,190.0,2331.0,564.0,1.9,1.1,0.143,0.6385,0.1324,0.4191,1.0308,0.3347,0.277,10.05,33.723,0.0765,22.24,19.174,0.241,0.0,0.0,0.056,0.0306,0.0285,0.0572,0.0401,0.0982,0.0924,0.0382,2.7819,0.0006,61.0977,0.0238,0.0164,0.0137,,,0.0233,0.0,3.976,0.0044,0.4259,26.212,23.8212,49.3298,175.6416,2.9023,0.0165,0.0167,1.7362,6.2731,0.1107,0.1452,87.9825,1016.4662,231.6693,0.0396,0.1515,0.2445,0.0528,0.1682,0.1371,5.3607,0.087,2.6941,0.0217,1.7826,6.2164,0.0,2.9471,7.6306,0.0,0.013,0.0125,0.013,0.0263,0.0114,0.0553,0.0461,0.0178,0.9995,17.5528,,,0.0277,0.0004,1.13,0.0071,9.8109,2.7033,192.7201,0.0,100.634,54.0616,106.2147,14.6482,209.3439,93.7285,30.1115,0.0,42.8291,246.4924,65.2104,50.4425,101.4184,267.8914,126.9554,416.6855,517.9661,3.0701,15.2055,581.8182,0.0,113.0045,660.0,0.0,0.4499,7.116,0.5773,404.366,71.844,0.9379,0.4436,262.644,0.64,5.96,528.4727,2.1628,0.5747,2.9727,0.15,26.5739,0.0155,113.3721,0.0137,0.0155,113.3721
48,2008-07-29 15:49,1,2345.95,2169.4667,1185.4449,1.2412,100.8444,0.1221,1.5533,0.0173,0.0067,0.9606,199.3216,7.359,416.8137,9.7807,0.9695,189.5409,12.4622,1.3733,2631.0,-3525.5,-485.5,1.289,69.0667,2.2667,0.144,3.4006,42.3337,66.8426,86.9275,65.83,5.171,362.1818,9.9914,125.3255,722.9962,0.9465,140.8573,628.3646,123.9121,4.549,4.785,2908.0,0.9261,4.6332,25.0382,359.6073,10.4823,110.3636,9.691,14.9618,20.2052,702.791,148.7027,618.6736,61.7909,462.8216,0.0,-0.0274,-0.0548,0.0501,0.0455,0.0266,-0.0754,-0.0296,-0.0374,7.2666,0.1361,2.4222,0.9707,1836.6503,0.1567,8800.4,-0.0451,0.0715,0.1203,0.0409,0.2263,-0.1383,-0.1909,,,,0.9453,759.8721,0.9909,58.0644,0.603,0.9658,6.2187,15.98,3.207,1.483,3.148,0.545,3.335,-1.108,0.8142,2.3326,1013.5244,43.4014,163.1,254.0,60.7,307.865,0.0946,0.0766,0.0596,4.342,10.931,0.7397,0.38,0.1493,547.0,1075.0,1524.0,1.8,0.7,0.063,0.538,0.1308,0.5536,0.8605,0.2363,0.61,7.07,19.308,0.0763,13.19,26.241,0.246,0.0,0.0,0.0806,0.0575,0.0969,0.0208,0.0639,0.1006,0.1003,0.0963,3.8399,0.0084,88.7012,0.0268,0.0283,0.0356,,,0.01,0.0,3.7145,0.026,0.4019,18.48,26.3184,85.0263,97.8339,2.1868,0.0217,0.0164,1.3986,3.0585,0.2253,0.1232,262.8269,504.3864,749.7113,0.024,0.1169,0.2099,0.0541,0.2105,0.0928,4.7265,0.1953,2.1588,0.0254,1.3072,6.7717,0.0,28.8787,7.2559,0.0,0.0235,0.0257,0.0408,0.0107,0.0164,0.0534,0.0437,0.0498,1.2703,29.847,,,0.0309,0.0004,1.2535,0.0179,5.839,3.8485,443.8971,884.6011,59.0026,30.4921,313.9032,21.1771,37.9421,219.5858,63.495,0.0,130.3768,294.631,104.9749,193.4132,45.7143,240.6213,133.4218,338.2799,257.7163,3.1587,17.1238,788.8502,0.0,96.9697,745.4545,0.0,2.6887,7.116,1.1443,401.278,73.89,0.9754,0.0706,261.338,0.7496,7.94,530.9973,2.1898,0.3743,2.5312,0.1159,17.0935,0.0138,56.0357,0.0246,0.0138,56.0357
49,2008-07-29 17:05,1,2533.91,2174.8666,1039.2291,1.0455,103.6,0.1221,1.5516,-0.0343,0.0065,0.9487,195.9192,4.7895,406.4293,10.2702,0.9684,185.649,12.4871,1.3857,2616.5,-3990.5,-1657.25,1.2922,69.5556,2.6556,0.219,3.4474,49.5638,65.9449,86.7325,78.13,4.063,348.7573,10.215,131.3309,720.0985,0.9438,140.3218,620.41,132.1553,4.575,4.848,2859.0,0.93,4.6061,23.3109,349.7327,10.4054,114.6418,8.77,16.6891,20.8271,699.2714,149.5082,613.8827,74.8493,467.6038,0.0,-0.0058,-0.0364,-0.006,-0.0667,0.0073,-0.0843,-0.0127,-0.0108,7.4486,0.1304,2.421,0.9895,1854.7794,0.192,9295.6198,-0.0748,0.1511,0.0963,-0.014,0.0126,-0.0532,-0.0235,,,,0.9426,792.1467,0.9908,58.3569,0.5896,0.9676,6.1904,15.82,3.2,1.125,2.622,0.5261,3.142,-0.4258,0.7692,2.3248,1001.9434,38.7769,109.3,129.0,59.5,533.891,0.0998,0.0667,0.0584,7.491,14.69,0.5254,0.52,0.0536,169.0,1310.0,6822.0,2.0,1.1,0.205,0.9352,0.0935,0.4883,0.9184,0.4256,0.261,12.22,35.242,0.0726,22.73,46.511,0.241,0.0,0.0,0.0843,0.0393,0.0302,0.0823,0.0293,0.0757,0.0945,0.0664,2.7148,0.0018,98.6211,0.0429,0.0211,0.0103,,,0.0215,0.0,2.7385,0.015,0.3324,26.212,30.5926,45.3961,202.9874,4.1536,0.0183,0.0136,2.3194,3.7432,0.1512,0.1452,83.0682,616.853,3181.7059,0.0675,0.1218,0.3493,0.0383,0.1934,0.1666,5.1077,0.0786,3.1422,0.0237,1.4141,12.8759,0.0,25.5563,5.5723,0.0,0.0217,0.0188,0.0148,0.0364,0.0078,0.0409,0.046,0.031,1.103,33.3433,,,0.0068,0.0003,0.8285,0.0071,9.8109,3.768,194.319,895.0192,156.4061,32.828,411.6458,35.1942,28.6561,141.277,40.0261,0.0,97.9649,0.0,107.8929,503.3333,123.4346,403.4423,89.825,741.1765,617.6744,2.8074,22.3234,0.0,345.4927,18.0064,0.0,0.0,1.5516,7.116,0.7738,409.452,81.614,0.9497,0.1692,,,,533.3209,2.068,0.1643,2.3127,0.0589,7.9429,0.0165,55.8324,0.0296,0.0165,55.8324
