,F140,F153,F157,F159,F198,F200,F201,F21,F26,F272,F273,F292,F319,F32,F33,F334,F34,F345,F35,F39,F411,F426,F439,F470,F471,F474,F476,F495,F524,F550,F551,F553,F554,F556,F557,F578,F72
0,0.3948,0.0167,,1017.0,0.296,10.3,5.38,-5419.0,1.773,22.9057,15.9525,,5.3737,83.3971,9.5126,0.0913,50.617,,64.2588,117.5132,2.1118,1.7275,42.2737,2.7864,9.7752,13.6778,31.9893,10.0261,4.856,12.93,0.78,5.7349,0.3363,3.2687,1.0297,,
1,0.2301,0.0144,,568.0,0.316,8.02,3.74,-5441.5,2.0143,22.3163,17.4008,,5.2445,84.9052,9.7997,0.0878,50.6596,,64.2828,118.1188,2.5197,1.4857,37.5793,3.0652,10.2211,13.243,30.8643,6.6487,6.6475,16.0,1.33,7.1196,0.4989,3.9139,1.7819,0.0096,
2,0.3263,0.0177,,562.0,0.949,16.73,5.09,-5447.75,2.0295,32.6256,15.7716,,6.1797,84.7569,8.659,0.2777,50.153,13.5664,64.1114,118.6128,2.0627,1.8268,70.9161,9.3327,8.3977,45.5423,13.3923,10.8251,7.087,16.16,0.85,7.1619,0.3752,3.9306,1.1386,0.0584,140.6972
3,0.1915,0.015,,859.0,1.264,13.56,5.92,-5468.25,2.0038,44.3906,16.9347,,6.3329,84.9105,8.6789,0.3512,50.51,8.4026,64.1125,117.0442,2.1737,1.5441,41.5236,12.3786,9.1494,48.4887,35.4323,8.6804,5.4751,131.68,39.33,56.9303,17.4781,35.3198,54.2917,0.0202,160.321
4,0.3744,0.0126,,699.0,0.519,19.77,5.52,-5476.25,1.9912,53.0876,17.4864,,11.0583,86.3269,8.7677,0.1773,50.248,,64.1511,121.4364,2.185,1.2943,37.4691,5.2987,7.4365,19.1303,42.6838,3.7821,4.4146,19.63,1.98,9.7608,0.8311,4.9086,2.5014,,
5,0.3744,0.0106,,2089.0,1.003,21.78,6.61,-6058.0,1.7775,36.4696,17.4864,,10.178,85.4233,9.6484,0.3364,50.5795,,64.072,117.4928,2.185,1.0841,76.0159,10.1989,9.0384,52.6935,56.539,7.0485,4.5466,16.06,1.65,7.2448,0.6268,3.896,2.0541,0.0342,
6,0.2301,0.0189,,2117.0,0.247,14.05,3.43,-6154.0,1.7715,40.5089,17.4008,,5.1685,87.1543,9.1502,0.0725,50.2847,,64.2476,121.8664,2.5197,1.9544,55.7395,2.3822,10.4319,17.4307,29.9535,3.7548,5.9234,13.73,0.87,5.4711,0.371,3.3955,1.2077,,
7,0.0577,0.016,,233.0,1.026,12.63,4.72,-5395.5,1.9893,65.5784,19.9839,,10.9128,83.8887,8.7289,0.3503,50.4685,,64.4021,116.5628,2.4679,1.6483,32.6055,10.428,9.6785,29.3676,71.7657,6.9056,4.7144,15.97,0.76,6.4786,0.3589,3.9131,1.029,0.0204,
8,0.0577,0.0151,,5781.0,0.877,16.32,5.09,-4196.5,1.323,44.2335,19.9839,,9.2406,85.4274,9.6234,0.3266,50.4893,,63.9315,117.419,2.4679,1.5571,38.494,8.9128,9.0916,34.4251,44.9089,5.6187,4.8876,17.54,1.36,8.2095,0.5478,4.2941,1.8374,0.0111,
9,0.0577,0.0179,,862.0,1.179,5.58,6.18,-5357.5,1.778,72.1316,19.9839,,10.6022,83.8887,8.7289,0.4002,50.4685,,64.4021,116.5628,2.4679,1.8549,45.7453,12.1954,13.4911,30.7396,63.2981,8.0873,5.0025,15.15,1.11,6.509,0.4257,3.8209,1.4788,0.0212,
10,0.1151,0.0183,,5655.0,0.477,17.24,4.07,-2727.5,0.8847,50.6152,18.0919,,6.2918,84.7569,8.659,0.1202,50.153,7.87,64.1114,118.6128,2.419,1.8942,70.0671,4.4961,9.4525,39.6661,24.5336,3.9271,4.5221,17.93,0.89,7.8882,0.3612,4.3557,1.1944,0.0355,151.5228
11,0.2773,0.0167,,2352.0,0.746,13.78,2.08,-6097.75,1.7695,50.3528,16.6372,,10.6289,85.4274,9.6234,0.2879,50.4893,,63.9315,117.419,2.3541,1.725,34.9272,7.6268,11.0886,31.0008,51.7796,6.3993,5.1428,14.32,0.43,7.1523,0.1713,3.5881,0.5671,0.037,
12,0.1151,0.0186,,971.0,0.747,17.96,7.11,-5521.25,2.0107,24.8685,18.0919,,6.8271,84.9105,8.6789,0.2175,50.51,13.23,64.1125,117.0442,2.419,1.9245,49.9301,7.6114,7.7847,45.2117,24.1399,3.7725,5.8568,17.48,1.61,8.5332,0.5961,4.2757,1.9735,0.0188,158.0006
13,0.1355,0.0341,,2413.0,0.279,12.63,3.57,-6069.75,1.7822,24.3169,17.5461,,6.2531,83.7998,8.7977,0.0816,50.4285,,64.202,116.536,2.4171,3.5863,62.2874,2.645,9.5918,13.9898,6.6225,7.5967,5.3373,14.44,1.13,7.1552,0.4541,3.6099,1.5411,,
14,0.1782,0.014,,5726.0,0.491,17.34,3.91,-1431.5,0.439,65.5491,22.6271,,6.6228,85.0922,9.2007,0.1525,50.1899,4.6047,64.2199,118.2566,2.8814,1.4406,54.2108,4.699,6.1078,22.3212,15.768,8.5372,6.8096,14.17,1.06,6.3017,0.5242,3.5513,1.3017,0.0202,151.6967
15,0.1782,0.0105,,5803.0,0.613,10.4,3.1,-2694.75,0.8882,50.9188,22.6271,,6.8385,85.0922,9.2007,0.1685,50.1899,4.5432,64.2199,118.2566,2.8814,1.0833,60.9836,6.0357,6.137,23.2655,21.0437,7.8485,8.5439,17.42,0.85,7.8265,0.3892,4.3389,1.1509,0.0174,159.7713
16,0.6265,0.0137,,601.0,1.183,15.7,2.59,-5757.25,2.0055,35.7726,17.4686,,7.0729,86.3472,9.1283,0.356,50.1869,6.4935,64.0917,122.0886,2.1143,1.4197,48.6739,11.5505,7.5067,13.101,20.9306,10.5708,4.6061,17.03,0.97,7.0198,0.4229,4.1619,1.2759,0.0184,163.5055
17,0.6265,0.0126,,1653.0,1.148,11.45,4.9,-5612.5,1.7835,55.7701,17.4686,,7.2303,85.0465,8.5762,0.3114,50.0595,3.637,63.8294,117.7632,2.1143,1.3003,53.6558,11.4517,6.2616,14.7892,10.2185,6.7594,5.0285,,,,,,,,170.5815
18,0.3067,0.0142,,1036.0,0.44,17.69,5.3,-5575.25,1.9803,9.3474,29.3685,,6.9173,85.3498,8.6397,0.1316,50.6324,5.4768,64.1999,117.674,3.3841,1.4616,62.1419,4.3102,7.2194,25.9254,13.6881,11.2863,4.6954,14.63,1.48,6.18,0.6754,3.5928,1.9857,,166.6571
19,0.4712,0.0146,,906.0,0.89,10.43,6.25,-5469.25,2.0157,39.0394,18.0418,,6.7628,84.9105,8.6789,0.2498,50.51,8.0945,64.1125,117.0442,2.1369,1.5012,60.4273,8.6183,7.952,34.3784,32.1569,4.4588,4.0018,19.83,1.33,8.1693,0.6061,4.8795,1.7842,0.0229,160.6463
20,,0.017,,227.0,0.9,11.21,4.46,-5441.0,1.97,28.1733,,,6.6868,85.7939,8.6572,0.2957,50.2073,6.5317,63.9008,117.2894,,1.7554,76.7614,9.0538,6.2285,23.0478,24.9484,9.1465,5.7122,12.44,0.63,6.109,0.2694,3.0613,0.7907,,169.1827
