,Unnamed: 0,F153,F159,F198,F200,F201,F21,F26,F272,F319,F32,F33,F334,F34,F35,F39,F426,F439,F470,F471,F474,F476,F495,F524
0,0.0,0.0167,1017.0,0.296,10.3,5.38,-5419.0,1.773,22.9057,5.3737,83.3971,9.5126,0.0913,50.617,64.2588,117.5132,1.7275,42.2737,2.7864,9.7752,13.6778,31.9893,10.0261,4.856
1,1.0,0.0144,568.0,0.316,8.02,3.74,-5441.5,2.0143,22.3163,5.2445,84.9052,9.7997,0.0878,50.6596,64.2828,118.1188,1.4857,37.5793,3.0652,10.2211,13.243,30.8643,6.6487,6.6475
2,2.0,0.0177,562.0,0.949,16.73,5.09,-5447.75,2.0295,32.6256,6.1797,84.7569,8.659,0.2777,50.153,64.1114,118.6128,1.8268,70.9161,9.3327,8.3977,45.5423,13.3923,10.8251,7.087
3,3.0,0.015,859.0,1.264,13.56,5.92,-5468.25,2.0038,44.3906,6.3329,84.9105,8.6789,0.3512,50.51,64.1125,117.0442,1.5441,41.5236,12.3786,9.1494,48.4887,35.4323,8.6804,5.4751
4,4.0,0.0126,699.0,0.519,19.77,5.52,-5476.25,1.9912,53.0876,11.0583,86.3269,8.7677,0.1773,50.248,64.1511,121.4364,1.2943,37.4691,5.2987,7.4365,19.1303,42.6838,3.7821,4.4146
5,5.0,0.0106,2089.0,1.003,21.78,6.61,-6058.0,1.7775,36.4696,10.178,85.4233,9.6484,0.3364,50.5795,64.072,117.4928,1.0841,76.0159,10.1989,9.0384,52.6935,56.539,7.0485,4.5466
6,6.0,0.0189,2117.0,0.247,14.05,3.43,-6154.0,1.7715,40.5089,5.1685,87.1543,9.1502,0.0725,50.2847,64.2476,121.8664,1.9544,55.7395,2.3822,10.4319,17.4307,29.9535,3.7548,5.9234
7,7.0,0.016,233.0,1.026,12.63,4.72,-5395.5,1.9893,65.5784,10.9128,83.8887,8.7289,0.3503,50.4685,64.4021,116.5628,1.6483,32.6055,10.428,9.6785,29.3676,71.7657,6.9056,4.7144
8,8.0,0.0151,5781.0,0.877,16.32,5.09,-4196.5,1.323,44.2335,9.2406,85.4274,9.6234,0.3266,50.4893,63.9315,117.419,1.5571,38.494,8.9128,9.0916,34.4251,44.9089,5.6187,4.8876
9,9.0,0.0179,862.0,1.179,5.58,6.18,-5357.5,1.778,72.1316,10.6022,83.8887,8.7289,0.4002,50.4685,64.4021,116.5628,1.8549,45.7453,12.1954,13.4911,30.7396,63.2981,8.0873,5.0025
10,10.0,0.0183,5655.0,0.477,17.24,4.07,-2727.5,0.8847,50.6152,6.2918,84.7569,8.659,0.1202,50.153,64.1114,118.6128,1.8942,70.0671,4.4961,9.4525,39.6661,24.5336,3.9271,4.5221
11,11.0,0.0167,2352.0,0.746,13.78,2.08,-6097.75,1.7695,50.3528,10.6289,85.4274,9.6234,0.2879,50.4893,63.9315,117.419,1.725,34.9272,7.6268,11.0886,31.0008,51.7796,6.3993,5.1428
12,12.0,0.0186,971.0,0.747,17.96,7.11,-5521.25,2.0107,24.8685,6.8271,84.9105,8.6789,0.2175,50.51,64.1125,117.0442,1.9245,49.9301,7.6114,7.7847,45.2117,24.1399,3.7725,5.8568
13,13.0,0.0341,2413.0,0.279,12.63,3.57,-6069.75,1.7822,24.3169,6.2531,83.7998,8.7977,0.0816,50.4285,64.202,116.536,3.5863,62.2874,2.645,9.5918,13.9898,6.6225,7.5967,5.3373
14,14.0,0.014,5726.0,0.491,17.34,3.91,-1431.5,0.439,65.5491,6.6228,85.0922,9.2007,0.1525,50.1899,64.2199,118.2566,1.4406,54.2108,4.699,6.1078,22.3212,15.768,8.5372,6.8096
15,15.0,0.0105,5803.0,0.613,10.4,3.1,-2694.75,0.8882,50.9188,6.8385,85.0922,9.2007,0.1685,50.1899,64.2199,118.2566,1.0833,60.9836,6.0357,6.137,23.2655,21.0437,7.8485,8.5439
16,16.0,0.0137,601.0,1.183,15.7,2.59,-5757.25,2.0055,35.7726,7.0729,86.3472,9.1283,0.356,50.1869,64.0917,122.0886,1.4197,48.6739,11.5505,7.5067,13.101,20.9306,10.5708,4.6061
17,17.0,0.0126,1653.0,1.148,11.45,4.9,-5612.5,1.7835,55.7701,7.2303,85.0465,8.5762,0.3114,50.0595,63.8294,117.7632,1.3003,53.6558,11.4517,6.2616,14.7892,10.2185,6.7594,5.0285
18,18.0,0.0142,1036.0,0.44,17.69,5.3,-5575.25,1.9803,9.3474,6.9173,85.3498,8.6397,0.1316,50.6324,64.1999,117.674,1.4616,62.1419,4.3102,7.2194,25.9254,13.6881,11.2863,4.6954
19,19.0,0.0146,906.0,0.89,10.43,6.25,-5469.25,2.0157,39.0394,6.7628,84.9105,8.6789,0.2498,50.51,64.1125,117.0442,1.5012,60.4273,8.6183,7.952,34.3784,32.1569,4.4588,4.0018
20,20.0,0.017,227.0,0.9,11.21,4.46,-5441.0,1.97,28.1733,6.6868,85.7939,8.6572,0.2957,50.2073,63.9008,117.2894,1.7554,76.7614,9.0538,6.2285,23.0478,24.9484,9.1465,5.7122
21,21.0,0.0167,1001.0,0.863,17.51,5.9,-5434.0,2.0095,28.9209,7.1292,85.3498,8.6397,0.2963,50.6324,64.1999,117.674,1.7251,56.3006,8.5785,5.985,23.945,16.926,6.5723,5.8732
22,22.0,0.0142,668.0,1.069,16.13,5.81,-5310.25,1.9715,17.1354,6.8796,85.3498,8.6397,0.2906,50.6324,64.1999,117.674,1.4638,83.3478,10.6502,5.0569,25.8266,25.8499,6.8893,5.451
23,23.0,0.0149,5665.0,0.893,16.72,3.34,-2664.25,0.8915,47.7554,6.9612,85.0922,9.2007,0.244,50.1899,64.2199,118.2566,1.5379,62.4185,8.7833,5.8277,18.9409,36.3944,4.7641,6.8185
24,24.0,0.0037,5366.0,0.238,11.37,3.32,-2681.75,0.8862,46.0845,6.1235,84.0432,8.7487,0.0642,50.2849,64.3732,118.7784,0.3813,46.4183,2.2761,10.3624,16.1328,11.4665,6.2682,5.5411
25,25.0,0.0214,5913.0,0.385,11.35,4.84,-2706.0,0.8895,54.2649,6.4657,85.0716,8.6942,0.1225,50.5287,64.3976,118.0626,2.24,38.5714,3.6417,4.8438,19.6543,11.383,7.769,4.4577
26,26.0,0.0213,542.0,0.216,19.84,5.3,-5611.75,2.0137,62.5772,10.1805,84.9052,9.7997,0.0696,50.6596,64.2828,118.1188,2.2223,68.4783,1.9859,7.1962,23.4105,15.2357,5.925,4.0167
27,27.0,0.0123,455.0,0.726,13.36,6.52,-5369.0,2.0017,44.5725,5.722,84.3324,8.9336,0.2409,50.5527,64.2529,116.7828,1.2655,34.8178,7.5001,6.4521,35.6874,15.6314,10.5479,8.4235
28,28.0,0.0214,724.0,0.866,14.76,6.34,-5217.5,1.802,68.2654,5.6101,84.7166,8.8388,0.2944,50.3916,64.1968,111.7128,2.2383,35.7579,9.0132,7.2863,27.0808,25.4735,7.182,4.1013
29,29.0,0.017,252.0,1.007,9.73,6.59,-5416.0,1.9817,55.1959,6.1586,85.6039,8.7588,0.2772,50.179,64.1668,118.6704,1.7651,54.2735,9.8157,11.4559,23.6173,15.6131,5.9014,4.752
30,30.0,0.019,535.0,0.361,18.72,8.94,-5500.5,1.9888,70.0541,6.4394,101.9072,23.3453,0.1288,57.6663,74.7081,126.5662,1.9758,114.8801,3.4838,6.7643,81.9273,20.2372,3.2523,4.937
31,31.0,0.0213,310.0,0.937,12.78,5.43,-5497.75,1.9773,64.7419,6.6218,83.9737,8.8033,0.2914,50.3329,64.485,118.6328,2.2207,32.472,9.1041,11.5871,13.0432,11.957,5.676,3.9184
32,32.0,0.0117,671.0,0.236,20.02,8.69,-5507.75,1.9745,17.066,6.6352,86.3472,9.1283,0.0766,50.1869,64.0917,122.0886,1.205,47.012,2.1856,5.2224,33.4064,12.268,5.2824,7.2939
33,33.0,0.0124,5575.0,0.251,13.99,2.4,-2622.5,0.8912,68.2815,6.8639,85.6591,8.8249,0.0838,50.3878,64.1536,118.3554,1.2699,41.3043,2.3479,5.0256,27.4778,11.4741,5.676,7.5934
34,34.0,0.0161,2058.0,0.938,17.57,7.17,-6010.25,1.7778,41.549,5.8721,84.3324,8.9336,0.3381,50.5527,64.2529,116.7828,1.668,35.425,9.8176,8.63,29.3666,14.6363,6.7926,4.3199
