,Unnamed: 0,F152,F16,F185,F187,F206,F209,F252,F287,F321,F342,F347,F390,F425,F457,F459,F46,F478,F524,F574,F576,F577,F74
0,0.0,0.4734,10.0433,5.72,11.19,0.0,0.0,2.8374,0.1337,1.6252,0.0,0.0,0.9967,4.7141,4.0502,1.7924,723.3092,0.0,4.856,3.0624,1.6765,14.9509,0.0
1,1.0,0.5666,9.2599,6.92,9.05,0.0,0.0,3.8999,0.1662,1.8045,0.0,0.0,1.1655,6.1188,4.7448,1.4336,724.8264,0.0,6.6475,2.0111,1.1065,10.9003,0.0
2,2.0,0.4909,9.3144,9.21,17.87,0.0,0.0,4.1446,0.1479,2.568,0.0,0.0,1.2356,5.2707,6.528,2.8042,734.7924,0.0,7.087,4.0923,2.0952,9.2721,0.0
3,3.0,1.3029,9.6924,5.69,18.2,0.0,0.0,3.2119,0.3882,1.7339,0.0,0.0,1.1135,13.442,3.9918,2.8555,733.8778,0.0,5.4751,2.8971,1.7585,8.5831,0.0
4,4.0,0.4434,10.3387,3.98,25.54,0.0,0.0,2.5775,0.1293,1.1229,0.0,0.0,0.8495,4.2892,2.8822,3.8248,789.7523,0.0,4.4146,3.1776,1.6597,10.9698,0.0
5,5.0,0.5564,9.2441,7.92,21.62,0.0,0.0,2.6668,0.1614,2.3901,0.0,0.0,0.923,6.0186,5.7538,3.3771,746.8692,0.0,4.5466,2.2598,1.6679,13.7755,0.0
6,6.0,0.4136,9.999,5.04,6.91,0.0,0.0,3.4843,0.1207,1.6849,0.0,0.0,1.1262,4.1364,3.4406,1.0951,723.4934,0.0,5.9234,2.2019,1.1958,8.3645,0.0
7,7.0,1.3097,9.6836,7.61,21.7,0.0,0.0,2.7835,0.3878,2.7469,0.0,0.0,0.962,13.525,5.5678,3.4032,745.6875,0.0,4.7144,92.5866,56.4274,16.0862,0.0
8,8.0,1.3892,9.7046,5.63,19.79,0.0,0.0,2.8729,0.4127,1.6988,0.0,0.0,1.0021,14.3147,4.0705,3.0923,745.4127,0.0,4.8876,2.4902,1.3248,14.2892,0.0
9,9.0,1.2564,9.7046,10.29,23.39,0.0,0.0,2.9198,0.3714,3.1792,0.0,0.0,1.0207,12.9464,7.5033,3.6557,746.1649,0.0,5.0025,1.0395,0.6636,7.4181,0.0
10,10.0,0.4291,10.2918,3.04,18.95,0.0,0.0,2.6472,0.1211,0.8803,0.0,0.0,0.8859,4.1698,2.2007,3.0341,723.2513,0.0,4.5221,3.3618,1.7983,14.5507,0.0
11,11.0,0.4533,10.113,7.17,23.08,0.0,0.0,3.064,0.1335,1.7992,0.0,0.0,0.9904,4.4827,5.2408,3.5979,749.2445,0.0,5.1428,2.8659,1.4501,12.8058,0.0
12,12.0,0.5815,9.5007,8.33,13.64,0.0,0.0,3.4391,0.1709,2.3822,0.0,0.0,1.1623,6.1204,6.0288,2.136,740.1569,0.0,5.8568,2.6544,1.8767,6.5577,0.0
13,13.0,0.3514,10.4109,5.02,14.76,0.0,0.0,3.179,0.1035,1.309,0.0,0.0,0.9906,3.3751,3.638,2.3752,723.0309,0.0,5.3373,3.441,1.8622,12.4598,0.0
14,14.0,0.8038,9.7825,9.59,19.25,0.0,0.0,3.8517,0.2881,2.8768,0.0,0.0,1.0806,8.2173,6.9999,3.0576,732.4237,0.0,6.8096,3.7724,2.144,16.1875,0.0
15,15.0,0.6427,9.5917,5.36,18.32,0.0,0.0,4.8847,0.2181,2.0794,0.0,0.0,1.4037,6.7005,3.9388,2.9078,734.8382,0.0,8.5439,2.8829,1.5911,13.1895,0.0
16,16.0,0.3917,9.1999,6.87,17.15,0.0,0.0,2.7255,0.1247,1.7471,0.0,0.0,0.8207,4.2581,4.9191,2.644,755.3431,0.0,4.6061,2.766,1.5675,11.1971,0.0
17,17.0,0.455,9.4147,3.21,15.2,0.0,0.0,2.9492,0.1376,1.0938,0.0,0.0,0.8995,4.8332,2.2909,2.3405,756.6351,0.0,5.0285,3.5183,1.9291,22.148,0.0
18,18.0,0.4062,9.847,4.14,16.88,0.0,0.0,2.793,0.1433,1.4088,0.0,0.0,0.9709,4.1254,2.9207,2.6103,749.7516,0.0,4.6954,2.3022,1.1273,13.7941,0.0
19,19.0,0.3257,10.1924,6.66,13.16,0.0,0.0,2.3663,0.0976,1.8735,0.0,0.0,0.7871,3.1952,4.9429,2.0796,734.4697,0.0,4.0018,2.2358,1.4608,13.6183,0.0
20,20.0,0.4476,9.7659,6.88,16.41,0.0,0.0,3.36,0.1466,2.5039,0.0,0.0,1.1235,4.583,5.0545,2.5459,753.9565,0.0,5.7122,2.4529,1.2913,13.5856,0.0
21,21.0,0.3507,10.3503,6.16,15.4,0.0,0.0,3.447,0.1078,2.0232,0.0,0.0,1.1569,3.3881,4.5117,2.3859,755.3269,0.0,5.8732,2.8482,1.5279,9.9804,0.0
22,22.0,0.2777,10.3647,6.37,17.45,0.0,0.0,3.2127,0.0829,1.7676,0.0,0.0,1.101,2.6793,4.4208,2.6806,754.3495,0.0,5.451,2.6843,1.4181,12.6981,0.0
23,23.0,2.0334,8.8407,4.54,16.0,0.0,0.0,3.8766,0.5969,1.5733,0.0,0.0,1.1806,23.0001,3.3049,2.5232,737.734,0.0,6.8185,3.1106,1.6343,8.4505,0.0
24,24.0,0.5142,9.5066,6.21,15.55,0.0,0.0,3.2675,0.1881,1.614,0.0,0.0,1.0785,5.4093,4.4525,2.4512,736.8018,0.0,5.5411,2.6206,1.3383,18.8142,0.0
25,25.0,0.3428,9.747,6.39,12.16,0.0,0.0,2.6365,0.1019,1.9739,0.0,0.0,0.8916,3.5169,4.3949,1.9197,726.0669,0.0,4.4577,2.9887,1.7367,12.4036,0.0
26,26.0,0.388,9.8198,3.7,25.5,0.0,0.0,2.3593,0.1158,1.1113,0.0,0.0,0.6982,3.9517,2.5787,4.0898,720.3336,0.0,4.0167,1.7463,1.018,18.2982,0.0
27,27.0,3.4114,10.215,5.92,16.31,0.0,0.0,4.9397,1.2112,1.9211,0.0,0.0,1.57,33.3963,4.4485,2.5505,751.0793,0.0,8.4235,3.3671,1.7732,10.2289,0.0
28,28.0,0.4089,9.7745,6.21,13.77,0.0,0.0,2.381,0.1208,1.5014,0.0,0.0,0.6951,4.1837,4.6463,2.1406,755.6347,0.0,4.1013,2.5665,1.4217,19.4047,0.0
29,29.0,0.9961,8.6625,7.22,17.27,0.0,0.0,2.6898,0.3014,2.3151,0.0,0.0,0.9245,11.4986,5.4124,2.7445,739.2852,0.0,4.752,3.1722,1.643,18.1292,0.0
