,Unnamed: 0,F153,F159,F198,F200,F21,F26,F272,F319,F32,F33,F334,F337,F34,F35,F39,F390,F426,F439,F470,F474,F476,F495,F574,F576
0,0.0,0.0167,1017.0,0.296,10.3,-5419.0,1.773,22.9057,5.3737,83.3971,9.5126,0.0913,1.5989,50.617,64.2588,117.5132,0.9967,1.7275,42.2737,2.7864,13.6778,31.9893,10.0261,3.0624,1.6765
1,1.0,0.0144,568.0,0.316,8.02,-5441.5,2.0143,22.3163,5.2445,84.9052,9.7997,0.0878,1.1506,50.6596,64.2828,118.1188,1.1655,1.4857,37.5793,3.0652,13.243,30.8643,6.6487,2.0111,1.1065
2,2.0,0.0177,562.0,0.949,16.73,-5447.75,2.0295,32.6256,6.1797,84.7569,8.659,0.2777,1.5481,50.153,64.1114,118.6128,1.2356,1.8268,70.9161,9.3327,45.5423,13.3923,10.8251,4.0923,2.0952
3,3.0,0.015,859.0,1.264,13.56,-5468.25,2.0038,44.3906,6.3329,84.9105,8.6789,0.3512,1.7317,50.51,64.1125,117.0442,1.1135,1.5441,41.5236,12.3786,48.4887,35.4323,8.6804,2.8971,1.7585
4,4.0,0.0126,699.0,0.519,19.77,-5476.25,1.9912,53.0876,11.0583,86.3269,8.7677,0.1773,1.6216,50.248,64.1511,121.4364,0.8495,1.2943,37.4691,5.2987,19.1303,42.6838,3.7821,3.1776,1.6597
5,5.0,0.0106,2089.0,1.003,21.78,-6058.0,1.7775,36.4696,10.178,85.4233,9.6484,0.3364,1.9589,50.5795,64.072,117.4928,0.923,1.0841,76.0159,10.1989,52.6935,56.539,7.0485,2.2598,1.6679
6,6.0,0.0189,2117.0,0.247,14.05,-6154.0,1.7715,40.5089,5.1685,87.1543,9.1502,0.0725,0.8887,50.2847,64.2476,121.8664,1.1262,1.9544,55.7395,2.3822,17.4307,29.9535,3.7548,2.2019,1.1958
7,7.0,0.016,233.0,1.026,12.63,-5395.5,1.9893,65.5784,10.9128,83.8887,8.7289,0.3503,1.4892,50.4685,64.4021,116.5628,0.962,1.6483,32.6055,10.428,29.3676,71.7657,6.9056,92.5866,56.4274
8,8.0,0.0151,5781.0,0.877,16.32,-4196.5,1.323,44.2335,9.2406,85.4274,9.6234,0.3266,1.5156,50.4893,63.9315,117.419,1.0021,1.5571,38.494,8.9128,34.4251,44.9089,5.6187,2.4902,1.3248
9,9.0,0.0179,862.0,1.179,5.58,-5357.5,1.778,72.1316,10.6022,83.8887,8.7289,0.4002,1.9743,50.4685,64.4021,116.5628,1.0207,1.8549,45.7453,12.1954,30.7396,63.2981,8.0873,1.0395,0.6636
10,10.0,0.0183,5655.0,0.477,17.24,-2727.5,0.8847,50.6152,6.2918,84.7569,8.659,0.1202,1.0726,50.153,64.1114,118.6128,0.8859,1.8942,70.0671,4.4961,39.6661,24.5336,3.9271,3.3618,1.7983
11,11.0,0.0167,2352.0,0.746,13.78,-6097.75,1.7695,50.3528,10.6289,85.4274,9.6234,0.2879,0.6579,50.4893,63.9315,117.419,0.9904,1.725,34.9272,7.6268,31.0008,51.7796,6.3993,2.8659,1.4501
12,12.0,0.0186,971.0,0.747,17.96,-5521.25,2.0107,24.8685,6.8271,84.9105,8.6789,0.2175,1.9911,50.51,64.1125,117.0442,1.1623,1.9245,49.9301,7.6114,45.2117,24.1399,3.7725,2.6544,1.8767
13,13.0,0.0341,2413.0,0.279,12.63,-6069.75,1.7822,24.3169,6.2531,83.7998,8.7977,0.0816,1.1474,50.4285,64.202,116.536,0.9906,3.5863,62.2874,2.645,13.9898,6.6225,7.5967,3.441,1.8622
14,14.0,0.014,5726.0,0.491,17.34,-1431.5,0.439,65.5491,6.6228,85.0922,9.2007,0.1525,1.2491,50.1899,64.2199,118.2566,1.0806,1.4406,54.2108,4.699,22.3212,15.768,8.5372,3.7724,2.144
15,15.0,0.0105,5803.0,0.613,10.4,-2694.75,0.8882,50.9188,6.8385,85.0922,9.2007,0.1685,1.0242,50.1899,64.2199,118.2566,1.4037,1.0833,60.9836,6.0357,23.2655,21.0437,7.8485,2.8829,1.5911
16,16.0,0.0137,601.0,1.183,15.7,-5757.25,2.0055,35.7726,7.0729,86.3472,9.1283,0.356,0.6749,50.1869,64.0917,122.0886,0.8207,1.4197,48.6739,11.5505,13.101,20.9306,10.5708,2.766,1.5675
17,17.0,0.0126,1653.0,1.148,11.45,-5612.5,1.7835,55.7701,7.2303,85.0465,8.5762,0.3114,1.4931,50.0595,63.8294,117.7632,0.8995,1.3003,53.6558,11.4517,14.7892,10.2185,6.7594,3.5183,1.9291
