Time,Pass/Fail,F0,F1,F2,F3,F4,F6,F12,F14,F15,F18,F21,F22,F23,F24,F27,F28,F32,F33,F34,F35,F36,F39,F40,F41,F43,F45,F46,F48,F50,F51,F55,F59,F60,F62,F63,F64,F65,F66,F68,F70,F71,F88,F90,F115,F117,F129,F133,F134,F135,F136,F137,F138,F139,F140,F142,F150,F151,F155,F159,F160,F161,F162,F166,F180,F182,F183,F185,F187,F188,F200,F201,F208,F209,F218,F223,F225,F250,F252,F268,F269,F270,F271,F272,F273,F274,F275,F277,F286,F294,F295,F296,F297,F316,F318,F319,F321,F323,F324,F337,F344,F361,F363,F388,F390,F406,F408,F409,F410,F412,F413,F415,F416,F417,F418,F419,F423,F424,F428,F429,F432,F433,F434,F435,F436,F437,F438,F439,F440,F453,F454,F456,F459,F460,F467,F468,F470,F471,F472,F473,F474,F476,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F490,F491,F494,F495,F496,F497,F499,F500,F510,F511,F520,F521,F522,F523,F524,F525,F527,F539,F541,F545,F561,F570,F572,F574,F576,F577,F585,F589
2008-07-19 11:55,-1,3030.93,2564,2187.7333,1411.1265,1.3602,97.6133,202.4396,7.9558,414.871,192.3963,-5419,2916.5,-4043.75,751,3.049,64.2333,83.3971,9.5126,50.617,64.2588,49.383,117.5132,61.29,4.515,352.7173,130.3691,723.3092,141.2282,624.3145,218.3174,2834,-1.7264,350.9264,108.6427,16.1445,21.7264,29.5367,693.7724,148.6009,608.17,84.0793,1747.6049,8671.9301,748.6115,58.4306,-0.0473,1000.7263,39.2373,123,111.3,75.2,46.2,350.671,0.3948,6.78,4.271,10.284,0.41,1017,967,1066,368,2,20.95,12.49,16.713,5.72,11.19,65.363,10.3,5.38,97.314,0,3.4789,175.2173,1940.3994,219.9453,2.8374,40.855,4.5152,30.9815,33.9606,22.9057,15.9525,110.2144,0.131,2.5883,3.5811,418.1363,398.3185,496.1582,158.333,6.2698,3.8208,5.3737,1.6252,3.2461,18.0118,1.5989,31.8843,55.2039,560.2658,61.5932,0.9967,14.2396,5.6188,3.6721,2.9329,24.8504,29.0271,6.9458,2.738,5.9846,525.0965,0,53.684,2.4788,3.275,3.6084,26.3617,49.0013,10.0503,2.7073,3.1158,3.1136,44.5055,42.2737,1.3071,3.2698,9.5805,6.1463,1.7924,29.9394,6.2052,311.6377,2.7864,9.7752,63.7987,24.7625,13.6778,31.9893,0,115.7408,613.3069,291.4842,494.6996,178.1759,843.1138,0,53.1098,0,48.2091,0.7578,2.1739,10.0261,17.1202,22.3756,0,0,64.6707,0,1.9864,0,29.3804,0.1094,4.856,3.1406,6.6926,2.057,11.5074,7.116,42.3877,533.85,8.95,3.0624,1.6765,14.9509,2.363,101.4549846
2008-07-19 12:32,-1,3095.78,2465.14,2230.4222,1463.6606,0.8294,102.3433,200.547,10.1548,414.7347,191.2872,-5441.5,2604.25,-3498.75,-1640.25,7.39,68.4222,84.9052,9.7997,50.6596,64.2828,49.3404,118.1188,78.25,2.773,352.2445,133.1727,724.8264,145.8445,631.2618,205.1695,2853,0.8073,352.0073,113.98,10.9036,19.1927,27.6301,697.1964,154.3709,620.3582,82.3494,1931.6464,8407.0299,731.2517,58.668,-0.0946,998.1081,37.9213,98,80.3,81,56.2,219.7679,0.2301,5.7,6.285,13.077,0.35,568,59,297,3277,2.2,17.99,10.14,16.358,6.92,9.05,82.986,8.02,3.74,134.25,0,3.9578,128.4285,1988,193.0287,3.8999,29.743,3.6327,29.0598,28.9862,22.3163,17.4008,83.5542,0.0767,1.8459,3.9483,233.9865,26.5879,139.2082,1529.7622,5.6522,2.9939,5.2445,1.8045,2.7661,23.623,1.1506,41.708,46.3453,677.1873,65.0999,1.1655,10.5837,4.3465,2.5939,3.2858,15.015,27.7464,5.5695,3.93,9.0604,0,368.9713,61.8918,3.1531,2.8088,3.1595,8.4887,199.7866,8.6336,5.7093,1.6779,3.2153,48.5294,37.5793,16.4174,4.3737,7.6142,6.9233,1.4336,40.4475,4.7415,463.2883,3.0652,10.2211,73.5536,19.4865,13.243,30.8643,0,163.0249,0,246.7762,0,359.0444,130.635,820.79,194.4371,0,58.1666,3.6822,0.1441,6.6487,12.6788,23.6469,0,0,141.4365,0,1.6292,0,26.397,0.0673,6.6475,3.131,8.837,1.791,9.5796,7.116,18.1087,535.0164,5.92,2.0111,1.1065,10.9003,4.4447,208.2045
2008-07-19 14:43,-1,2988.72,2479.9,2199.0333,909.7926,1.3204,104.2367,201.8482,9.6052,422.2894,192.1557,-5468.25,2648.25,-4515,-1657.25,7.3145,62.9333,84.9105,8.6789,50.51,64.1125,49.49,117.0442,76.9,1.279,363.0273,131.8027,733.8778,142.5427,637.3727,189.9079,2936,24.3791,361.4582,116.1818,13.5597,15.6209,23.4736,710.4043,147.6545,625.2945,70.2289,1752.0968,8205.7,709.0867,58.6635,0.2838,980.451,41.1025,127,118,123.7,47.8,162.432,0.1915,5.51,9.073,15.241,0.35,859,355,3433,3004,1.7,16.22,14.67,22.562,5.69,18.2,52.571,13.56,5.92,104.95,0,5.5398,152.0885,820.3999,94.0954,3.2119,31.83,3.1959,33.896,37.8477,44.3906,16.9347,50.3631,0.0581,2.1775,4.0526,415.5048,157.0889,1572.6896,1377.4276,5.444,4.19,6.3329,1.7339,4.966,15.7375,1.7317,29.0339,45.7058,309.8492,32.4228,1.1135,13.3972,5.6363,3.9482,4.9881,17.8537,14.5054,5.286,2.4643,7.6602,317.7362,0,94.4594,3.6091,2.8049,4.9898,76.0354,181.2641,5.176,5.3899,1.3671,2.7013,34.0336,41.5236,7.1274,6.9785,11.1303,13.7105,2.8555,27.6824,3.0301,24.2831,12.3786,9.1494,100.0021,37.8979,48.4887,35.4323,0,149.4399,225.0169,100.4883,305.75,88.5553,104.666,71.7583,0,336.766,72.9635,1.767,0.1488,8.6804,29.2542,9.9979,0,711.6418,113.5593,0,2.4416,0,13.2699,0.0977,5.4751,6.7553,6.4865,2.1565,7.7754,7.116,62.7572,530.5682,9.33,2.8971,1.7585,8.5831,2.0544,73.8432
2008-07-19 15:22,-1,3032.24,2502.87,2233.3667,1326.52,1.5334,100.3967,201.9424,10.5661,420.5925,191.6037,-5476.25,2635.25,-3987.5,117,7.2748,62.8333,86.3269,8.7677,50.248,64.1511,49.752,121.4364,76.39,2.209,353.34,176.3136,789.7523,138.0882,667.7418,233.5491,2865,-12.2945,355.0809,144.0191,21.9782,32.2945,44.1498,745.6025,146.6636,645.7636,65.8417,1828.3846,9014.46,796.595,58.3858,-0.5677,993.1274,38.1448,119,143.2,123.1,48.8,296.303,0.3744,3.64,9.005,12.506,0.43,699,283,1747,1443,3.9,15.24,10.85,37.715,3.98,25.54,72.149,19.77,5.52,92.307,0,4.1338,69.151,1406.4004,149.2172,2.5775,19.862,3.6163,34.125,55.9626,53.0876,17.4864,88.7672,0.1092,1.0929,3.6536,319.1252,128.0296,799.5884,628.3083,4.8956,2.913,11.0583,1.1229,7.3296,23.116,1.6216,32.0537,21.0312,494.7368,57.2692,0.8495,7.1493,5.3823,4.7226,4.9184,22.3369,24.4142,3.6256,3.3208,4.2178,0,866.0295,85.2255,2.9734,3.4473,3.8754,43.8119,0,11.4064,2.0088,1.5533,6.2069,25.3521,37.4691,15.247,2.7092,6.1538,11.4945,3.8248,30.8924,5.3863,44.898,5.2987,7.4365,89.9529,17.0927,19.1303,42.6838,0,140.1953,171.4486,276.881,461.8619,240.1781,0,587.3773,748.1781,0,55.1057,2.2358,0.0372,3.7821,107.6905,15.6016,293.1396,0,148.0663,0,2.5512,0,18.7319,0.0616,4.4146,2.9954,6.3745,2.0579,9.4805,7.116,22.05,532.0155,8.83,3.1776,1.6597,10.9698,99.3032,73.8432
2008-07-19 17:53,-1,2946.25,2432.84,2233.3667,1326.52,1.5334,100.3967,200.472,8.6617,414.2426,191.228,-6058,2953.75,-3906.5,193.75,3.0505,62.3778,85.4233,9.6484,50.5795,64.072,49.4205,117.4928,59.94,3.024,360.2873,142.2591,746.8692,137.6473,640.1936,192.7702,2865,28.2955,360.2409,130.5545,7.618,11.7045,18.3685,728.5007,144.6982,635.4936,70.3707,1832.6305,7869.7,748.0887,58.656,-0.0946,998.1081,37.9213,123,159.8,119.3,48.8,296.303,0.3744,3.64,5.369,10.42,0.45,2089,910,323,1157,1.7,19.7,14.38,35.535,7.92,21.62,82.556,21.78,6.61,111.952,0,2.8799,129.1731,1132.2998,158.2729,2.6668,29.743,3.6327,32.0878,52.6671,36.4696,17.4864,88.7672,0.1092,1.0929,3.1727,982.8228,384.6101,152.4347,478.1502,5.5901,3.8197,10.178,2.3901,5.9858,25.2892,1.9589,33.4938,42.1498,335.5983,58.2605,0.923,10.5837,5.4262,5.4238,4.9037,22.3369,24.4142,3.6256,3.3208,4.638,347.774,865.1584,61.9853,2.5154,3.6019,3.6904,8.2683,597.1613,7.2788,2.0253,1.4752,2.7253,55.102,76.0159,3.4943,4.9282,10.1083,13.0665,3.3771,42.8261,5.2729,23.3606,10.1989,9.0384,285.9,56.4737,52.6935,56.539,0,159.0889,325.3468,71.0586,0,826.936,0,78.3348,723.4234,273.8095,42.6594,8.2199,0.2873,7.0485,14.7656,14.3881,0,0,68.7351,622.2222,2.1027,0,21.157,0.0706,4.5466,4.406,7.097,1.791,9.5796,7.116,30.6277,534.2091,8.91,2.2598,1.6679,13.7755,3.8276,44.0077
2008-07-19 19:44,-1,3030.27,2430.12,2230.4222,1463.6606,0.8294,102.3433,202.0901,9.035,415.8852,192.0912,-6154,2691.75,-3914.75,580.25,3.0515,60.8,87.1543,9.1502,50.2847,64.2476,49.7153,121.8664,74.46,3.978,352.1836,132.3455,723.4934,146.4855,631.0145,201.7609,2853,2.1109,351.46,114.4564,12.74,17.8891,26.2754,697.218,152.3582,618.2745,83.4997,1740.6472,9238.3601,806.2734,58.823,-0.4731,995.1991,36.9578,89,173.7,122.5,56.2,219.7679,0.2301,5.7,8.255,10.965,0.35,2117,643,441,565,3,18.27,10.81,15.84,5.04,6.91,47.803,14.05,3.43,114.35,0,1.9062,65.3582,1046.2002,105.5219,3.4843,29.099,2.8,24.0522,53.0949,40.5089,17.4008,83.5542,0.0767,1.8459,3.8913,1000.9579,276.541,181.7863,254.5432,4.9162,3.0709,5.1685,1.6849,2.1646,14.0744,0.8887,36.0395,23.0568,375.0252,39.0975,1.1262,9.5342,3.9873,5.7322,5.0409,15.015,27.7464,5.5695,3.93,6.0381,326.1524,467.5756,91.3669,2.6365,2.8088,6.1127,11.2651,97.3718,8.6069,2.258,4.2602,4.9342,24.1071,55.7395,3.1495,4.7207,8.168,7.9894,1.0951,23.6929,4.7415,162.4892,2.3822,10.4319,110.283,19.1737,17.4307,29.9535,0,136.9466,266.1526,509.0909,110.6781,189.4602,586.3636,0,355.7932,304.5139,22.6594,2.6373,0.3268,3.7548,41.0596,11.3245,0,723.3853,159.5238,748.3871,4.0505,0,13.0876,0.0988,5.9234,4.734,8.4653,1.4336,7.5762,7.116,51.4535,541.9036,6.48,2.2019,1.1958,8.3645,2.8515,44.0077
2008-07-19 19:45,-1,3058.88,2690.15,2248.9,1004.4692,0.7884,106.24,202.417,13.6872,408.4017,192.7334,-5395.5,2551.75,-3819.75,-737,7.3885,67.3,83.8887,8.7289,50.4685,64.4021,49.5316,116.5628,78.09,2.671,358.67,142.2945,745.6875,136.6791,637.6436,133.6606,2865,29.1309,360.1382,131.4255,5.5936,10.8691,15.3094,730.3781,144.3255,635.8891,57.0841,1826.1111,9117.3699,778.3335,59.0421,0.7096,992.8298,40.5458,91,175.4,201.1,55.5,249.9639,0.0577,7.56,19.388,14.952,0.48,233,346,1429,807,1.9,13.92,14.09,37.242,7.61,21.7,11.961,12.63,4.72,73.632,0,7.5616,126.1031,1222.1006,128.7632,2.7835,27.861,2.9057,29.3966,74.695,65.5784,19.9839,92.8285,0.0216,2.7959,3.7801,106.4973,151.6605,652.0774,366.1448,4.8066,3.83,10.9128,2.7469,6.7634,3.3091,1.4892,22.1485,39.4817,376.4134,40.8608,0.962,10.8717,4.1681,5.7341,7.4754,24.8852,7.321,7.116,2.8699,6.7774,399.362,0,141.6508,3.6611,3.8319,3.3651,37.4108,109.498,12.1235,7.1384,1.4888,2.8232,39.4422,32.6055,11.1311,3.9589,9.902,9.147,3.4032,8.9488,5.2729,16.2027,10.428,9.6785,225.7941,43.4259,29.3676,71.7657,0,128.9887,374.6159,89.1323,484.1046,0,0,129.2388,0,440.8163,121.6359,2.5556,0.0527,6.9056,47.8698,13.4041,0,0,79.1209,0,1.6426,0,16.5435,0.1232,4.7144,4.2075,6.9889,1.4141,7.1665,7.116,43.0771,493.0054,278.19,92.5866,56.4274,16.0862,2.1261,95.031
2008-07-19 20:24,-1,2967.68,2600.47,2248.9,1004.4692,0.7884,106.24,202.4544,12.6837,417.6009,192.7498,-4196.5,2059.5,-2948,622.75,2.2675,62.8,85.4274,9.6234,50.4893,63.9315,49.5107,117.419,61.1,3.217,358.9564,142.7009,745.4127,138.3109,639.9682,216.9538,2865,26.9791,358.3473,129.68,8.8612,13.0209,19.9475,725.4652,144.5455,632.5727,74.3992,1788.8624,8615.27,748.563,58.7785,0.7096,992.8298,40.5458,91,136.1,116.8,55.5,249.9639,0.0577,7.56,7.245,16.973,0.48,5781,2900,3961,948,2.4,12.48,11.45,31.969,5.63,19.79,81.637,16.32,5.09,90.715,0,2.8877,100.5114,740.3994,61.5139,2.8729,27.861,2.9057,29.3966,53.8333,44.2335,19.9839,92.8285,0.0216,2.7959,3.9049,2803.1611,1377.7589,1965.4555,423.4787,4.3824,3.0596,9.2406,1.6988,5.5396,21.5711,1.5156,30.9028,35.7156,205.529,20.5522,1.0021,10.8717,4.1681,4.5861,4.4915,24.8852,7.321,7.116,2.8699,6.153,496.3964,624.0602,57.1204,4.0644,3.8319,3.9248,134.3623,152.228,133.5286,133.4845,134.0243,3.8217,27.9793,38.494,2.5951,3.6794,8.0238,15.4539,3.0923,37.6287,5.2729,18.8665,8.9128,9.0916,184.1738,39.091,34.4251,44.9089,0,121.9301,477.0328,106.1693,51.4694,892.1933,616.8421,86.1931,364.0719,155.6827,37.8245,2.5556,2.9308,5.6187,25.8449,8.594,0,686.5784,138.5827,395.2941,2.3441,0,8.2176,0.0727,4.8876,6.5231,6.7934,1.4141,7.1665,7.116,13.9158,535.1818,7.09,2.4902,1.3248,14.2892,3.4456,111.6525
2008-07-19 21:35,-1,3016.11,2428.37,2248.9,1004.4692,0.7884,106.24,202.5999,12.4278,413.3677,192.8953,-5357.5,2872.5,-3911.5,873.75,3.0995,67.0333,83.8887,8.7289,50.4685,64.4021,49.5316,116.5628,78.09,2.671,360.6945,141.9964,746.1649,137.1391,639.83,194.3669,2865,28.3118,361.1809,130.3082,6.8983,11.6882,18.1525,728.0125,147.1409,638.63,65.504,1712.8033,9126.72,786.6071,58.3664,0.7096,992.8298,40.5458,123,175.8,211.9,55.5,249.9639,0.0577,7.56,13.545,18.186,0.48,862,882,422,186,2.5,14.9,14.36,36.258,10.29,23.39,43.062,5.58,6.18,109.867,0,4.2936,138.5192,1266,123.1775,2.9198,27.861,2.9057,30.9815,69.3175,72.1316,19.9839,92.8285,0.0216,2.7959,4.5845,354.072,392.7259,179.359,76.6219,4.9838,3.8947,10.6022,3.1792,6.8929,12.2822,1.9743,37.0311,43.4619,406.3592,42.0501,1.0207,10.8717,5.6188,5.8287,8.726,24.8852,7.321,7.116,2.8699,4.7137,397.4922,979.2574,108.9894,4.3995,3.8319,3.0589,10.7887,21.2876,8.4421,2.9246,0.7098,3.7295,33.6449,45.7453,2.7268,5.2213,10.1129,8.2658,3.6557,22.155,5.2729,21.8283,12.1954,13.4911,80.8892,52.8739,30.7396,63.2981,0,167.7256,790.5782,104.004,979.8817,816.9231,497.603,119.3208,115.01,0,57.2817,3.2587,0.671,8.0873,44.0988,13.8714,0,0,86.0068,0,2.6612,0,15.6593,0.1007,5.0025,7.4717,7.4985,1.4141,7.1665,7.116,20.9776,533.42,3.54,1.0395,0.6636,7.4181,3.0687,90.2294
2008-07-20 3:35,-1,2920.07,2507.4,2195.1222,1046.1468,1.3204,103.34,202.1269,8.4828,415.5185,192.6261,-5521.25,2592.75,-3982.25,-1933.25,7.4027,63.3778,84.9105,8.6789,50.51,64.1125,49.49,117.0442,76.9,1.279,363.0364,137.3564,740.1569,138.1709,638.5636,228.0825,2936,22.6227,365.0464,119.9791,11.0227,17.3773,25.5177,714.6392,142.5155,627.5409,80.1463,1891.4401,7889.72,670.3646,58.72,-0.4731,995.1991,36.9578,127,64.1,71.9,53.0999,380.5909,0.1151,5.82,7.549,9.642,0.4,971,302,1437,3851,1.7,16.06,14.72,25.722,8.33,13.64,70.642,17.96,7.11,114.368,0,3.3281,71.3541,1541.7002,159.7564,3.4391,29.099,2.8,33.896,19.9822,24.8685,18.0919,120.7408,0.0372,2.0875,2.982,444.4295,133.5649,651.5322,1792.1565,5.2108,4.2689,6.8271,2.3822,3.8989,23.084,1.9911,35.1524,25.0943,528.8403,57.1274,1.1623,9.5342,5.6363,2.1952,2.8675,36.3803,8.7145,5.6319,3.0263,8.7131,288.9425,259.572,88.9917,2.3205,3.221,1.51,36.0851,199.1982,6.2859,3.531,0.743,2.6823,31.8898,49.9301,14.5618,6.4792,10.7167,12.9053,2.136,30.9721,3.0301,31.4286,7.6114,7.7847,162.9366,40.9155,45.2117,24.1399,0,142.6991,406.6335,46.8246,57.648,262.5493,0,76.2956,672.8421,455.7599,44.0586,4.0806,0.6807,3.7725,56.6776,19.5406,0,0,94.8247,0,1.4222,0,23.8313,0.0713,5.8568,6.2801,6.826,1.4336,7.5762,7.116,62.7572,530.18,9.95,2.6544,1.8767,6.5577,3.0926,52.2039
