,main - pass,main - fail,pass - main,pass - fail,fail - main,fail - pass
0,F337,F153,F140,F153,F140,F152
1,F390,F157,F201,F157,F152,F16
2,F574,F159,F471,F159,F16,F185
3,F576,F198,F524,F198,F185,F187
4,,F200,,F200,F187,F206
5,,F21,,F201,F206,F209
6,,F26,,F21,F209,F244
7,,F272,,F26,F244,F245
8,,F273,,F272,F245,F246
9,,F292,,F273,F246,F252
10,,F319,,F292,F252,F287
11,,F32,,F319,F287,F321
12,,F33,,F32,F321,F342
13,,F334,,F33,F342,F347
14,,F337,,F334,F347,F382
15,,F34,,F34,F382,F383
16,,F345,,F345,F383,F384
17,,F35,,F35,F384,F390
18,,F39,,F39,F413,F413
19,,F411,,F411,F425,F425
20,,F426,,F426,F457,F457
21,,F439,,F439,F459,F459
22,,F470,,F470,F46,F46
23,,F474,,F471,F478,F478
24,,F476,,F474,F516,F516
25,,F495,,F476,F517,F517
26,,F550,,F495,F518,F518
27,,F551,,F550,F524,F574
28,,F553,,F551,F577,F576
29,,F554,,F553,F74,F577
30,,F556,,F554,,F74
31,,F557,,F556,,
32,,F578,,F557,,
33,,F72,,F578,,
34,,,,F72,,
