Time,Pass/Fail,F0,F1,F2,F3,F4,F6,F12,F14,F15,F16,F18,F21,F22,F23,F24,F27,F28,F31,F32,F33,F34,F35,F36,F39,F40,F41,F43,F45,F46,F48,F50,F51,F55,F59,F60,F62,F63,F64,F65,F66,F67,F68,F70,F71,F72,F73,F83,F88,F90,F110,F111,F115,F117,F122,F129,F133,F134,F135,F136,F137,F138,F139,F140,F142,F148,F150,F151,F152,F154,F155,F158,F159,F160,F161,F162,F166,F167,F180,F182,F183,F185,F187,F188,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F207,F208,F209,F218,F223,F225,F245,F246,F250,F252,F268,F269,F270,F271,F272,F273,F274,F275,F277,F283,F285,F286,F287,F289,F293,F294,F295,F296,F297,F316,F318,F319,F321,F323,F324,F332,F333,F335,F336,F337,F338,F339,F340,F341,F343,F344,F345,F346,F361,F363,F383,F384,F388,F390,F406,F408,F409,F410,F411,F412,F413,F415,F416,F417,F418,F419,F420,F421,F423,F424,F425,F426,F427,F428,F429,F430,F431,F432,F433,F434,F435,F436,F437,F438,F439,F440,F442,F452,F453,F454,F455,F456,F457,F459,F460,F467,F468,F469,F470,F471,F472,F473,F474,F475,F476,F477,F478,F479,F480,F482,F483,F484,F485,F486,F487,F488,F489,F490,F491,F492,F493,F494,F495,F496,F497,F499,F500,F510,F511,F516,F517,F518,F519,F520,F521,F522,F523,F524,F525,F526,F527,F539,F540,F541,F545,F547,F548,F549,F550,F551,F553,F554,F555,F556,F557,F561,F562,F564,F566,F568,F569,F570,F572,F574,F576,F577,F581,F585,F589
2008-07-19 13:17,1,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,202.0179,9.5157,416.7075,9.3144,192.7035,-5447.75,2701.75,-4047.0,-1916.5,7.5788,67.1333,3.5986,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,364.3782,131.8027,734.7924,141.0845,637.2655,185.7574,2936.0,23.8245,364.5364,115.6273,11.3019,16.1755,24.2829,710.5095,0.8694,145.8,625.9636,84.7681,140.6972,485.2665,7.1041,1685.8514,9317.1698,,,718.5777,58.4808,2.882,-0.1892,998.444,42.0579,89.0,126.4,96.5,45.1001,306.038,0.3263,8.33,8.266,4.819,8.443,0.4909,8.2054,0.47,,562.0,788.0,759.0,2100.0,2.1,1.4,17.78,13.31,22.912,9.21,17.87,60.11,5.09,19.75,0.949,9.71,16.73,5.09,11.059,22.624,0.1164,13.3,16.73,79.618,0.0,2.4266,182.4956,839.6006,,,104.4042,4.1446,29.621,3.9133,23.551,41.3837,32.6256,15.7716,97.3868,0.1117,2.5274,2.8705,1.5306,2.5493,0.1479,2.8046,,251.4536,329.6406,325.0672,902.4576,5.7247,3.8541,6.1797,2.568,4.6067,16.0104,1.5481,5.9453,3.16,8.9855,1.5481,2.9844,6.2277,0.0353,3.7663,5.6983,24.7959,13.5664,15.4488,58.0575,283.6616,,,28.7334,1.2356,11.4871,4.0782,4.3102,3.7696,2.0627,18.0233,21.6062,8.7236,3.0609,5.2231,0.0,0.0,2.2943,4.0917,50.6425,2.0261,5.2707,1.8268,4.2581,3.7479,3.522,10.3162,29.1663,18.7546,109.5747,14.2503,5.765,0.8972,3.1281,60.0,70.9161,8.8647,0.4264,4.8795,7.5418,10.0984,3.1182,15.079,6.528,2.8042,32.3594,3.0301,21.3645,5.4178,9.3327,8.3977,148.0287,31.4674,45.5423,3.1842,13.3923,9.1221,0.0,2.6727,93.9245,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,34.1573,1.0281,,3.9238,1.5357,10.8251,18.9849,9.0113,0.0,0.0,240.7767,244.2748,,,,36.9067,2.9626,0.0,14.5293,0.0751,7.087,12.1831,0.6451,6.4568,2.1538,2.9667,9.3046,7.116,411.136,74.654,0.1832,16.16,0.85,7.1619,0.3752,23.0713,3.9306,1.1386,24.7524,267.064,1.1,0.4122,0.4119,68.8489,535.0245,11.21,4.0923,2.0952,9.2721,82.8602,3.1745,82.8602
2008-07-19 21:57,1,2994.05,2548.21,2195.1222,1046.1468,1.3204,103.34,201.7125,11.8566,411.9572,10.2918,191.4207,-2727.5,1400.0,-1976.0,360.5,1.532,68.7111,3.5029,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,366.1545,120.2818,723.2513,138.1345,624.5709,113.0565,2891.0,27.8373,364.89,108.1191,7.8579,12.1627,16.9061,706.3452,0.8692,144.5955,617.6045,112.0789,151.5228,466.0817,7.4902,1732.2002,8476.17,,,636.9547,58.5394,3.148,-0.5677,993.1274,38.1448,89.0,170.8,146.2,53.0999,380.5909,0.1151,5.82,13.6246,9.66,10.227,0.4291,13.3159,0.46,,5655.0,2942.0,3967.0,776.0,2.2,1.0,16.15,13.2,23.319,3.04,18.95,34.253,4.07,20.07,0.477,10.22,17.24,4.07,6.706,25.579,0.2132,12.79,21.13,118.057,0.0,2.3422,68.026,1104.5,,,138.0032,2.6472,19.862,3.6163,23.551,58.9465,50.6152,18.0919,120.7408,0.0372,2.0875,4.2787,3.3436,3.4306,0.1211,4.2077,,3153.6764,1620.7332,2281.7211,418.6848,5.2778,3.9047,6.2918,0.8803,5.1803,9.4138,1.0726,5.6835,3.3098,8.9881,1.0726,2.0216,6.8075,0.0628,3.27,5.6977,36.4186,7.87,4.596,22.956,414.2061,,,50.0169,0.8859,7.1493,4.0782,5.7046,5.7374,2.419,36.3803,8.7145,5.6319,3.0263,8.7623,269.3851,0.0,3.6955,6.7545,81.4734,2.4825,4.1698,1.8942,6.9564,3.6899,4.3945,207.3327,210.1429,200.7591,215.2566,202.4176,201.0737,200.8486,3.2018,51.4286,70.0671,3.0546,0.4264,4.4107,3.1283,10.9742,3.2242,10.0934,2.2007,3.0341,30.2973,102.9947,14.6207,5.5003,4.4961,9.4525,219.3969,33.4629,39.6661,3.6213,24.5336,8.8454,0.0,3.4213,105.3338,0.0,99.4809,0.0,162.1884,0.0,97.2892,0.0,293.8947,31.2702,2.5832,,3.9238,0.8832,3.9271,42.7355,13.0306,474.3363,615.015,87.1111,0.0,,,,12.5838,4.7811,0.0,21.6661,0.114,4.5221,4.8734,0.3783,6.155,2.0579,1.9999,9.4805,7.116,411.648,74.512,0.2443,17.93,0.89,7.8882,0.3612,32.4934,4.3557,1.1944,53.157,265.922,9.26,3.3206,3.4822,15.4411,532.1764,9.5699,3.3618,1.7983,14.5507,57.8122,3.2115,57.8122
2008-07-19 22:52,1,2928.84,2479.4,2196.2111,1605.7578,0.9959,97.9156,202.1264,9.1084,419.9018,10.113,192.0134,-6097.75,2808.0,-3869.75,752.5,3.0345,64.7667,3.5217,85.4274,9.6234,50.4893,63.9315,49.5107,117.419,61.1,3.217,360.7891,143.8782,749.2445,136.8118,641.4791,213.618,2865.0,25.0836,362.5064,128.9618,9.4424,14.9164,21.6833,727.5613,0.9241,144.17,635.6382,63.7271,,,6.6383,1632.312,8789.5001,,,725.8145,59.5776,2.661,-0.5677,997.4308,45.1318,123.0,112.8,150.5,51.7,250.3359,0.2773,5.54,12.733,4.678,11.597,0.4533,12.3727,0.48,,2352.0,597.0,295.0,143.0,2.3,0.9,15.08,13.48,36.218,7.17,23.08,72.888,2.08,20.73,0.746,14.3,13.78,2.08,6.722,41.002,0.4785,12.1,27.28,73.696,0.0,3.9528,104.4568,740.5996,,,53.6078,3.064,27.537,4.1301,30.9815,45.1359,50.3528,16.6372,87.4243,0.0856,2.4003,4.0129,1.4144,3.2929,0.1335,3.9239,,1081.3385,255.566,128.014,68.7047,4.6853,3.6111,10.6289,1.7992,7.0204,23.0631,0.6579,5.7487,3.6622,10.5628,0.6579,1.814,11.2743,0.1467,3.9784,9.1103,24.8109,,,39.6184,230.4763,,,13.9769,0.9904,9.4089,5.6188,3.8514,6.07,2.3541,15.5899,27.8475,5.6579,3.8989,7.4677,569.2818,236.8442,3.4671,6.2995,51.3594,2.7618,4.4827,1.725,6.4437,3.8319,2.6594,38.5716,21.2607,7.6232,19.0033,7.9778,2.6561,3.3943,3.5512,43.5484,34.9272,2.2717,2.9979,4.1797,4.1735,9.369,4.8339,11.811,5.2408,3.5979,34.1207,5.2729,8.2922,5.7185,7.6268,11.0886,145.9369,13.9444,31.0008,5.6355,51.7796,8.3929,0.0,4.2917,115.6431,613.8337,73.812,0.0,0.0,0.0,0.0,141.3793,258.5859,59.5454,0.7578,,3.1045,0.4323,6.3993,26.8017,8.426,935.7644,0.0,67.9406,0.0,,,,9.6888,4.6512,0.0,7.3859,0.0625,5.1428,5.2886,1.8407,7.2606,1.5371,2.7608,9.1512,7.116,399.092,75.82,0.8752,14.32,0.43,7.1523,0.1713,67.3761,3.5881,0.5671,42.3877,264.188,3.32,1.4571,1.2567,13.0129,533.7464,7.74,2.8659,1.4501,12.8058,75.5077,8.5646,75.5077
2008-07-21 11:53,1,2963.97,2629.48,2224.6222,947.7739,1.2924,104.8489,195.3787,9.7561,422.3675,9.7825,185.5963,-1431.5,619.5,-1025.25,131.75,0.7672,62.5,3.4603,85.0922,9.2007,50.1899,64.2199,49.8101,118.2566,74.57,1.946,354.2945,138.28,732.4237,137.0027,629.5773,133.2749,2887.0,17.6382,353.3127,115.9182,10.2273,22.3618,28.1392,704.2846,1.0144,150.1191,619.35,78.7486,151.6967,467.6533,7.3445,1839.845,8651.3099,,,736.1852,56.5635,3.038,0.0,998.4607,38.6257,70.0,209.2,197.9,64.0999,295.563,0.1782,7.99,5.7405,7.568,10.272,0.8038,5.2769,0.48,,5726.0,2478.0,4101.0,527.0,2.2,1.0,18.54,7.73,22.958,9.59,19.25,32.266,3.91,15.22,0.491,7.08,17.34,3.91,6.281,21.191,0.1599,7.65,17.34,66.817,0.0,3.3189,157.0715,959.7998,,,148.298,3.8517,38.321,4.23,19.0952,78.3785,65.5491,22.6271,92.9482,0.061,2.5782,1.8277,2.3209,3.4534,0.2881,1.6841,,2863.0,1239.0,2050.5,263.5,4.9515,2.3778,6.6228,2.8768,5.1568,10.4504,1.2491,5.123,2.0763,7.9391,1.2491,1.9153,6.5641,0.0557,2.4251,4.6812,18.924,4.6047,4.7148,44.0573,324.5754,,,48.2171,1.0806,14.2037,3.1272,7.0581,7.5262,2.8814,31.185,13.7861,7.6205,3.5078,5.0503,692.5477,385.4507,2.2359,2.9381,77.572,2.432,8.2173,1.4406,2.8432,3.8529,3.5155,400.0,400.0,400.0,400.0,400.0,400.0,400.0,3.52,41.2844,54.2108,3.6702,1.6445,5.2329,7.3162,5.5901,3.1345,11.058,6.9999,3.0576,24.2101,7.7302,22.1678,4.3078,4.699,6.1078,169.5462,17.4852,22.3212,3.0089,15.768,5.096,0.0,2.7997,84.8485,901.9024,98.8254,0.0,162.99,152.356,81.9411,398.125,320.2966,45.1884,1.8655,,3.5795,5.18,8.5372,71.0696,11.0943,344.4976,697.8723,125.5385,728.8889,,,,39.1058,12.256,0.0,20.1441,2.0882,6.8096,5.1066,1.8764,4.8988,1.1299,3.838,10.9513,7.116,399.004,81.434,0.7283,14.17,1.06,6.3017,0.5242,68.5814,3.5513,1.3017,13.4909,,,,,,532.6446,11.42,3.7724,2.144,16.1875,142.908,1.8483,142.908
2008-07-25 15:23,1,2884.74,2514.54,2160.3667,899.9488,1.4022,105.4978,196.1842,11.6229,434.7942,8.8407,187.3435,-2664.25,1542.0,-2069.0,-112.25,1.4838,62.5,3.4744,85.0922,9.2007,50.1899,64.2199,49.8101,118.2566,74.57,1.946,356.2155,140.5218,737.734,137.3727,634.11,207.6625,2887.0,18.3936,355.0636,118.9155,13.1691,21.6064,29.3176,708.4164,0.9004,146.9618,620.9409,80.3773,153.3345,467.6064,6.8634,1843.7237,8621.49,,,762.9077,56.8545,3.034,-0.4731,1010.834,38.9435,100.0,133.7,136.5,77.9001,205.346,0.1604,10.2,13.1305,6.161,16.081,2.0334,11.0972,0.49,,5665.0,3623.0,4429.0,1045.0,3.4,1.4,19.27,5.63,23.538,4.54,16.0,53.795,3.34,16.58,0.893,6.93,16.72,3.34,5.553,25.702,0.3277,6.28,16.72,109.351,0.0,5.3001,87.8372,854.9004,,,102.3936,3.8766,30.671,3.591,29.7595,49.1815,47.7554,25.2088,63.001,0.0568,2.7759,4.1163,1.9332,4.4475,0.5969,3.6478,,3088.6554,1834.1299,2400.8614,445.8747,5.1588,1.9108,6.9612,1.5733,4.6015,18.595,0.9001,5.1394,2.1861,7.4833,0.9001,1.3682,7.264,0.0972,1.9061,5.0807,34.706,5.6482,5.4043,27.2835,262.7605,,,33.175,1.1806,11.3622,4.5968,4.6347,5.4284,3.6059,22.8175,11.4366,9.6685,3.9505,6.8462,132.8862,433.3333,2.1094,6.693,53.0074,3.6985,23.0001,1.5379,5.9235,3.9275,2.3113,212.6302,234.9546,214.0648,930.9577,206.7797,202.1312,205.0885,5.44,67.7419,62.4185,3.0796,1.6445,5.4097,5.8123,4.0065,3.1906,9.4325,3.3049,2.5232,25.905,7.7302,18.1585,4.6696,8.7833,5.8277,126.964,15.4584,18.9409,3.6281,36.3944,4.2732,0.0,2.6927,136.0472,197.3489,49.8663,0.0,96.6979,182.2785,141.7931,531.0665,364.04,77.2227,1.6302,,3.8838,0.6654,4.7641,21.7883,9.9159,0.0,893.5065,60.1156,0.0,,,,55.1651,1.5959,0.0,13.4215,2.1311,6.8185,7.3469,2.0097,4.3821,1.7238,3.0342,9.2211,7.116,400.572,74.558,0.4691,15.91,0.91,7.7465,0.4079,63.3533,3.9718,1.2205,16.2531,,,,,,536.0054,8.76,3.1106,1.6343,8.4505,216.8869,1.9771,216.8869
2008-07-28 6:45,1,2958.09,2542.24,2222.6778,1547.6125,1.4431,110.5644,199.6664,5.4971,409.9835,9.7739,189.8925,-5493.75,2550.5,-4939.75,-1403.75,7.5423,68.3222,3.6042,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,362.8327,137.6736,740.5161,137.6055,638.1118,218.5681,2936.0,24.9027,361.2645,122.5764,10.8518,15.0973,22.6227,717.8934,0.9017,143.4191,627.26,96.0843,158.7036,468.5564,7.033,1831.8286,8660.4701,,,656.7414,59.4302,2.647,-0.0473,1011.7456,43.008,89.0,133.6,98.3,67.7998,277.494,0.6531,8.01,7.2769,5.662,12.671,1.0515,7.1483,0.38,,73.0,259.0,4672.0,2073.0,2.2,1.2,14.17,11.34,23.743,4.36,13.74,56.979,3.35,26.15,0.912,9.96,19.62,3.35,8.536,24.65,0.2918,9.93,19.62,76.057,0.0,3.6584,99.7323,1793.6997,,,198.888,2.6639,18.14,2.9624,23.551,47.1241,37.4513,20.7992,80.0216,0.2386,2.2619,2.612,1.9785,3.5423,0.3218,2.5159,,34.0722,116.2999,2230.3298,956.8286,4.0902,3.3696,6.4567,1.4851,3.7176,20.1427,1.2445,9.3583,3.2206,11.0328,1.2445,2.5708,7.2276,0.0861,3.1546,6.3873,27.2031,5.2866,2.9883,31.9075,693.1412,,,80.2111,0.9237,6.2984,4.0782,4.5164,3.8667,3.0504,17.9305,45.2554,7.2446,2.5597,8.5927,357.8445,719.7452,1.7573,3.6445,102.9999,3.0906,10.758,0.6467,3.7644,3.0225,2.3706,1.3288,10.1549,94.5797,147.6759,7.1001,6.1584,3.076,3.22,54.8223,72.8102,9.6276,0.4264,3.9054,3.5498,8.2369,3.2063,10.6163,3.1685,2.1532,26.0692,3.0301,13.4523,7.2385,9.1568,8.1255,180.7996,22.1894,37.7319,3.4337,32.3644,6.9238,0.0,3.1279,79.1566,309.6844,150.6579,0.0,173.9932,158.8885,71.127,0.0,461.0711,52.0175,3.3756,,3.9138,2.5301,5.4444,36.7703,20.7113,0.0,0.0,172.0755,646.5753,,,,5.7587,3.8094,0.0,30.2841,0.0773,4.4824,6.4687,0.8396,5.6169,2.3284,1.7929,6.888,7.116,394.004,71.584,1.4268,90.7,25.47,38.4212,11.16,136.5152,23.0201,35.5806,24.7524,,,,,,533.9509,7.03,2.2791,1.3166,15.6351,100.7279,2.0882,100.7279
2008-07-28 15:11,1,2962.14,2545.71,2221.5778,1503.623,1.1878,111.3444,198.7302,6.4395,417.85,9.5543,189.1758,-5085.25,3493.75,-1465.75,-4444.6667,7.2032,63.5111,3.342,84.6216,9.1585,50.3138,64.4425,49.6862,122.4028,74.54,2.215,355.3409,153.76,755.293,133.8709,642.9718,202.5914,2890.0,15.1509,359.0427,128.9109,10.7536,24.8491,30.1427,725.1503,1.2705,144.2645,632.2182,198.9925,159.304,472.9142,7.7702,1797.941,8416.3099,,,731.0955,57.5651,2.647,-0.0473,1011.7456,43.008,89.0,125.9,92.9,67.5999,531.4619,0.5138,6.56,5.4998,7.882,18.283,5.2486,10.5031,0.41,,1848.0,4170.0,8536.0,4507.0,3.6,1.8,13.94,11.13,21.615,5.63,17.18,62.291,3.93,21.35,0.796,7.65,17.38,3.93,9.6461,21.889,0.2598,7.37,17.38,59.212,0.0,2.2585,131.8158,1437.1997,,,154.7894,2.7806,18.14,2.9624,23.551,44.9322,34.7118,20.2941,157.6079,0.1752,2.1387,1.7293,2.6204,5.3158,1.596,3.2071,,876.6031,2005.8744,4175.3221,2304.3082,4.1708,3.276,5.9578,1.798,4.6026,17.8483,1.2764,6.8342,2.4718,8.9451,1.2764,2.467,6.4496,0.0773,2.4526,5.0787,16.6716,3.6842,2.4374,41.0749,551.1498,,,56.543,0.7928,6.2984,4.0782,4.2503,3.6493,3.0429,35.3454,43.2564,5.8916,2.4767,7.5079,339.1887,431.3725,0.5325,2.7674,122.4017,4.3755,54.9343,1.2867,5.552,3.2676,3.4503,36.3404,119.356,582.364,101.4024,13.7931,1.9623,2.1657,5.6683,74.3119,104.7136,18.7313,0.695,3.923,4.6818,7.2386,2.8618,10.3914,4.2055,2.672,30.7471,2.7541,25.939,5.9464,8.1671,5.9343,161.6201,15.8155,32.0013,3.0185,20.4473,5.1087,0.0,2.7491,29.7559,283.0161,137.89,887.8613,101.749,138.2945,78.8006,0.0,498.7013,29.0662,3.3756,,3.3332,0.0537,7.3315,70.6972,17.0764,400.8565,0.0,75.2941,756.3636,,,,14.7676,2.0948,0.0,21.1722,0.1442,4.8304,4.7899,1.6168,2.6159,2.3284,1.7929,6.888,7.116,410.286,74.82,0.3605,19.34,0.89,8.7395,0.3393,49.7553,4.7138,1.1895,19.5713,260.078,4.38,1.6599,1.6841,27.8426,537.6273,12.21,4.2202,2.2711,9.4847,45.4264,3.9635,45.4264
2008-07-29 8:23,1,2912.87,2446.25,2166.5222,907.0746,1.0647,104.5211,201.7858,5.1046,408.7597,10.0934,191.6925,-5546.5,2632.75,-4311.75,-531.0,7.3775,69.0667,3.4502,84.1874,10.6376,50.6882,64.7132,49.3118,118.8356,79.48,2.419,349.4655,129.1318,718.1845,142.2927,620.89,130.8965,2859.0,5.03,348.4873,94.1618,23.28,34.97,38.8982,679.2864,1.5783,154.9609,597.61,21.9757,132.9324,464.6776,8.0515,1801.9478,8925.6301,,,767.6058,57.3774,3.2,-0.4258,1001.9434,38.7769,88.0,100.4,146.9,53.3,508.087,0.4927,8.9,5.4857,5.137,19.374,0.3856,5.1001,0.52,,299.0,190.0,2331.0,564.0,1.9,1.1,18.38,10.05,33.723,5.0,22.24,19.174,10.53,22.19,0.449,11.17,21.82,10.53,7.409,37.9,0.4124,20.78,21.82,9.412,0.0,2.7819,61.0977,577.7998,,,84.6817,3.976,26.212,2.6861,23.8212,40.4482,49.3298,18.9326,175.6416,0.1873,2.9023,1.9525,1.7362,6.2731,0.1107,1.8519,,134.7207,87.9825,1016.4662,231.6693,5.3607,2.6941,10.1112,1.7826,6.1708,6.2164,3.3789,7.4132,3.6859,12.2947,3.3789,2.2805,11.2241,0.1374,6.6739,7.0023,2.9471,8.1616,7.6306,17.5528,185.4212,,,28.1321,1.13,9.8109,3.8077,3.4468,6.0051,2.4602,56.0138,46.276,8.515,2.7033,7.0421,192.7201,0.0,2.2181,2.7186,100.634,4.7397,3.8203,1.7323,2.6606,4.1643,2.3818,5.3908,7.2168,54.0616,106.2147,5.2018,2.1508,0.9624,2.751,42.8571,66.6494,11.3906,1.2446,5.2595,2.6972,7.7827,4.6956,8.0881,3.5139,3.582,14.6482,5.2322,209.3439,6.3675,4.0825,11.8626,93.7285,30.1115,19.0472,5.5794,26.1277,13.4098,0.0,3.6512,42.8291,246.4924,65.2104,50.4425,101.4184,267.8914,126.9554,416.6855,517.9661,34.5513,3.0701,,2.9212,0.0566,3.3906,15.2055,6.4735,581.8182,0.0,113.0045,660.0,,,,45.2088,2.4937,0.0,11.0319,0.1151,6.9295,4.7717,0.4499,6.7381,0.8516,2.6161,6.9271,7.116,404.366,71.844,0.4278,20.24,0.7,8.2986,0.3207,74.1079,5.0054,0.9743,47.2964,262.644,5.96,2.7516,2.2692,20.0533,528.4727,8.67,2.9727,1.6406,26.5739,113.3721,2.3051,113.3721
2008-07-29 15:49,1,2993.59,2345.95,2169.4667,1185.4449,1.2412,100.8444,199.3216,7.359,416.8137,9.7807,189.5409,-5300.25,2631.0,-3525.5,-485.5,7.2763,69.0667,3.4006,101.9072,23.3453,57.6663,74.7081,42.3337,126.5662,65.83,5.171,362.1818,125.3255,722.9962,140.8573,628.3646,123.9121,2908.0,25.0382,359.6073,110.3636,9.691,14.9618,20.2052,702.791,1.0083,148.7027,618.6736,61.7909,155.8521,462.8216,7.2666,1836.6503,8800.4,,,759.8721,58.0644,3.207,-1.108,1013.5244,43.4014,92.0,163.1,254.0,60.7,307.865,0.1184,6.06,10.9006,4.342,10.931,0.7397,10.2176,0.38,,109.0,547.0,1075.0,1524.0,1.8,0.7,17.48,7.07,19.308,4.23,13.19,26.241,9.5,18.06,0.28,4.53,21.28,9.5,14.06,27.685,0.3718,19.73,21.28,80.561,0.0,3.8399,88.7012,1572.5996,,,130.8226,3.7145,18.48,2.3121,26.3184,65.3567,85.0263,20.8461,97.8339,0.0333,2.1868,3.4068,1.3986,3.0585,0.2253,3.2428,,48.9583,262.8269,504.3864,749.7113,4.7265,2.1588,5.6056,1.3072,3.8678,6.7717,2.6724,5.9064,1.0725,9.0885,2.6724,3.6487,7.4193,0.1168,5.6218,5.7689,28.8787,5.5701,7.2559,29.847,532.7832,,,49.354,1.2535,5.839,4.0737,5.4483,10.8272,2.7979,25.9704,9.5426,6.0093,3.8485,6.0902,443.8971,884.6011,2.2267,5.4689,59.0026,2.6225,7.5628,1.4986,5.3907,3.0492,10.8708,2.0565,20.7906,30.4921,313.9032,16.1365,4.8744,1.553,2.6062,30.8824,43.75,9.2632,0.5603,4.8263,6.1053,5.6413,2.6706,8.0648,3.003,2.0991,21.1771,5.3095,37.9421,5.0221,2.6712,4.1046,219.5858,63.495,69.586,3.9393,36.8704,13.2681,0.0,3.4396,130.3768,294.631,104.9749,193.4132,45.7143,240.6213,133.4218,338.2799,257.7163,52.8428,3.1587,,1.7999,0.8621,4.8295,17.1238,17.8696,788.8502,0.0,96.9697,745.4545,,,,41.9486,1.0566,0.0,17.2164,0.1128,6.3972,3.8073,2.6887,6.4626,2.5188,1.8233,5.3272,7.116,401.278,73.89,0.7029,20.23,0.67,8.9451,0.28,61.4214,5.0414,0.9068,7.2369,261.338,7.94,3.3165,3.0382,17.5247,530.9973,7.23,2.5312,1.3616,17.0935,56.0357,1.7469,56.0357
2008-07-29 17:05,1,2946.86,2533.91,2174.8666,1039.2291,1.0455,103.6,195.9192,4.7895,406.4293,10.2702,185.649,-5553.0,2616.5,-3990.5,-1657.25,7.389,69.5556,3.4474,84.3585,8.7495,50.4362,64.2234,49.5638,117.7078,78.13,4.063,348.7573,131.3309,720.0985,140.3218,620.41,132.1553,2859.0,23.3109,349.7327,114.6418,8.77,16.6891,20.8271,699.2714,0.9898,149.5082,613.8827,74.8493,146.2789,467.6038,7.4486,1854.7794,9295.6198,,,792.1467,58.3569,3.2,-0.4258,1001.9434,38.7769,120.0,109.3,129.0,59.5,533.891,0.4845,11.97,7.1186,7.491,14.69,0.5254,6.5931,0.52,,760.0,169.0,1310.0,6822.0,2.0,1.1,17.35,12.22,35.242,4.53,22.73,46.511,6.68,19.91,0.288,8.57,12.39,6.68,7.105,30.944,0.2706,7.37,19.75,73.326,0.0,2.7148,98.6211,962.0,,,90.1303,2.7385,26.212,2.6861,30.5926,42.2178,45.3961,20.4695,202.9874,0.1512,4.1536,2.2972,2.3194,3.7432,0.1512,2.1598,,318.781,83.0682,616.853,3181.7059,5.1077,3.1422,10.5917,1.4141,6.9333,12.8759,1.6202,6.1475,2.5067,9.8889,1.6202,1.907,9.3877,0.0805,2.3758,6.1835,25.5563,6.1598,5.5723,33.3433,293.5467,,,29.6293,0.8285,9.8109,5.4129,3.709,5.0909,2.7358,51.3738,46.3425,11.5541,3.768,6.432,194.319,895.0192,2.7461,3.6334,156.4061,3.6144,5.1159,1.525,3.5514,4.1643,3.8696,13.6863,6.459,32.828,411.6458,7.9706,6.3135,1.6511,2.8754,41.4226,93.6073,11.4288,1.0684,4.9748,2.5551,9.3047,4.8941,7.6966,3.2283,3.6637,35.1942,5.2322,28.6561,5.6929,2.7678,7.4755,141.277,40.0261,34.1144,4.4252,27.3414,4.9295,0.0,3.2172,97.9649,0.0,107.8929,503.3333,123.4346,403.4423,89.825,741.1765,617.6744,36.4466,2.8074,,1.7835,0.1781,5.3171,22.3234,10.349,0.0,345.4927,18.0064,0.0,,,,9.0516,2.2862,0.0,11.378,0.0774,4.6927,4.3595,1.5516,5.3698,0.8516,2.6161,6.9271,7.116,409.452,81.614,0.41,16.73,1.34,8.2142,0.633,52.9871,4.0859,1.6419,17.8215,,,,,,533.3209,6.43,2.3127,1.2057,7.9429,55.8324,3.0407,55.8324
