Time,Pass/Fail,F0,F1,F2,F3,F4,F6,F15,F21,F22,F23,F24,F40,F43,F45,F46,F50,F51,F55,F59,F60,F62,F63,F65,F66,F67,F70,F71,F72,F73,F88,F90,F115,F117,F133,F135,F136,F137,F138,F139,F140,F148,F151,F152,F154,F158,F159,F160,F161,F162,F183,F185,F187,F188,F196,F197,F199,F200,F201,F202,F203,F204,F205,F207,F208,F223,F225,F246,F250,F252,F268,F270,F271,F272,F274,F275,F283,F286,F287,F293,F294,F295,F296,F297,F324,F332,F335,F336,F338,F339,F340,F343,F344,F345,F346,F361,F363,F388,F390,F412,F413,F418,F419,F421,F423,F424,F425,F428,F429,F430,F431,F432,F433,F434,F435,F436,F438,F439,F440,F456,F460,F467,F468,F471,F472,F473,F474,F476,F477,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F490,F494,F496,F499,F500,F510,F511,F516,F519,F520,F521,F522,F524,F547,F555,F561,F562,F569,F570,F572,F574,F576,F577,F581,F589
2008-07-19 11:55,-1,3030.93,2564.0,2187.7333,1411.1265,1.3602,97.6133,414.871,-5419.0,2916.5,-4043.75,751.0,61.29,352.7173,130.3691,723.3092,624.3145,218.3174,2834.0,-1.7264,350.9264,108.6427,16.1445,29.5367,693.7724,0.9226,608.17,84.0793,,,1747.6049,8671.9301,748.6115,58.4306,1000.7263,123.0,111.3,75.2,46.2,350.671,0.3948,12.2566,10.284,0.4734,11.8901,,1017.0,967.0,1066.0,368.0,16.713,5.72,11.19,65.363,5.38,20.1,10.62,10.3,5.38,4.04,16.23,0.2951,8.64,10.3,97.314,175.2173,1940.3994,,219.9453,2.8374,40.855,30.9815,33.9606,22.9057,110.2144,0.131,3.9321,3.5811,0.1337,,418.1363,398.3185,496.1582,158.333,18.0118,1.5989,3.0911,8.4654,1.2293,5.3406,0.0867,2.9971,31.8843,,,55.2039,560.2658,61.5932,0.9967,24.8504,29.0271,525.0965,0.0,6.0544,53.684,2.4788,4.7141,3.275,3.6084,18.7673,33.1562,26.3617,49.0013,10.0503,2.7073,3.1158,44.5055,42.2737,1.3071,6.1463,29.9394,6.2052,311.6377,9.7752,63.7987,24.7625,13.6778,31.9893,5.8142,0.0,115.7408,613.3069,291.4842,494.6996,178.1759,843.1138,0.0,53.1098,0.0,48.2091,2.1739,17.1202,0.0,0.0,64.6707,0.0,,,1.9864,0.0,29.3804,4.856,395.57,39.8842,42.3877,,,533.85,8.95,3.0624,1.6765,14.9509,,
2008-07-19 12:32,-1,3095.78,2465.14,2230.4222,1463.6606,0.8294,102.3433,414.7347,-5441.5,2604.25,-3498.75,-1640.25,78.25,352.2445,133.1727,724.8264,631.2618,205.1695,2853.0,0.8073,352.0073,113.98,10.9036,27.6301,697.1964,1.1598,620.3582,82.3494,,,1931.6464,8407.0299,731.2517,58.668,998.1081,98.0,80.3,81.0,56.2,219.7679,0.2301,12.3319,13.077,0.5666,11.8428,,568.0,59.0,297.0,3277.0,16.358,6.92,9.05,82.986,3.74,19.59,11.65,8.02,3.74,3.659,15.078,0.358,8.96,8.02,134.25,128.4285,1988.0,,193.0287,3.8999,29.743,29.0598,28.9862,22.3163,83.5542,0.0767,3.9011,3.9483,0.1662,,233.9865,26.5879,139.2082,1529.7622,23.623,1.1506,3.3604,7.7421,1.1265,5.0108,0.1013,2.489,41.708,,,46.3453,677.1873,65.0999,1.1655,15.015,27.7464,0.0,368.9713,6.1491,61.8918,3.1531,6.1188,2.8088,3.1595,10.4383,2.2655,8.4887,199.7866,8.6336,5.7093,1.6779,48.5294,37.5793,16.4174,6.9233,40.4475,4.7415,463.2883,10.2211,73.5536,19.4865,13.243,30.8643,5.8042,0.0,163.0249,0.0,246.7762,0.0,359.0444,130.635,820.79,194.4371,0.0,58.1666,0.1441,12.6788,0.0,0.0,141.4365,0.0,,,1.6292,0.0,26.397,6.6475,408.798,53.1836,18.1087,,,535.0164,5.92,2.0111,1.1065,10.9003,208.2045,208.2045
2008-07-19 13:17,1,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,416.7075,-5447.75,2701.75,-4047.0,-1916.5,14.37,364.3782,131.8027,734.7924,637.2655,185.7574,2936.0,23.8245,364.5364,115.6273,11.3019,24.2829,710.5095,0.8694,625.9636,84.7681,140.6972,485.2665,1685.8514,9317.1698,718.5777,58.4808,998.444,89.0,126.4,96.5,45.1001,306.038,0.3263,8.266,8.443,0.4909,8.2054,,562.0,788.0,759.0,2100.0,22.912,9.21,17.87,60.11,5.09,19.75,9.71,16.73,5.09,11.059,22.624,0.1164,13.3,16.73,79.618,182.4956,839.6006,,104.4042,4.1446,29.621,23.551,41.3837,32.6256,97.3868,0.1117,2.8705,2.5493,0.1479,,251.4536,329.6406,325.0672,902.4576,16.0104,1.5481,3.16,8.9855,2.9844,6.2277,0.0353,5.6983,24.7959,13.5664,15.4488,58.0575,283.6616,28.7334,1.2356,18.0233,21.6062,0.0,0.0,4.0917,50.6425,2.0261,5.2707,3.7479,3.522,10.3162,29.1663,18.7546,109.5747,14.2503,5.765,0.8972,60.0,70.9161,8.8647,15.079,32.3594,3.0301,21.3645,8.3977,148.0287,31.4674,45.5423,13.3923,9.1221,0.0,93.9245,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,34.1573,1.5357,18.9849,0.0,0.0,240.7767,244.2748,,36.9067,2.9626,0.0,14.5293,7.087,411.136,23.0713,24.7524,267.064,68.8489,535.0245,11.21,4.0923,2.0952,9.2721,82.8602,82.8602
2008-07-19 14:43,-1,2988.72,2479.9,2199.0333,909.7926,1.3204,104.2367,422.2894,-5468.25,2648.25,-4515.0,-1657.25,76.9,363.0273,131.8027,733.8778,637.3727,189.9079,2936.0,24.3791,361.4582,116.1818,13.5597,23.4736,710.4043,0.9761,625.2945,70.2289,160.321,464.9735,1752.0968,8205.7,709.0867,58.6635,980.451,127.0,118.0,123.7,47.8,162.432,0.1915,13.2651,15.241,1.3029,11.9738,,859.0,355.0,3433.0,3004.0,22.562,5.69,18.2,52.571,5.92,23.6,10.63,13.56,5.92,11.382,24.32,0.3458,9.56,21.97,104.95,152.0885,820.3999,,94.0954,3.2119,31.83,33.896,37.8477,44.3906,50.3631,0.0581,4.2154,4.0526,0.3882,,415.5048,157.0889,1572.6896,1377.4276,15.7375,1.7317,3.2699,9.402,3.0672,6.6839,0.0928,6.3292,29.0339,8.4026,4.8851,45.7058,309.8492,32.4228,1.1135,17.8537,14.5054,317.7362,0.0,6.5718,94.4594,3.6091,13.442,2.8049,4.9898,15.7089,13.4051,76.0354,181.2641,5.176,5.3899,1.3671,34.0336,41.5236,7.1274,13.7105,27.6824,3.0301,24.2831,9.1494,100.0021,37.8979,48.4887,35.4323,6.4746,0.0,149.4399,225.0169,100.4883,305.75,88.5553,104.666,71.7583,0.0,336.766,72.9635,0.1488,29.2542,0.0,711.6418,113.5593,0.0,,4.12,2.4416,0.0,13.2699,5.4751,372.822,161.4081,62.7572,268.228,25.0363,530.5682,9.33,2.8971,1.7585,8.5831,73.8432,73.8432
2008-07-19 15:22,-1,3032.24,2502.87,2233.3667,1326.52,1.5334,100.3967,420.5925,-5476.25,2635.25,-3987.5,117.0,76.39,353.34,176.3136,789.7523,667.7418,233.5491,2865.0,-12.2945,355.0809,144.0191,21.9782,44.1498,745.6025,0.9256,645.7636,65.8417,,,1828.3846,9014.46,796.595,58.3858,993.1274,119.0,143.2,123.1,48.8,296.303,0.3744,14.2354,12.506,0.4434,13.9047,,699.0,283.0,1747.0,1443.0,37.715,3.98,25.54,72.149,5.52,15.76,10.71,19.77,5.52,8.446,33.832,0.3951,9.09,19.77,92.307,69.151,1406.4004,,149.2172,2.5775,19.862,34.125,55.9626,53.0876,88.7672,0.1092,4.4239,3.6536,0.1293,,319.1252,128.0296,799.5884,628.3083,23.116,1.6216,3.155,9.7777,2.5923,10.5352,0.1301,6.3767,32.0537,,,21.0312,494.7368,57.2692,0.8495,22.3369,24.4142,0.0,866.0295,7.0492,85.2255,2.9734,4.2892,3.4473,3.8754,12.7642,10.739,43.8119,0.0,11.4064,2.0088,1.5533,25.3521,37.4691,15.247,11.4945,30.8924,5.3863,44.898,7.4365,89.9529,17.0927,19.1303,42.6838,6.1979,0.0,140.1953,171.4486,276.881,461.8619,240.1781,0.0,587.3773,748.1781,0.0,55.1057,0.0372,107.6905,293.1396,0.0,148.0663,0.0,,,2.5512,0.0,18.7319,4.4146,399.914,70.9706,22.05,,,532.0155,8.83,3.1776,1.6597,10.9698,,73.8432
2008-07-19 17:53,-1,2946.25,2432.84,2233.3667,1326.52,1.5334,100.3967,414.2426,-6058.0,2953.75,-3906.5,193.75,59.94,360.2873,142.2591,746.8692,640.1936,192.7702,2865.0,28.2955,360.2409,130.5545,7.618,18.3685,728.5007,0.9227,635.4936,70.3707,,,1832.6305,7869.7,748.0887,58.656,998.1081,123.0,159.8,119.3,48.8,296.303,0.3744,12.3665,10.42,0.5564,11.8948,,2089.0,910.0,323.0,1157.0,35.535,7.92,21.62,82.556,6.61,24.22,11.8,21.78,6.61,9.679,34.8069,0.5217,12.32,34.99,111.952,129.1731,1132.2998,,158.2729,2.6668,29.743,32.0878,52.6671,36.4696,88.7672,0.1092,3.9449,3.1727,0.1614,,982.8228,384.6101,152.4347,478.1502,25.2892,1.9589,3.3583,10.4221,2.6806,9.6731,0.1582,9.5854,33.4938,,,42.1498,335.5983,58.2605,0.923,22.3369,24.4142,347.774,865.1584,6.1687,61.9853,2.5154,6.0186,3.6019,3.6904,34.4833,30.8083,8.2683,597.1613,7.2788,2.0253,1.4752,55.102,76.0159,3.4943,13.0665,42.8261,5.2729,23.3606,9.0384,285.9,56.4737,52.6935,56.539,8.5143,0.0,159.0889,325.3468,71.0586,0.0,826.936,0.0,78.3348,723.4234,273.8095,42.6594,0.2873,14.7656,0.0,0.0,68.7351,622.2222,,4.6687,2.1027,0.0,21.157,4.5466,412.222,86.9463,30.6277,254.006,22.5598,534.2091,8.91,2.2598,1.6679,13.7755,44.0077,44.0077
2008-07-19 19:44,-1,3030.27,2430.12,2230.4222,1463.6606,0.8294,102.3433,415.8852,-6154.0,2691.75,-3914.75,580.25,74.46,352.1836,132.3455,723.4934,631.0145,201.7609,2853.0,2.1109,351.46,114.4564,12.74,26.2754,697.218,1.115,618.2745,83.4997,,,1740.6472,9238.3601,806.2734,58.823,995.1991,89.0,173.7,122.5,56.2,219.7679,0.2301,14.104,10.965,0.4136,13.8354,,2117.0,643.0,441.0,565.0,15.84,5.04,6.91,47.803,3.43,17.53,11.94,14.05,3.43,4.58,18.091,0.334,13.41,14.05,114.35,65.3582,1046.2002,,105.5219,3.4843,29.099,24.0522,53.0949,40.5089,83.5542,0.0767,4.3345,3.8913,0.1207,,1000.9579,276.541,181.7863,254.5432,14.0744,0.8887,3.4442,8.099,1.1881,5.5104,0.0899,3.7205,36.0395,,,23.0568,375.0252,39.0975,1.1262,15.015,27.7464,326.1524,467.5756,6.9791,91.3669,2.6365,4.1364,2.8088,6.1127,34.4004,23.8878,11.2651,97.3718,8.6069,2.258,4.2602,24.1071,55.7395,3.1495,7.9894,23.6929,4.7415,162.4892,10.4319,110.283,19.1737,17.4307,29.9535,8.8016,0.0,136.9466,266.1526,509.0909,110.6781,189.4602,586.3636,0.0,355.7932,304.5139,22.6594,0.3268,41.0596,0.0,723.3853,159.5238,748.3871,,,4.0505,0.0,13.0876,5.9234,404.356,29.4773,51.4535,,,541.9036,6.48,2.2019,1.1958,8.3645,,44.0077
2008-07-19 19:45,-1,3058.88,2690.15,2248.9,1004.4692,0.7884,106.24,408.4017,-5395.5,2551.75,-3819.75,-737.0,78.09,358.67,142.2945,745.6875,637.6436,133.6606,2865.0,29.1309,360.1382,131.4255,5.5936,15.3094,730.3781,0.9965,635.8891,57.0841,,,1826.1111,9117.3699,778.3335,59.0421,992.8298,91.0,175.4,201.1,55.5,249.9639,0.0577,13.5649,14.952,1.3097,12.2552,,233.0,346.0,1429.0,807.0,37.242,7.61,21.7,11.961,4.72,24.7,12.72,12.63,4.72,4.496,35.803,0.7151,17.14,28.89,73.632,126.1031,1222.1006,,128.7632,2.7835,27.861,29.3966,74.695,65.5784,92.8285,0.0216,4.3027,3.7801,0.3878,,106.4973,151.6605,652.0774,366.1448,3.3091,1.4892,3.2599,11.2226,1.6179,10.2964,0.1827,8.0261,22.1485,,,39.4817,376.4134,40.8608,0.962,24.8852,7.321,399.362,0.0,6.7015,141.6508,3.6611,13.525,3.8319,3.3651,4.3184,13.5593,37.4108,109.498,12.1235,7.1384,1.4888,39.4422,32.6055,11.1311,9.147,8.9488,5.2729,16.2027,9.6785,225.7941,43.4259,29.3676,71.7657,11.8759,0.0,128.9887,374.6159,89.1323,484.1046,0.0,0.0,129.2388,0.0,440.8163,121.6359,0.0527,47.8698,0.0,0.0,79.1209,0.0,,13.823,1.6426,0.0,16.5435,4.7144,408.116,72.153,43.0771,265.09,23.6052,493.0054,278.19,92.5866,56.4274,16.0862,95.031,95.031
2008-07-19 20:24,-1,2967.68,2600.47,2248.9,1004.4692,0.7884,106.24,417.6009,-4196.5,2059.5,-2948.0,622.75,61.1,358.9564,142.7009,745.4127,639.9682,216.9538,2865.0,26.9791,358.3473,129.68,8.8612,19.9475,725.4652,0.9079,632.5727,74.3992,,,1788.8624,8615.27,748.563,58.7785,992.8298,91.0,136.1,116.8,55.5,249.9639,0.0577,13.3953,16.973,1.3892,12.0061,,5781.0,2900.0,3961.0,948.0,31.969,5.63,19.79,81.637,5.09,18.92,11.79,16.32,5.09,6.867,31.886,0.4077,7.18,25.3,90.715,100.5114,740.3994,,61.5139,2.8729,27.861,29.3966,53.8333,44.2335,92.8285,0.0216,4.2453,3.9049,0.4127,,2803.1611,1377.7589,1965.4555,423.4787,21.5711,1.5156,3.4278,8.7793,2.1256,9.6503,0.1204,7.1398,30.9028,,,35.7156,205.529,20.5522,1.0021,24.8852,7.321,496.3964,624.0602,6.6164,57.1204,4.0644,14.3147,3.8319,3.9248,137.7577,140.8109,134.3623,152.228,133.5286,133.4845,134.0243,27.9793,38.494,2.5951,15.4539,37.6287,5.2729,18.8665,9.0916,184.1738,39.091,34.4251,44.9089,4.9673,0.0,121.9301,477.0328,106.1693,51.4694,892.1933,616.8421,86.1931,364.0719,155.6827,37.8245,2.9308,25.8449,0.0,686.5784,138.5827,395.2941,,6.5964,2.3441,0.0,8.2176,4.8876,408.468,51.7053,13.9158,265.184,18.212,535.1818,7.09,2.4902,1.3248,14.2892,111.6525,111.6525
2008-07-19 21:35,-1,3016.11,2428.37,2248.9,1004.4692,0.7884,106.24,413.3677,-5357.5,2872.5,-3911.5,873.75,78.09,360.6945,141.9964,746.1649,639.83,194.3669,2865.0,28.3118,361.1809,130.3082,6.8983,18.1525,728.0125,1.0028,638.63,65.504,,,1712.8033,9126.72,786.6071,58.3664,992.8298,123.0,175.8,211.9,55.5,249.9639,0.0577,13.3764,18.186,1.2564,12.1224,,862.0,882.0,422.0,186.0,36.258,10.29,23.39,43.062,6.18,14.7,17.58,5.58,6.18,5.58,38.652,0.6348,24.97,21.47,109.867,138.5192,1266.0,,123.1775,2.9198,27.861,30.9815,69.3175,72.1316,92.8285,0.0216,4.2495,4.5845,0.3714,,354.072,392.7259,179.359,76.6219,12.2822,1.9743,5.0014,11.5511,1.6883,11.4445,0.229,7.2497,37.0311,,,43.4619,406.3592,42.0501,1.0207,24.8852,7.321,397.4922,979.2574,6.6024,108.9894,4.3995,12.9464,3.8319,3.0589,16.0896,30.705,10.7887,21.2876,8.4421,2.9246,0.7098,33.6449,45.7453,2.7268,8.2658,22.155,5.2729,21.8283,13.4911,80.8892,52.8739,30.7396,63.2981,16.9701,0.0,167.7256,790.5782,104.004,979.8817,816.9231,497.603,119.3208,115.01,0.0,57.2817,0.671,44.0988,0.0,0.0,86.0068,0.0,,7.9931,2.6612,0.0,15.6593,5.0025,396.504,81.5915,20.9776,265.206,5.8617,533.42,3.54,1.0395,0.6636,7.4181,90.2294,90.2294
