Time,Pass/Fail,F0,F1,F2,F3,F4,F6,F12,F14,F15,F16,F18,F22,F23,F24,F27,F28,F32,F33,F34,F35,F36,F39,F40,F41,F43,F45,F46,F48,F50,F51,F55,F59,F60,F62,F63,F64,F65,F66,F68,F70,F71,F72,F73,F88,F90,F110,F111,F115,F117,F129,F133,F134,F135,F136,F137,F138,F139,F140,F142,F150,F151,F152,F154,F155,F160,F161,F162,F166,F180,F182,F183,F185,F187,F188,F201,F208,F209,F218,F223,F245,F246,F252,F268,F269,F270,F271,F272,F273,F274,F275,F277,F286,F287,F289,F295,F296,F297,F316,F318,F319,F321,F323,F324,F344,F345,F346,F361,F383,F384,F390,F406,F408,F409,F410,F412,F413,F415,F416,F417,F418,F419,F420,F423,F424,F425,F428,F429,F432,F433,F437,F438,F439,F440,F453,F454,F456,F457,F459,F460,F467,F468,F472,F473,F474,F476,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F490,F491,F492,F494,F495,F496,F499,F500,F510,F511,F516,F517,F518,F519,F520,F521,F523,F524,F525,F527,F539,F541,F545,F547,F548,F550,F551,F553,F555,F556,F557,F561,F562,F564,F566,F569,F570,F572,F574,F576,F577,F581,F585,F589
2008-07-19 13:17,1,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,202.0179,9.5157,416.7075,9.3144,192.7035,2701.75,-4047.0,-1916.5,7.5788,67.1333,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,364.3782,131.8027,734.7924,141.0845,637.2655,185.7574,2936.0,23.8245,364.5364,115.6273,11.3019,16.1755,24.2829,710.5095,145.8,625.9636,84.7681,140.6972,485.2665,1685.8514,9317.1698,104.35232196205396,231.2555688912982,718.5777,58.4808,-0.1892,998.444,42.0579,89.0,126.4,96.5,45.1001,306.038,0.3263,8.33,4.819,8.443,0.4909,8.2054,0.47,788.0,759.0,2100.0,2.1,17.78,13.31,22.912,9.21,17.87,60.11,5.09,79.618,0.0,2.4266,182.4956,2.584379257448047,7.099132985193069,4.1446,29.621,3.9133,23.551,41.3837,32.6256,15.7716,97.3868,0.1117,2.5274,2.5493,0.1479,2.8046,329.6406,325.0672,902.4576,5.7247,3.8541,6.1797,2.568,4.6067,16.0104,24.7959,13.5664,15.4488,58.0575,0.8250371746914933,2.2299930920431605,1.2356,11.4871,4.0782,4.3102,3.7696,18.0233,21.6062,8.7236,3.0609,5.2231,0.0,0.0,2.2943,50.6425,2.0261,5.2707,3.7479,3.522,18.7546,109.5747,3.1281,60.0,70.9161,8.8647,7.5418,10.0984,15.079,6.528,2.8042,32.3594,3.0301,21.3645,148.0287,31.4674,45.5423,13.3923,0.0,93.9245,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,34.1573,1.0281,8.569554661059705,1.5357,10.8251,18.9849,0.0,0.0,240.7767,244.2748,0.2677479186852132,2.51050014757672,3.071177062176516,36.9067,2.9626,0.0,0.0751,7.087,12.1831,6.4568,2.1538,9.3046,7.116,411.136,74.654,16.16,0.85,7.1619,23.0713,3.9306,1.1386,24.7524,267.064,1.1,0.4122,68.8489,535.0245,11.21,4.0923,2.0952,9.2721,82.8602,3.1745,82.8602
2008-07-19 21:57,1,2994.05,2548.21,2195.1222,1046.1468,1.3204,103.34,201.7125,11.8566,411.9572,10.2918,191.4207,1400.0,-1976.0,360.5,1.532,68.7111,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,366.1545,120.2818,723.2513,138.1345,624.5709,113.0565,2891.0,27.8373,364.89,108.1191,7.8579,12.1627,16.9061,706.3452,144.5955,617.6045,112.0789,151.5228,466.0817,1732.2002,8476.17,102.36883258742668,238.60324907734574,636.9547,58.5394,-0.5677,993.1274,38.1448,89.0,170.8,146.2,53.0999,380.5909,0.1151,5.82,9.66,10.227,0.4291,13.3159,0.46,2942.0,3967.0,776.0,2.2,16.15,13.2,23.319,3.04,18.95,34.253,4.07,118.057,0.0,2.3422,68.026,15.331510090231358,13.207010421565704,2.6472,19.862,3.6163,23.551,58.9465,50.6152,18.0919,120.7408,0.0372,2.0875,3.4306,0.1211,4.2077,1620.7332,2281.7211,418.6848,5.2778,3.9047,6.2918,0.8803,5.1803,9.4138,36.4186,7.87,4.596,22.956,4.512325240733235,3.886978015275706,0.8859,7.1493,4.0782,5.7046,5.7374,36.3803,8.7145,5.6319,3.0263,8.7623,269.3851,0.0,3.6955,81.4734,2.4825,4.1698,3.6899,4.3945,200.7591,215.2566,3.2018,51.4286,70.0671,3.0546,3.1283,10.9742,10.0934,2.2007,3.0341,30.2973,102.9947,14.6207,219.3969,33.4629,39.6661,24.5336,0.0,105.3338,0.0,99.4809,0.0,162.1884,0.0,97.2892,0.0,293.8947,31.2702,2.5832,6.583379602623243,0.8832,3.9271,42.7355,474.3363,615.015,87.1111,0.0,0.7913989398402079,15.255312274465718,5.650029863715992,12.5838,4.7811,0.0,0.114,4.5221,4.8734,6.155,2.0579,9.4805,7.116,411.648,74.512,17.93,0.89,7.8882,32.4934,4.3557,1.1944,53.157,265.922,9.26,3.3206,15.4411,532.1764,9.5699,3.3618,1.7983,14.5507,57.8122,3.2115,57.8122
2008-07-19 22:52,1,2928.84,2479.4,2196.2111,1605.7578,0.9959,97.9156,202.1264,9.1084,419.9018,10.113,192.0134,2808.0,-3869.75,752.5,3.0345,64.7667,85.4274,9.6234,50.4893,63.9315,49.5107,117.419,61.1,3.217,360.7891,143.8782,749.2445,136.8118,641.4791,213.618,2865.0,25.0836,362.5064,128.9618,9.4424,14.9164,21.6833,727.5613,144.17,635.6382,63.7271,151.83353931806224,472.8106633005932,1632.312,8789.5001,102.40108075250185,232.5077818047696,725.8145,59.5776,-0.5677,997.4308,45.1318,123.0,112.8,150.5,51.7,250.3359,0.2773,5.54,4.678,11.597,0.4533,12.3727,0.48,597.0,295.0,143.0,2.3,15.08,13.48,36.218,7.17,23.08,72.888,2.08,73.696,0.0,3.9528,104.4568,1.0977765857024213,2.774652013806328,3.064,27.537,4.1301,30.9815,45.1359,50.3528,16.6372,87.4243,0.0856,2.4003,3.2929,0.1335,3.9239,255.566,128.014,68.7047,4.6853,3.6111,10.6289,1.7992,7.0204,23.0631,24.8109,5.419729808548993,4.153624516414096,39.6184,0.42474252841645743,0.9927912590870984,0.9904,9.4089,5.6188,3.8514,6.07,15.5899,27.8475,5.6579,3.8989,7.4677,569.2818,236.8442,3.4671,51.3594,2.7618,4.4827,3.8319,2.6594,7.6232,19.0033,3.5512,43.5484,34.9272,2.2717,4.1735,9.369,11.811,5.2408,3.5979,34.1207,5.2729,8.2922,145.9369,13.9444,31.0008,51.7796,0.0,115.6431,613.8337,73.812,0.0,0.0,0.0,0.0,141.3793,258.5859,59.5454,0.7578,8.117122277702244,0.4323,6.3993,26.8017,935.7644,0.0,67.9406,0.0,0.48033682271232125,1.0549724981097643,1.1937338073891377,9.6888,4.6512,0.0,0.0625,5.1428,5.2886,7.2606,1.5371,9.1512,7.116,399.092,75.82,14.32,0.43,7.1523,67.3761,3.5881,0.5671,42.3877,264.188,3.32,1.4571,13.0129,533.7464,7.74,2.8659,1.4501,12.8058,75.5077,8.5646,75.5077
2008-07-21 11:53,1,2963.97,2629.48,2224.6222,947.7739,1.2924,104.8489,195.3787,9.7561,422.3675,9.7825,185.5963,619.5,-1025.25,131.75,0.7672,62.5,85.0922,9.2007,50.1899,64.2199,49.8101,118.2566,74.57,1.946,354.2945,138.28,732.4237,137.0027,629.5773,133.2749,2887.0,17.6382,353.3127,115.9182,10.2273,22.3618,28.1392,704.2846,150.1191,619.35,78.7486,151.6967,467.6533,1839.845,8651.3099,101.37387355196347,239.68648079569746,736.1852,56.5635,0.0,998.4607,38.6257,70.0,209.2,197.9,64.0999,295.563,0.1782,7.99,7.568,10.272,0.8038,5.2769,0.48,2478.0,4101.0,527.0,2.2,18.54,7.73,22.958,9.59,19.25,32.266,3.91,66.817,0.0,3.3189,157.0715,17.48907549810467,13.518203023426178,3.8517,38.321,4.23,19.0952,78.3785,65.5491,22.6271,92.9482,0.061,2.5782,3.4534,0.2881,1.6841,1239.0,2050.5,263.5,4.9515,2.3778,6.6228,2.8768,5.1568,10.4504,18.924,4.6047,4.7148,44.0573,4.950311778980172,3.770545302017794,1.0806,14.2037,3.1272,7.0581,7.5262,31.185,13.7861,7.6205,3.5078,5.0503,692.5477,385.4507,2.2359,77.572,2.432,8.2173,3.8529,3.5155,400.0,400.0,3.52,41.2844,54.2108,3.6702,7.3162,5.5901,11.058,6.9999,3.0576,24.2101,7.7302,22.1678,169.5462,17.4852,22.3212,15.768,0.0,84.8485,901.9024,98.8254,0.0,162.99,152.356,81.9411,398.125,320.2966,45.1884,1.8655,8.003660348738908,5.18,8.5372,71.0696,344.4976,697.8723,125.5385,728.8889,0.6951605421068616,17.45208234079907,5.768054726502177,39.1058,12.256,0.0,2.0882,6.8096,5.1066,4.8988,1.1299,10.9513,7.116,399.004,81.434,14.17,1.06,6.3017,68.5814,3.5513,1.3017,13.4909,260.05476228668164,-1.4342610847805872,-0.431448265001233,22.95674427361882,532.6446,11.42,3.7724,2.144,16.1875,142.908,1.8483,142.908
2008-07-25 15:23,1,2884.74,2514.54,2160.3667,899.9488,1.4022,105.4978,196.1842,11.6229,434.7942,8.8407,187.3435,1542.0,-2069.0,-112.25,1.4838,62.5,85.0922,9.2007,50.1899,64.2199,49.8101,118.2566,74.57,1.946,356.2155,140.5218,737.734,137.3727,634.11,207.6625,2887.0,18.3936,355.0636,118.9155,13.1691,21.6064,29.3176,708.4164,146.9618,620.9409,80.3773,153.3345,467.6064,1843.7237,8621.49,104.78966331156167,235.99540538631473,762.9077,56.8545,-0.4731,1010.834,38.9435,100.0,133.7,136.5,77.9001,205.346,0.1604,10.2,6.161,16.081,2.0334,11.0972,0.49,3623.0,4429.0,1045.0,3.4,19.27,5.63,23.538,4.54,16.0,53.795,3.34,109.351,0.0,5.3001,87.8372,14.465358991056714,17.07348636200692,3.8766,30.671,3.591,29.7595,49.1815,47.7554,25.2088,63.001,0.0568,2.7759,4.4475,0.5969,3.6478,1834.1299,2400.8614,445.8747,5.1588,1.9108,6.9612,1.5733,4.6015,18.595,34.706,5.6482,5.4043,27.2835,4.42312014356981,5.00303937377399,1.1806,11.3622,4.5968,4.6347,5.4284,22.8175,11.4366,9.6685,3.9505,6.8462,132.8862,433.3333,2.1094,53.0074,3.6985,23.0001,3.9275,2.3113,214.0648,930.9577,5.44,67.7419,62.4185,3.0796,5.8123,4.0065,9.4325,3.3049,2.5232,25.905,7.7302,18.1585,126.964,15.4584,18.9409,36.3944,0.0,136.0472,197.3489,49.8663,0.0,96.6979,182.2785,141.7931,531.0665,364.04,77.2227,1.6302,6.194008412971232,0.6654,4.7641,21.7883,0.0,893.5065,60.1156,0.0,0.6940180960165181,14.348703829566386,7.346612643127177,55.1651,1.5959,0.0,2.1311,6.8185,7.3469,4.3821,1.7238,9.2211,7.116,400.572,74.558,15.91,0.91,7.7465,63.3533,3.9718,1.2205,16.2531,260.5101039484391,8.456268492851507,3.408396089101725,22.539922228169903,536.0054,8.76,3.1106,1.6343,8.4505,216.8869,1.9771,216.8869
2008-07-28 6:45,1,2958.09,2542.24,2222.6778,1547.6125,1.4431,110.5644,199.6664,5.4971,409.9835,9.7739,189.8925,2550.5,-4939.75,-1403.75,7.5423,68.3222,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,362.8327,137.6736,740.5161,137.6055,638.1118,218.5681,2936.0,24.9027,361.2645,122.5764,10.8518,15.0973,22.6227,717.8934,143.4191,627.26,96.0843,158.7036,468.5564,1831.8286,8660.4701,102.92608798044377,231.94507043551897,656.7414,59.4302,-0.0473,1011.7456,43.008,89.0,133.6,98.3,67.7998,277.494,0.6531,8.01,5.662,12.671,1.0515,7.1483,0.38,259.0,4672.0,2073.0,2.2,14.17,11.34,23.743,4.36,13.74,56.979,3.35,76.057,0.0,3.6584,99.7323,0.07199065638109658,1.6132834242064753,2.6639,18.14,2.9624,23.551,47.1241,37.4513,20.7992,80.0216,0.2386,2.2619,3.5423,0.3218,2.5159,116.2999,2230.3298,956.8286,4.0902,3.3696,6.4567,1.4851,3.7176,20.1427,27.2031,5.2866,2.9883,31.9075,0.08929585890415082,0.38121377663614053,0.9237,6.2984,4.0782,4.5164,3.8667,17.9305,45.2554,7.2446,2.5597,8.5927,357.8445,719.7452,1.7573,102.9999,3.0906,10.758,3.0225,2.3706,94.5797,147.6759,3.22,54.8223,72.8102,9.6276,3.5498,8.2369,10.6163,3.1685,2.1532,26.0692,3.0301,13.4523,180.7996,22.1894,37.7319,32.3644,0.0,79.1566,309.6844,150.6579,0.0,173.9932,158.8885,71.127,0.0,461.0711,52.0175,3.3756,8.148597622121747,2.5301,5.4444,36.7703,0.0,0.0,172.0755,646.5753,0.3585926017417962,0.04080653658895095,0.6926857612273603,5.7587,3.8094,0.0,0.0773,4.4824,6.4687,5.6169,2.3284,6.888,7.116,394.004,71.584,90.7,25.47,38.4212,136.5152,23.0201,35.5806,24.7524,259.83034341236953,16.62734957869425,5.92683964511993,21.973365718487422,533.9509,7.03,2.2791,1.3166,15.6351,100.7279,2.0882,100.7279
2008-07-28 15:11,1,2962.14,2545.71,2221.5778,1503.623,1.1878,111.3444,198.7302,6.4395,417.85,9.5543,189.1758,3493.75,-1465.75,-4444.6667,7.2032,63.5111,84.6216,9.1585,50.3138,64.4425,49.6862,122.4028,74.54,2.215,355.3409,153.76,755.293,133.8709,642.9718,202.5914,2890.0,15.1509,359.0427,128.9109,10.7536,24.8491,30.1427,725.1503,144.2645,632.2182,198.9925,159.304,472.9142,1797.941,8416.3099,110.59993351994589,225.5903550254759,731.0955,57.5651,-0.0473,1011.7456,43.008,89.0,125.9,92.9,67.5999,531.4619,0.5138,6.56,7.882,18.283,5.2486,10.5031,0.41,4170.0,8536.0,4507.0,3.6,13.94,11.13,21.615,5.63,17.18,62.291,3.93,59.212,0.0,2.2585,131.8158,5.8422855519767145,7.823993305704937,2.7806,18.14,2.9624,23.551,44.9322,34.7118,20.2941,157.6079,0.1752,2.1387,5.3158,1.596,3.2071,2005.8744,4175.3221,2304.3082,4.1708,3.276,5.9578,1.798,4.6026,17.8483,16.6716,3.6842,2.4374,41.0749,2.1396097558357354,3.5207665252655103,0.7928,6.2984,4.0782,4.2503,3.6493,35.3454,43.2564,5.8916,2.4767,7.5079,339.1887,431.3725,0.5325,122.4017,4.3755,54.9343,3.2676,3.4503,582.364,101.4024,5.6683,74.3119,104.7136,18.7313,4.6818,7.2386,10.3914,4.2055,2.672,30.7471,2.7541,25.939,161.6201,15.8155,32.0013,20.4473,0.0,29.7559,283.0161,137.89,887.8613,101.749,138.2945,78.8006,0.0,498.7013,29.0662,3.3756,8.932522267257987,0.0537,7.3315,70.6972,400.8565,0.0,75.2941,756.3636,2.073713755553741,5.565459658945328,3.434904061544076,14.7676,2.0948,0.0,0.1442,4.8304,4.7899,2.6159,2.3284,6.888,7.116,410.286,74.82,19.34,0.89,8.7395,49.7553,4.7138,1.1895,19.5713,260.078,4.38,1.6599,27.8426,537.6273,12.21,4.2202,2.2711,9.4847,45.4264,3.9635,45.4264
2008-07-29 8:23,1,2912.87,2446.25,2166.5222,907.0746,1.0647,104.5211,201.7858,5.1046,408.7597,10.0934,191.6925,2632.75,-4311.75,-531.0,7.3775,69.0667,84.1874,10.6376,50.6882,64.7132,49.3118,118.8356,79.48,2.419,349.4655,129.1318,718.1845,142.2927,620.89,130.8965,2859.0,5.03,348.4873,94.1618,23.28,34.97,38.8982,679.2864,154.9609,597.61,21.9757,132.9324,464.6776,1801.9478,8925.6301,101.77945335573602,229.8935552905353,767.6058,57.3774,-0.4258,1001.9434,38.7769,88.0,100.4,146.9,53.3,508.087,0.4927,8.9,5.137,19.374,0.3856,5.1001,0.52,190.0,2331.0,564.0,1.9,18.38,10.05,33.723,5.0,22.24,19.174,10.53,9.412,0.0,2.7819,61.0977,-0.9017896593960755,4.431747489777768,3.976,26.212,2.6861,23.8212,40.4482,49.3298,18.9326,175.6416,0.1873,2.9023,6.2731,0.1107,1.8519,87.9825,1016.4662,231.6693,5.3607,2.6941,10.1112,1.7826,6.1708,6.2164,2.9471,8.1616,7.6306,17.5528,-0.14444608718638552,1.4788048847351845,1.13,9.8109,3.8077,3.4468,6.0051,56.0138,46.276,8.515,2.7033,7.0421,192.7201,0.0,2.2181,100.634,4.7397,3.8203,4.1643,2.3818,54.0616,106.2147,2.751,42.8571,66.6494,11.3906,2.6972,7.7827,8.0881,3.5139,3.582,14.6482,5.2322,209.3439,93.7285,30.1115,19.0472,26.1277,0.0,42.8291,246.4924,65.2104,50.4425,101.4184,267.8914,126.9554,416.6855,517.9661,34.5513,3.0701,6.761831209186246,0.0566,3.3906,15.2055,581.8182,0.0,113.0045,660.0,0.14477880121999975,-0.9096286061947536,1.926978263969998,45.2088,2.4937,0.0,0.1151,6.9295,4.7717,6.7381,0.8516,6.9271,7.116,404.366,71.844,20.24,0.7,8.2986,74.1079,5.0054,0.9743,47.2964,262.644,5.96,2.7516,20.0533,528.4727,8.67,2.9727,1.6406,26.5739,113.3721,2.3051,113.3721
2008-07-29 15:49,1,2993.59,2345.95,2169.4667,1185.4449,1.2412,100.8444,199.3216,7.359,416.8137,9.7807,189.5409,2631.0,-3525.5,-485.5,7.2763,69.0667,101.9072,23.3453,57.6663,74.7081,42.3337,126.5662,65.83,5.171,362.1818,125.3255,722.9962,140.8573,628.3646,123.9121,2908.0,25.0382,359.6073,110.3636,9.691,14.9618,20.2052,702.791,148.7027,618.6736,61.7909,155.8521,462.8216,1836.6503,8800.4,101.4197049010118,232.31054964078805,759.8721,58.0644,-1.108,1013.5244,43.4014,92.0,163.1,254.0,60.7,307.865,0.1184,6.06,4.342,10.931,0.7397,10.2176,0.38,547.0,1075.0,1524.0,1.8,17.48,7.07,19.308,4.23,13.19,26.241,9.5,80.561,0.0,3.8399,88.7012,1.1268994863929533,2.239568070689227,3.7145,18.48,2.3121,26.3184,65.3567,85.0263,20.8461,97.8339,0.0333,2.1868,3.0585,0.2253,3.2428,262.8269,504.3864,749.7113,4.7265,2.1588,5.6056,1.3072,3.8678,6.7717,28.8787,5.5701,7.2559,29.847,0.3886451918082727,0.7538381716468949,1.2535,5.839,4.0737,5.4483,10.8272,25.9704,9.5426,6.0093,3.8485,6.0902,443.8971,884.6011,2.2267,59.0026,2.6225,7.5628,3.0492,10.8708,30.4921,313.9032,2.6062,30.8824,43.75,9.2632,6.1053,5.6413,8.0648,3.003,2.0991,21.1771,5.3095,37.9421,219.5858,63.495,69.586,36.8704,0.0,130.3768,294.631,104.9749,193.4132,45.7143,240.6213,133.4218,338.2799,257.7163,52.8428,3.1587,7.689040962252928,0.8621,4.8295,17.1238,788.8502,0.0,96.9697,745.4545,0.4430836960010889,1.120481815754613,0.9574968665056094,41.9486,1.0566,0.0,0.1128,6.3972,3.8073,6.4626,2.5188,5.3272,7.116,401.278,73.89,20.23,0.67,8.9451,61.4214,5.0414,0.9068,7.2369,261.338,7.94,3.3165,17.5247,530.9973,7.23,2.5312,1.3616,17.0935,56.0357,1.7469,56.0357
2008-07-29 17:05,1,2946.86,2533.91,2174.8666,1039.2291,1.0455,103.6,195.9192,4.7895,406.4293,10.2702,185.649,2616.5,-3990.5,-1657.25,7.389,69.5556,84.3585,8.7495,50.4362,64.2234,49.5638,117.7078,78.13,4.063,348.7573,131.3309,720.0985,140.3218,620.41,132.1553,2859.0,23.3109,349.7327,114.6418,8.77,16.6891,20.8271,699.2714,149.5082,613.8827,74.8493,146.2789,467.6038,1854.7794,9295.6198,102.09332885925741,231.58032239363598,792.1467,58.3569,-0.4258,1001.9434,38.7769,120.0,109.3,129.0,59.5,533.891,0.4845,11.97,7.491,14.69,0.5254,6.5931,0.52,169.0,1310.0,6822.0,2.0,17.35,12.22,35.242,4.53,22.73,46.511,6.68,73.326,0.0,2.7148,98.6211,0.8472299523596014,1.4752868463926099,2.7385,26.212,2.6861,30.5926,42.2178,45.3961,20.4695,202.9874,0.1512,4.1536,3.7432,0.1512,2.1598,83.0682,616.853,3181.7059,5.1077,3.1422,10.5917,1.4141,6.9333,12.8759,25.5563,6.1598,5.5723,33.3433,0.23150256999011143,0.29977950720044344,0.8285,9.8109,5.4129,3.709,5.0909,51.3738,46.3425,11.5541,3.768,6.432,194.319,895.0192,2.7461,156.4061,3.6144,5.1159,4.1643,3.8696,32.828,411.6458,2.8754,41.4226,93.6073,11.4288,2.5551,9.3047,7.6966,3.2283,3.6637,35.1942,5.2322,28.6561,141.277,40.0261,34.1144,27.3414,0.0,97.9649,0.0,107.8929,503.3333,123.4346,403.4423,89.825,741.1765,617.6744,36.4466,2.8074,6.877067771943704,0.1781,5.3171,22.3234,0.0,345.4927,18.0064,0.0,-0.167711756231121,0.8286440911516051,0.6339454081027345,9.0516,2.2862,0.0,0.0774,4.6927,4.3595,5.3698,0.8516,6.9271,7.116,409.452,81.614,16.73,1.34,8.2142,52.9871,4.0859,1.6419,17.8215,261.4192560925809,9.476418494541193,4.1127753453915865,24.130784326957354,533.3209,6.43,2.3127,1.2057,7.9429,55.8324,3.0407,55.8324
