Time,Pass/Fail,F0,F2,F3,F4,F12,F14,F15,F18,F21,F22,F27,F28,F32,F33,F34,F35,F36,F43,F45,F46,F48,F50,F51,F55,F60,F62,F63,F64,F65,F66,F68,F70,F88,F90,F115,F117,F133,F134,F135,F136,F137,F140,F142,F150,F151,F160,F166,F180,F182,F183,F185,F187,F188,F200,F201,F208,F209,F218,F223,F225,F250,F252,F268,F269,F270,F271,F272,F275,F277,F286,F295,F316,F318,F319,F321,F324,F337,F344,F361,F363,F388,F390,F406,F408,F409,F410,F412,F413,F415,F416,F418,F419,F423,F424,F429,F433,F434,F435,F436,F437,F438,F439,F440,F453,F454,F456,F457,F459,F460,F468,F470,F472,F473,F474,F478,F480,F482,F486,F487,F488,F489,F490,F491,F495,F497,F499,F500,F511,F520,F521,F522,F524,F525,F527,F539,F541,F561,F585
2008-07-19 11:55,-1,3030.93,2187.7333,1411.1265,1.3602,202.4396,7.9558,414.871,192.3963,-5419.0,2916.5,3.049,64.2333,83.3971,9.5126,50.617,64.2588,49.383,352.7173,130.3691,723.3092,141.2282,624.3145,218.3174,2834.0,350.9264,108.6427,16.1445,21.7264,29.5367,693.7724,148.6009,608.17,1747.6049,8671.9301,748.6115,58.4306,1000.7263,39.2373,123.0,111.3,75.2,0.3948,6.78,4.271,10.284,967.0,2.0,20.95,12.49,16.713,5.72,11.19,65.363,10.3,5.38,97.314,0.0,3.4789,175.2173,1940.3994,219.9453,2.8374,40.855,4.5152,30.9815,33.9606,22.9057,0.131,2.5883,3.5811,398.3185,6.2698,3.8208,5.3737,1.6252,18.0118,1.5989,31.8843,55.2039,560.2658,61.5932,0.9967,14.2396,5.6188,3.6721,2.9329,24.8504,29.0271,6.9458,2.738,525.0965,0.0,53.684,2.4788,3.6084,49.0013,10.0503,2.7073,3.1158,3.1136,44.5055,42.2737,1.3071,3.2698,9.5805,6.1463,4.0502,1.7924,29.9394,311.6377,2.7864,63.7987,24.7625,13.6778,0.0,115.7408,613.3069,843.1138,0.0,53.1098,0.0,48.2091,0.7578,10.0261,22.3756,0.0,0.0,0.0,1.9864,0.0,29.3804,4.856,3.1406,6.6926,2.057,11.5074,42.3877,2.363
2008-07-19 12:32,-1,3095.78,2230.4222,1463.6606,0.8294,200.547,10.1548,414.7347,191.2872,-5441.5,2604.25,7.39,68.4222,84.9052,9.7997,50.6596,64.2828,49.3404,352.2445,133.1727,724.8264,145.8445,631.2618,205.1695,2853.0,352.0073,113.98,10.9036,19.1927,27.6301,697.1964,154.3709,620.3582,1931.6464,8407.0299,731.2517,58.668,998.1081,37.9213,98.0,80.3,81.0,0.2301,5.7,6.285,13.077,59.0,2.2,17.99,10.14,16.358,6.92,9.05,82.986,8.02,3.74,134.25,0.0,3.9578,128.4285,1988.0,193.0287,3.8999,29.743,3.6327,29.0598,28.9862,22.3163,0.0767,1.8459,3.9483,26.5879,5.6522,2.9939,5.2445,1.8045,23.623,1.1506,41.708,46.3453,677.1873,65.0999,1.1655,10.5837,4.3465,2.5939,3.2858,15.015,27.7464,5.5695,3.93,0.0,368.9713,61.8918,3.1531,3.1595,199.7866,8.6336,5.7093,1.6779,3.2153,48.5294,37.5793,16.4174,4.3737,7.6142,6.9233,4.7448,1.4336,40.4475,463.2883,3.0652,73.5536,19.4865,13.243,0.0,163.0249,0.0,130.635,820.79,194.4371,0.0,58.1666,3.6822,6.6487,23.6469,0.0,0.0,0.0,1.6292,0.0,26.397,6.6475,3.131,8.837,1.791,9.5796,18.1087,4.4447
2008-07-19 13:17,1,2932.61,2186.4111,1698.0172,1.5102,202.0179,9.5157,416.7075,192.7035,-5447.75,2701.75,7.5788,67.1333,84.7569,8.659,50.153,64.1114,49.847,364.3782,131.8027,734.7924,141.0845,637.2655,185.7574,2936.0,364.5364,115.6273,11.3019,16.1755,24.2829,710.5095,145.8,625.9636,1685.8514,9317.1698,718.5777,58.4808,998.444,42.0579,89.0,126.4,96.5,0.3263,8.33,4.819,8.443,788.0,2.1,17.78,13.31,22.912,9.21,17.87,60.11,16.73,5.09,79.618,0.0,2.4266,182.4956,839.6006,104.4042,4.1446,29.621,3.9133,23.551,41.3837,32.6256,0.1117,2.5274,2.5493,329.6406,5.7247,3.8541,6.1797,2.568,16.0104,1.5481,24.7959,58.0575,283.6616,28.7334,1.2356,11.4871,4.0782,4.3102,3.7696,18.0233,21.6062,8.7236,3.0609,0.0,0.0,50.6425,2.0261,3.522,109.5747,14.2503,5.765,0.8972,3.1281,60.0,70.9161,8.8647,7.5418,10.0984,15.079,6.528,2.8042,32.3594,21.3645,9.3327,148.0287,31.4674,45.5423,0.0,93.9245,434.2674,746.915,74.0741,191.7582,250.1742,34.1573,1.0281,10.8251,9.0113,0.0,0.0,244.2748,2.9626,0.0,14.5293,7.087,12.1831,6.4568,2.1538,9.3046,24.7524,3.1745
2008-07-19 14:43,-1,2988.72,2199.0333,909.7926,1.3204,201.8482,9.6052,422.2894,192.1557,-5468.25,2648.25,7.3145,62.9333,84.9105,8.6789,50.51,64.1125,49.49,363.0273,131.8027,733.8778,142.5427,637.3727,189.9079,2936.0,361.4582,116.1818,13.5597,15.6209,23.4736,710.4043,147.6545,625.2945,1752.0968,8205.7,709.0867,58.6635,980.451,41.1025,127.0,118.0,123.7,0.1915,5.51,9.073,15.241,355.0,1.7,16.22,14.67,22.562,5.69,18.2,52.571,13.56,5.92,104.95,0.0,5.5398,152.0885,820.3999,94.0954,3.2119,31.83,3.1959,33.896,37.8477,44.3906,0.0581,2.1775,4.0526,157.0889,5.444,4.19,6.3329,1.7339,15.7375,1.7317,29.0339,45.7058,309.8492,32.4228,1.1135,13.3972,5.6363,3.9482,4.9881,17.8537,14.5054,5.286,2.4643,317.7362,0.0,94.4594,3.6091,4.9898,181.2641,5.176,5.3899,1.3671,2.7013,34.0336,41.5236,7.1274,6.9785,11.1303,13.7105,3.9918,2.8555,27.6824,24.2831,12.3786,100.0021,37.8979,48.4887,0.0,149.4399,225.0169,104.666,71.7583,0.0,336.766,72.9635,1.767,8.6804,9.9979,0.0,711.6418,0.0,2.4416,0.0,13.2699,5.4751,6.7553,6.4865,2.1565,7.7754,62.7572,2.0544
2008-07-19 15:22,-1,3032.24,2233.3667,1326.52,1.5334,201.9424,10.5661,420.5925,191.6037,-5476.25,2635.25,7.2748,62.8333,86.3269,8.7677,50.248,64.1511,49.752,353.34,176.3136,789.7523,138.0882,667.7418,233.5491,2865.0,355.0809,144.0191,21.9782,32.2945,44.1498,745.6025,146.6636,645.7636,1828.3846,9014.46,796.595,58.3858,993.1274,38.1448,119.0,143.2,123.1,0.3744,3.64,9.005,12.506,283.0,3.9,15.24,10.85,37.715,3.98,25.54,72.149,19.77,5.52,92.307,0.0,4.1338,69.151,1406.4004,149.2172,2.5775,19.862,3.6163,34.125,55.9626,53.0876,0.1092,1.0929,3.6536,128.0296,4.8956,2.913,11.0583,1.1229,23.116,1.6216,32.0537,21.0312,494.7368,57.2692,0.8495,7.1493,5.3823,4.7226,4.9184,22.3369,24.4142,3.6256,3.3208,0.0,866.0295,85.2255,2.9734,3.8754,0.0,11.4064,2.0088,1.5533,6.2069,25.3521,37.4691,15.247,2.7092,6.1538,11.4945,2.8822,3.8248,30.8924,44.898,5.2987,89.9529,17.0927,19.1303,0.0,140.1953,171.4486,0.0,587.3773,748.1781,0.0,55.1057,2.2358,3.7821,15.6016,293.1396,0.0,0.0,2.5512,0.0,18.7319,4.4146,2.9954,6.3745,2.0579,9.4805,22.05,99.3032
2008-07-19 17:53,-1,2946.25,2233.3667,1326.52,1.5334,200.472,8.6617,414.2426,191.228,-6058.0,2953.75,3.0505,62.3778,85.4233,9.6484,50.5795,64.072,49.4205,360.2873,142.2591,746.8692,137.6473,640.1936,192.7702,2865.0,360.2409,130.5545,7.618,11.7045,18.3685,728.5007,144.6982,635.4936,1832.6305,7869.7,748.0887,58.656,998.1081,37.9213,123.0,159.8,119.3,0.3744,3.64,5.369,10.42,910.0,1.7,19.7,14.38,35.535,7.92,21.62,82.556,21.78,6.61,111.952,0.0,2.8799,129.1731,1132.2998,158.2729,2.6668,29.743,3.6327,32.0878,52.6671,36.4696,0.1092,1.0929,3.1727,384.6101,5.5901,3.8197,10.178,2.3901,25.2892,1.9589,33.4938,42.1498,335.5983,58.2605,0.923,10.5837,5.4262,5.4238,4.9037,22.3369,24.4142,3.6256,3.3208,347.774,865.1584,61.9853,2.5154,3.6904,597.1613,7.2788,2.0253,1.4752,2.7253,55.102,76.0159,3.4943,4.9282,10.1083,13.0665,5.7538,3.3771,42.8261,23.3606,10.1989,285.9,56.4737,52.6935,0.0,159.0889,325.3468,0.0,78.3348,723.4234,273.8095,42.6594,8.2199,7.0485,14.3881,0.0,0.0,622.2222,2.1027,0.0,21.157,4.5466,4.406,7.097,1.791,9.5796,30.6277,3.8276
2008-07-19 19:44,-1,3030.27,2230.4222,1463.6606,0.8294,202.0901,9.035,415.8852,192.0912,-6154.0,2691.75,3.0515,60.8,87.1543,9.1502,50.2847,64.2476,49.7153,352.1836,132.3455,723.4934,146.4855,631.0145,201.7609,2853.0,351.46,114.4564,12.74,17.8891,26.2754,697.218,152.3582,618.2745,1740.6472,9238.3601,806.2734,58.823,995.1991,36.9578,89.0,173.7,122.5,0.2301,5.7,8.255,10.965,643.0,3.0,18.27,10.81,15.84,5.04,6.91,47.803,14.05,3.43,114.35,0.0,1.9062,65.3582,1046.2002,105.5219,3.4843,29.099,2.8,24.0522,53.0949,40.5089,0.0767,1.8459,3.8913,276.541,4.9162,3.0709,5.1685,1.6849,14.0744,0.8887,36.0395,23.0568,375.0252,39.0975,1.1262,9.5342,3.9873,5.7322,5.0409,15.015,27.7464,5.5695,3.93,326.1524,467.5756,91.3669,2.6365,6.1127,97.3718,8.6069,2.258,4.2602,4.9342,24.1071,55.7395,3.1495,4.7207,8.168,7.9894,3.4406,1.0951,23.6929,162.4892,2.3822,110.283,19.1737,17.4307,0.0,136.9466,266.1526,586.3636,0.0,355.7932,304.5139,22.6594,2.6373,3.7548,11.3245,0.0,723.3853,748.3871,4.0505,0.0,13.0876,5.9234,4.734,8.4653,1.4336,7.5762,51.4535,2.8515
2008-07-19 19:45,-1,3058.88,2248.9,1004.4692,0.7884,202.417,13.6872,408.4017,192.7334,-5395.5,2551.75,7.3885,67.3,83.8887,8.7289,50.4685,64.4021,49.5316,358.67,142.2945,745.6875,136.6791,637.6436,133.6606,2865.0,360.1382,131.4255,5.5936,10.8691,15.3094,730.3781,144.3255,635.8891,1826.1111,9117.3699,778.3335,59.0421,992.8298,40.5458,91.0,175.4,201.1,0.0577,7.56,19.388,14.952,346.0,1.9,13.92,14.09,37.242,7.61,21.7,11.961,12.63,4.72,73.632,0.0,7.5616,126.1031,1222.1006,128.7632,2.7835,27.861,2.9057,29.3966,74.695,65.5784,0.0216,2.7959,3.7801,151.6605,4.8066,3.83,10.9128,2.7469,3.3091,1.4892,22.1485,39.4817,376.4134,40.8608,0.962,10.8717,4.1681,5.7341,7.4754,24.8852,7.321,7.116,2.8699,399.362,0.0,141.6508,3.6611,3.3651,109.498,12.1235,7.1384,1.4888,2.8232,39.4422,32.6055,11.1311,3.9589,9.902,9.147,5.5678,3.4032,8.9488,16.2027,10.428,225.7941,43.4259,29.3676,0.0,128.9887,374.6159,0.0,129.2388,0.0,440.8163,121.6359,2.5556,6.9056,13.4041,0.0,0.0,0.0,1.6426,0.0,16.5435,4.7144,4.2075,6.9889,1.4141,7.1665,43.0771,2.1261
2008-07-19 20:24,-1,2967.68,2248.9,1004.4692,0.7884,202.4544,12.6837,417.6009,192.7498,-4196.5,2059.5,2.2675,62.8,85.4274,9.6234,50.4893,63.9315,49.5107,358.9564,142.7009,745.4127,138.3109,639.9682,216.9538,2865.0,358.3473,129.68,8.8612,13.0209,19.9475,725.4652,144.5455,632.5727,1788.8624,8615.27,748.563,58.7785,992.8298,40.5458,91.0,136.1,116.8,0.0577,7.56,7.245,16.973,2900.0,2.4,12.48,11.45,31.969,5.63,19.79,81.637,16.32,5.09,90.715,0.0,2.8877,100.5114,740.3994,61.5139,2.8729,27.861,2.9057,29.3966,53.8333,44.2335,0.0216,2.7959,3.9049,1377.7589,4.3824,3.0596,9.2406,1.6988,21.5711,1.5156,30.9028,35.7156,205.529,20.5522,1.0021,10.8717,4.1681,4.5861,4.4915,24.8852,7.321,7.116,2.8699,496.3964,624.0602,57.1204,4.0644,3.9248,152.228,133.5286,133.4845,134.0243,3.8217,27.9793,38.494,2.5951,3.6794,8.0238,15.4539,4.0705,3.0923,37.6287,18.8665,8.9128,184.1738,39.091,34.4251,0.0,121.9301,477.0328,616.8421,86.1931,364.0719,155.6827,37.8245,2.5556,5.6187,8.594,0.0,686.5784,395.2941,2.3441,0.0,8.2176,4.8876,6.5231,6.7934,1.4141,7.1665,13.9158,3.4456
2008-07-19 21:35,-1,3016.11,2248.9,1004.4692,0.7884,202.5999,12.4278,413.3677,192.8953,-5357.5,2872.5,3.0995,67.0333,83.8887,8.7289,50.4685,64.4021,49.5316,360.6945,141.9964,746.1649,137.1391,639.83,194.3669,2865.0,361.1809,130.3082,6.8983,11.6882,18.1525,728.0125,147.1409,638.63,1712.8033,9126.72,786.6071,58.3664,992.8298,40.5458,123.0,175.8,211.9,0.0577,7.56,13.545,18.186,882.0,2.5,14.9,14.36,36.258,10.29,23.39,43.062,5.58,6.18,109.867,0.0,4.2936,138.5192,1266.0,123.1775,2.9198,27.861,2.9057,30.9815,69.3175,72.1316,0.0216,2.7959,4.5845,392.7259,4.9838,3.8947,10.6022,3.1792,12.2822,1.9743,37.0311,43.4619,406.3592,42.0501,1.0207,10.8717,5.6188,5.8287,8.726,24.8852,7.321,7.116,2.8699,397.4922,979.2574,108.9894,4.3995,3.0589,21.2876,8.4421,2.9246,0.7098,3.7295,33.6449,45.7453,2.7268,5.2213,10.1129,8.2658,7.5033,3.6557,22.155,21.8283,12.1954,80.8892,52.8739,30.7396,0.0,167.7256,790.5782,497.603,119.3208,115.01,0.0,57.2817,3.2587,8.0873,13.8714,0.0,0.0,0.0,2.6612,0.0,15.6593,5.0025,7.4717,7.4985,1.4141,7.1665,20.9776,3.0687
