Time,Pass/Fail,F0,F1,F2,F3,F6,F12,F14,F15,F16,F18,F28,F32,F33,F34,F36,F39,F41,F43,F45,F46,F48,F50,F51,F55,F59,F60,F62,F64,F65,F66,F68,F70,F72,F88,F90,F110,F111,F117,F133,F134,F135,F136,F137,F138,F139,F142,F151,F152,F154,F161,F162,F166,F180,F182,F183,F185,F187,F188,F201,F208,F218,F223,F252,F268,F269,F270,F271,F272,F274,F277,F283,F286,F296,F297,F316,F318,F319,F321,F323,F324,F344,F361,F406,F408,F409,F410,F412,F413,F415,F416,F417,F418,F419,F420,F423,F424,F425,F428,F433,F437,F438,F439,F440,F453,F454,F456,F457,F459,F460,F472,F474,F476,F480,F482,F484,F486,F488,F490,F491,F492,F495,F499,F500,F511,F520,F521,F524,F525,F527,F539,F541,F547,F548,F550,F553,F555,F556,F557,F561,F564,F566,F569,F570,F572,F574,F576,F577,F589
2008-07-19 13:17,1,2932.61,2559.94,2186.4111,1698.0172,95.4878,202.0179,9.5157,416.7075,9.3144,192.7035,67.1333,84.7569,8.659,50.153,49.847,118.6128,5.434,364.3782,131.8027,734.7924,141.0845,637.2655,185.7574,2936.0,23.8245,364.5364,115.6273,16.1755,24.2829,710.5095,145.8,625.9636,140.6972,1685.8514,9317.1698,104.35205723120764,231.25580636221036,58.4808,998.444,42.0579,89.0,126.4,96.5,45.1001,306.038,8.33,8.443,0.4909,8.2054,759.0,2100.0,2.1,17.78,13.31,22.912,9.21,17.87,60.11,5.09,79.618,2.4266,182.4956,4.1446,29.621,3.9133,23.551,41.3837,32.6256,97.3868,2.5274,2.8705,2.5493,325.0672,902.4576,5.7247,3.8541,6.1797,2.568,4.6067,16.0104,24.7959,58.0575,11.4871,4.0782,4.3102,3.7696,18.0233,21.6062,8.7236,3.0609,5.2231,0.0,0.0,2.2943,50.6425,2.0261,5.2707,3.7479,109.5747,3.1281,60.0,70.9161,8.8647,7.5418,10.0984,15.079,6.528,2.8042,32.3594,148.0287,45.5423,13.3923,93.9245,434.2674,0.0,746.915,191.7582,34.1573,1.0281,8.56954724380477,10.8251,0.0,0.0,244.2748,2.9626,0.0,7.087,12.1831,6.4568,2.1538,9.3046,411.136,74.654,16.16,7.1619,23.0713,3.9306,1.1386,24.7524,1.1,0.4122,68.8489,535.0245,11.21,4.0923,2.0952,9.2721,82.8602
2008-07-19 21:57,1,2994.05,2548.21,2195.1222,1046.1468,103.34,201.7125,11.8566,411.9572,10.2918,191.4207,68.7111,84.7569,8.659,50.153,49.847,118.6128,5.434,366.1545,120.2818,723.2513,138.1345,624.5709,113.0565,2891.0,27.8373,364.89,108.1191,12.1627,16.9061,706.3452,144.5955,617.6045,151.5228,1732.2002,8476.17,102.36856323562024,238.603444569306,58.5394,993.1274,38.1448,89.0,170.8,146.2,53.0999,380.5909,5.82,10.227,0.4291,13.3159,3967.0,776.0,2.2,16.15,13.2,23.319,3.04,18.95,34.253,4.07,118.057,2.3422,68.026,2.6472,19.862,3.6163,23.551,58.9465,50.6152,120.7408,2.0875,4.2787,3.4306,2281.7211,418.6848,5.2778,3.9047,6.2918,0.8803,5.1803,9.4138,36.4186,22.956,7.1493,4.0782,5.7046,5.7374,36.3803,8.7145,5.6319,3.0263,8.7623,269.3851,0.0,3.6955,81.4734,2.4825,4.1698,3.6899,215.2566,3.2018,51.4286,70.0671,3.0546,3.1283,10.9742,10.0934,2.2007,3.0341,30.2973,219.3969,39.6661,24.5336,105.3338,0.0,0.0,0.0,0.0,31.2702,2.5832,6.58338777588798,3.9271,474.3363,615.015,0.0,4.7811,0.0,4.5221,4.8734,6.155,2.0579,9.4805,411.648,74.512,17.93,7.8882,32.4934,4.3557,1.1944,53.157,9.26,3.3206,15.4411,532.1764,9.5699,3.3618,1.7983,14.5507,57.8122
2008-07-19 22:52,1,2928.84,2479.4,2196.2111,1605.7578,97.9156,202.1264,9.1084,419.9018,10.113,192.0134,64.7667,85.4274,9.6234,50.4893,49.5107,117.419,3.217,360.7891,143.8782,749.2445,136.8118,641.4791,213.618,2865.0,25.0836,362.5064,128.9618,14.9164,21.6833,727.5613,144.17,635.6382,151.75648445274345,1632.312,8789.5001,102.40090585475492,232.50795217225087,59.5776,997.4308,45.1318,123.0,112.8,150.5,51.7,250.3359,5.54,11.597,0.4533,12.3727,295.0,143.0,2.3,15.08,13.48,36.218,7.17,23.08,72.888,2.08,73.696,3.9528,104.4568,3.064,27.537,4.1301,30.9815,45.1359,50.3528,87.4243,2.4003,4.0129,3.2929,128.014,68.7047,4.6853,3.6111,10.6289,1.7992,7.0204,23.0631,24.8109,39.6184,9.4089,5.6188,3.8514,6.07,15.5899,27.8475,5.6579,3.8989,7.4677,569.2818,236.8442,3.4671,51.3594,2.7618,4.4827,3.8319,19.0033,3.5512,43.5484,34.9272,2.2717,4.1735,9.369,11.811,5.2408,3.5979,34.1207,145.9369,31.0008,51.7796,115.6431,613.8337,0.0,0.0,141.3793,59.5454,0.7578,8.117114232440338,6.3993,935.7644,0.0,0.0,4.6512,0.0,5.1428,5.2886,7.2606,1.5371,9.1512,399.092,75.82,14.32,7.1523,67.3761,3.5881,0.5671,42.3877,3.32,1.4571,13.0129,533.7464,7.74,2.8659,1.4501,12.8058,75.5077
2008-07-21 11:53,1,2963.97,2629.48,2224.6222,947.7739,104.8489,195.3787,9.7561,422.3675,9.7825,185.5963,62.5,85.0922,9.2007,50.1899,49.8101,118.2566,1.946,354.2945,138.28,732.4237,137.0027,629.5773,133.2749,2887.0,17.6382,353.3127,115.9182,22.3618,28.1392,704.2846,150.1191,619.35,151.6967,1839.845,8651.3099,101.37348319412934,239.68660165749367,56.5635,998.4607,38.6257,70.0,209.2,197.9,64.0999,295.563,7.99,10.272,0.8038,5.2769,4101.0,527.0,2.2,18.54,7.73,22.958,9.59,19.25,32.266,3.91,66.817,3.3189,157.0715,3.8517,38.321,4.23,19.0952,78.3785,65.5491,92.9482,2.5782,1.8277,3.4534,2050.5,263.5,4.9515,2.3778,6.6228,2.8768,5.1568,10.4504,18.924,44.0573,14.2037,3.1272,7.0581,7.5262,31.185,13.7861,7.6205,3.5078,5.0503,692.5477,385.4507,2.2359,77.572,2.432,8.2173,3.8529,400.0,3.52,41.2844,54.2108,3.6702,7.3162,5.5901,11.058,6.9999,3.0576,24.2101,169.5462,22.3212,15.768,84.8485,901.9024,0.0,152.356,398.125,45.1884,1.8655,8.003658660245911,8.5372,344.4976,697.8723,728.8889,12.256,0.0,6.8096,5.1066,4.8988,1.1299,10.9513,399.004,81.434,14.17,6.3017,68.5814,3.5513,1.3017,13.4909,-1.450374767870855,-0.433286714178493,22.95657823331291,532.6446,11.42,3.7724,2.144,16.1875,142.908
2008-07-25 15:23,1,2884.74,2514.54,2160.3667,899.9488,105.4978,196.1842,11.6229,434.7942,8.8407,187.3435,62.5,85.0922,9.2007,50.1899,49.8101,118.2566,1.946,356.2155,140.5218,737.734,137.3727,634.11,207.6625,2887.0,18.3936,355.0636,118.9155,21.6064,29.3176,708.4164,146.9618,620.9409,153.3345,1843.7237,8621.49,104.78932635106096,235.99569771041317,56.8545,1010.834,38.9435,100.0,133.7,136.5,77.9001,205.346,10.2,16.081,2.0334,11.0972,4429.0,1045.0,3.4,19.27,5.63,23.538,4.54,16.0,53.795,3.34,109.351,5.3001,87.8372,3.8766,30.671,3.591,29.7595,49.1815,47.7554,63.001,2.7759,4.1163,4.4475,2400.8614,445.8747,5.1588,1.9108,6.9612,1.5733,4.6015,18.595,34.706,27.2835,11.3622,4.5968,4.6347,5.4284,22.8175,11.4366,9.6685,3.9505,6.8462,132.8862,433.3333,2.1094,53.0074,3.6985,23.0001,3.9275,930.9577,5.44,67.7419,62.4185,3.0796,5.8123,4.0065,9.4325,3.3049,2.5232,25.905,126.964,18.9409,36.3944,136.0472,197.3489,0.0,182.2785,531.0665,77.2227,1.6302,6.194006673096428,4.7641,0.0,893.5065,0.0,1.5959,0.0,6.8185,7.3469,4.3821,1.7238,9.2211,400.572,74.558,15.91,7.7465,63.3533,3.9718,1.2205,16.2531,8.406931641165386,3.3928018860616724,22.541901443097903,536.0054,8.76,3.1106,1.6343,8.4505,216.8869
2008-07-28 6:45,1,2958.09,2542.24,2222.6778,1547.6125,110.5644,199.6664,5.4971,409.9835,9.7739,189.8925,68.3222,84.7569,8.659,50.153,49.847,118.6128,5.434,362.8327,137.6736,740.5161,137.6055,638.1118,218.5681,2936.0,24.9027,361.2645,122.5764,15.0973,22.6227,717.8934,143.4191,627.26,158.7036,1831.8286,8660.4701,102.92604662445387,231.94512239328893,59.4302,1011.7456,43.008,89.0,133.6,98.3,67.7998,277.494,8.01,12.671,1.0515,7.1483,4672.0,2073.0,2.2,14.17,11.34,23.743,4.36,13.74,56.979,3.35,76.057,3.6584,99.7323,2.6639,18.14,2.9624,23.551,47.1241,37.4513,80.0216,2.2619,2.612,3.5423,2230.3298,956.8286,4.0902,3.3696,6.4567,1.4851,3.7176,20.1427,27.2031,31.9075,6.2984,4.0782,4.5164,3.8667,17.9305,45.2554,7.2446,2.5597,8.5927,357.8445,719.7452,1.7573,102.9999,3.0906,10.758,3.0225,147.6759,3.22,54.8223,72.8102,9.6276,3.5498,8.2369,10.6163,3.1685,2.1532,26.0692,180.7996,37.7319,32.3644,79.1566,309.6844,0.0,158.8885,0.0,52.0175,3.3756,8.14859853504013,5.4444,0.0,0.0,646.5753,3.8094,0.0,4.4824,6.4687,5.6169,2.3284,6.888,394.004,71.584,90.7,38.4212,136.5152,23.0201,35.5806,24.7524,16.641698148462694,5.936103601721232,21.966163028376865,533.9509,7.03,2.2791,1.3166,15.6351,100.7279
2008-07-28 15:11,1,2962.14,2545.71,2221.5778,1503.623,111.3444,198.7302,6.4395,417.85,9.5543,189.1758,63.5111,84.6216,9.1585,50.3138,49.6862,122.4028,2.215,355.3409,153.76,755.293,133.8709,642.9718,202.5914,2890.0,15.1509,359.0427,128.9109,24.8491,30.1427,725.1503,144.2645,632.2182,159.304,1797.941,8416.3099,110.59978428141056,225.5906765939892,57.5651,1011.7456,43.008,89.0,125.9,92.9,67.5999,531.4619,6.56,18.283,5.2486,10.5031,8536.0,4507.0,3.6,13.94,11.13,21.615,5.63,17.18,62.291,3.93,59.212,2.2585,131.8158,2.7806,18.14,2.9624,23.551,44.9322,34.7118,157.6079,2.1387,1.7293,5.3158,4175.3221,2304.3082,4.1708,3.276,5.9578,1.798,4.6026,17.8483,16.6716,41.0749,6.2984,4.0782,4.2503,3.6493,35.3454,43.2564,5.8916,2.4767,7.5079,339.1887,431.3725,0.5325,122.4017,4.3755,54.9343,3.2676,101.4024,5.6683,74.3119,104.7136,18.7313,4.6818,7.2386,10.3914,4.2055,2.672,30.7471,161.6201,32.0013,20.4473,29.7559,283.0161,887.8613,138.2945,0.0,29.0662,3.3756,8.932544588836103,7.3315,400.8565,0.0,756.3636,2.0948,0.0,4.8304,4.7899,2.6159,2.3284,6.888,410.286,74.82,19.34,8.7395,49.7553,4.7138,1.1895,19.5713,4.38,1.6599,27.8426,537.6273,12.21,4.2202,2.2711,9.4847,45.4264
2008-07-29 8:23,1,2912.87,2446.25,2166.5222,907.0746,104.5211,201.7858,5.1046,408.7597,10.0934,191.6925,69.0667,84.1874,10.6376,50.6882,49.3118,118.8356,2.419,349.4655,129.1318,718.1845,142.2927,620.89,130.8965,2859.0,5.03,348.4873,94.1618,34.97,38.8982,679.2864,154.9609,597.61,132.9324,1801.9478,8925.6301,101.7794333373492,229.89358288559183,57.3774,1001.9434,38.7769,88.0,100.4,146.9,53.3,508.087,8.9,19.374,0.3856,5.1001,2331.0,564.0,1.9,18.38,10.05,33.723,5.0,22.24,19.174,10.53,9.412,2.7819,61.0977,3.976,26.212,2.6861,23.8212,40.4482,49.3298,175.6416,2.9023,1.9525,6.2731,1016.4662,231.6693,5.3607,2.6941,10.1112,1.7826,6.1708,6.2164,2.9471,17.5528,9.8109,3.8077,3.4468,6.0051,56.0138,46.276,8.515,2.7033,7.0421,192.7201,0.0,2.2181,100.634,4.7397,3.8203,4.1643,106.2147,2.751,42.8571,66.6494,11.3906,2.6972,7.7827,8.0881,3.5139,3.582,14.6482,93.7285,19.0472,26.1277,42.8291,246.4924,50.4425,267.8914,416.6855,34.5513,3.0701,6.761830880061535,3.3906,581.8182,0.0,660.0,2.4937,0.0,6.9295,4.7717,6.7381,0.8516,6.9271,404.366,71.844,20.24,8.2986,74.1079,5.0054,0.9743,47.2964,5.96,2.7516,20.0533,528.4727,8.67,2.9727,1.6406,26.5739,113.3721
2008-07-29 15:49,1,2993.59,2345.95,2169.4667,1185.4449,100.8444,199.3216,7.359,416.8137,9.7807,189.5409,69.0667,101.9072,23.3453,57.6663,42.3337,126.5662,5.171,362.1818,125.3255,722.9962,140.8573,628.3646,123.9121,2908.0,25.0382,359.6073,110.3636,14.9618,20.2052,702.791,148.7027,618.6736,155.8521,1836.6503,8800.4,101.41956833438324,232.3106474613536,58.0644,1013.5244,43.4014,92.0,163.1,254.0,60.7,307.865,6.06,10.931,0.7397,10.2176,1075.0,1524.0,1.8,17.48,7.07,19.308,4.23,13.19,26.241,9.5,80.561,3.8399,88.7012,3.7145,18.48,2.3121,26.3184,65.3567,85.0263,97.8339,2.1868,3.4068,3.0585,504.3864,749.7113,4.7265,2.1588,5.6056,1.3072,3.8678,6.7717,28.8787,29.847,5.839,4.0737,5.4483,10.8272,25.9704,9.5426,6.0093,3.8485,6.0902,443.8971,884.6011,2.2267,59.0026,2.6225,7.5628,3.0492,313.9032,2.6062,30.8824,43.75,9.2632,6.1053,5.6413,8.0648,3.003,2.0991,21.1771,219.5858,69.586,36.8704,130.3768,294.631,193.4132,240.6213,338.2799,52.8428,3.1587,7.689036242942736,4.8295,788.8502,0.0,745.4545,1.0566,0.0,6.3972,3.8073,6.4626,2.5188,5.3272,401.278,73.89,20.23,8.9451,61.4214,5.0414,0.9068,7.2369,7.94,3.3165,17.5247,530.9973,7.23,2.5312,1.3616,17.0935,56.0357
2008-07-29 17:05,1,2946.86,2533.91,2174.8666,1039.2291,103.6,195.9192,4.7895,406.4293,10.2702,185.649,69.5556,84.3585,8.7495,50.4362,49.5638,117.7078,4.063,348.7573,131.3309,720.0985,140.3218,620.41,132.1553,2859.0,23.3109,349.7327,114.6418,16.6891,20.8271,699.2714,149.5082,613.8827,146.2789,1854.7794,9295.6198,102.09322277867776,231.58041168679043,58.3569,1001.9434,38.7769,120.0,109.3,129.0,59.5,533.891,11.97,14.69,0.5254,6.5931,1310.0,6822.0,2.0,17.35,12.22,35.242,4.53,22.73,46.511,6.68,73.326,2.7148,98.6211,2.7385,26.212,2.6861,30.5926,42.2178,45.3961,202.9874,4.1536,2.2972,3.7432,616.853,3181.7059,5.1077,3.1422,10.5917,1.4141,6.9333,12.8759,25.5563,33.3433,9.8109,5.4129,3.709,5.0909,51.3738,46.3425,11.5541,3.768,6.432,194.319,895.0192,2.7461,156.4061,3.6144,5.1159,4.1643,411.6458,2.8754,41.4226,93.6073,11.4288,2.5551,9.3047,7.6966,3.2283,3.6637,35.1942,141.277,34.1144,27.3414,97.9649,0.0,503.3333,403.4423,741.1765,36.4466,2.8074,6.877066146637256,5.3171,0.0,345.4927,0.0,2.2862,0.0,4.6927,4.3595,5.3698,0.8516,6.9271,409.452,81.614,16.73,8.2142,52.9871,4.0859,1.6419,17.8215,9.530428499534224,4.134295145144623,24.13307279087796,533.3209,6.43,2.3127,1.2057,7.9429,55.8324
