Time,Pass/Fail,F0,F1,F2,F3,F4,F6,F12,F14,F15,F16,F18,F21,F22,F23,F24,F27,F28,F31,F32,F33,F34,F35,F36,F39,F40,F41,F43,F45,F46,F48,F50,F51,F55,F59,F60,F62,F63,F64,F65,F66,F67,F68,F70,F71,F72,F73,F83,F88,F90,F110,F111,F115,F117,F122,F129,F133,F134,F135,F136,F137,F138,F139,F140,F142,F148,F150,F151,F152,F154,F155,F158,F159,F160,F161,F162,F166,F167,F180,F182,F183,F185,F187,F188,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F207,F208,F209,F218,F223,F225,F245,F246,F250,F252,F268,F269,F270,F271,F272,F273,F274,F275,F277,F283,F285,F286,F287,F289,F293,F294,F295,F296,F297,F316,F318,F319,F321,F323,F324,F332,F333,F335,F336,F337,F338,F339,F340,F341,F343,F344,F345,F346,F361,F363,F383,F384,F388,F390,F406,F408,F409,F410,F411,F412,F413,F415,F416,F417,F418,F419,F420,F421,F423,F424,F425,F426,F427,F428,F429,F430,F431,F432,F433,F434,F435,F436,F437,F438,F439,F440,F442,F452,F453,F454,F455,F456,F457,F459,F460,F467,F468,F469,F470,F471,F472,F473,F474,F475,F476,F477,F478,F479,F480,F482,F483,F484,F485,F486,F487,F488,F489,F490,F491,F492,F493,F494,F495,F496,F497,F499,F500,F510,F511,F516,F517,F518,F519,F520,F521,F522,F523,F524,F525,F526,F527,F539,F540,F541,F545,F547,F548,F549,F550,F551,F553,F554,F555,F556,F557,F561,F562,F564,F566,F568,F569,F570,F572,F574,F576,F577,F581,F585,F589
2008-07-19 11:55,-1,3030.93,2564.0,2187.7333,1411.1265,1.3602,97.6133,202.4396,7.9558,414.871,10.0433,192.3963,-5419.0,2916.5,-4043.75,751.0,3.049,64.2333,3.5191,83.3971,9.5126,50.617,64.2588,49.383,117.5132,61.29,4.515,352.7173,130.3691,723.3092,141.2282,624.3145,218.3174,2834.0,-1.7264,350.9264,108.6427,16.1445,21.7264,29.5367,693.7724,0.9226,148.6009,608.17,84.0793,,,7.2163,1747.6049,8671.9301,,,748.6115,58.4306,2.639,-0.0473,1000.7263,39.2373,123.0,111.3,75.2,46.2,350.671,0.3948,6.78,12.2566,4.271,10.284,0.4734,11.8901,0.41,,1017.0,967.0,1066.0,368.0,2.0,0.9,20.95,12.49,16.713,5.72,11.19,65.363,5.38,20.1,0.296,10.62,10.3,5.38,4.04,16.23,0.2951,8.64,10.3,97.314,0.0,3.4789,175.2173,1940.3994,,,219.9453,2.8374,40.855,4.5152,30.9815,33.9606,22.9057,15.9525,110.2144,0.131,2.5883,3.9321,1.5123,3.5811,0.1337,3.8447,,418.1363,398.3185,496.1582,158.333,6.2698,3.8208,5.3737,1.6252,3.2461,18.0118,1.5989,6.5893,3.0911,8.4654,1.5989,1.2293,5.3406,0.0867,2.8551,2.9971,31.8843,,,55.2039,560.2658,,,61.5932,0.9967,14.2396,5.6188,3.6721,2.9329,2.1118,24.8504,29.0271,6.9458,2.738,5.9846,525.0965,0.0,3.4641,6.0544,53.684,2.4788,4.7141,1.7275,6.18,3.275,3.6084,18.7673,33.1562,26.3617,49.0013,10.0503,2.7073,3.1158,3.1136,44.5055,42.2737,1.3071,1.1975,5.9396,3.2698,9.5805,2.3106,6.1463,4.0502,1.7924,29.9394,6.2052,311.6377,5.7277,2.7864,9.7752,63.7987,24.7625,13.6778,2.3394,31.9893,5.8142,0.0,1.6936,115.7408,613.3069,291.4842,494.6996,178.1759,843.1138,0.0,53.1098,0.0,48.2091,0.7578,,2.957,2.1739,10.0261,17.1202,22.3756,0.0,0.0,64.6707,0.0,,,,,1.9864,0.0,29.3804,0.1094,4.856,3.1406,0.5064,6.6926,2.057,4.0825,11.5074,7.116,395.57,75.752,0.4234,12.93,0.78,5.7349,0.3363,39.8842,3.2687,1.0297,42.3877,,,,,,533.85,8.95,3.0624,1.6765,14.9509,,2.363,
2008-07-19 12:32,-1,3095.78,2465.14,2230.4222,1463.6606,0.8294,102.3433,200.547,10.1548,414.7347,9.2599,191.2872,-5441.5,2604.25,-3498.75,-1640.25,7.39,68.4222,3.4171,84.9052,9.7997,50.6596,64.2828,49.3404,118.1188,78.25,2.773,352.2445,133.1727,724.8264,145.8445,631.2618,205.1695,2853.0,0.8073,352.0073,113.98,10.9036,19.1927,27.6301,697.1964,1.1598,154.3709,620.3582,82.3494,,,6.8043,1931.6464,8407.0299,,,731.2517,58.668,2.541,-0.0946,998.1081,37.9213,98.0,80.3,81.0,56.2,219.7679,0.2301,5.7,12.3319,6.285,13.077,0.5666,11.8428,0.35,,568.0,59.0,297.0,3277.0,2.2,1.1,17.99,10.14,16.358,6.92,9.05,82.986,3.74,19.59,0.316,11.65,8.02,3.74,3.659,15.078,0.358,8.96,8.02,134.25,0.0,3.9578,128.4285,1988.0,,,193.0287,3.8999,29.743,3.6327,29.0598,28.9862,22.3163,17.4008,83.5542,0.0767,1.8459,3.9011,2.1016,3.9483,0.1662,3.7836,,233.9865,26.5879,139.2082,1529.7622,5.6522,2.9939,5.2445,1.8045,2.7661,23.623,1.1506,5.9247,3.3604,7.7421,1.1506,1.1265,5.0108,0.1013,2.4278,2.489,41.708,,,46.3453,677.1873,,,65.0999,1.1655,10.5837,4.3465,2.5939,3.2858,2.5197,15.015,27.7464,5.5695,3.93,9.0604,0.0,368.9713,2.1196,6.1491,61.8918,3.1531,6.1188,1.4857,6.1911,2.8088,3.1595,10.4383,2.2655,8.4887,199.7866,8.6336,5.7093,1.6779,3.2153,48.5294,37.5793,16.4174,1.9562,5.1072,4.3737,7.6142,2.2568,6.9233,4.7448,1.4336,40.4475,4.7415,463.2883,5.5652,3.0652,10.2211,73.5536,19.4865,13.243,2.1627,30.8643,5.8042,0.0,1.2928,163.0249,0.0,246.7762,0.0,359.0444,130.635,820.79,194.4371,0.0,58.1666,3.6822,,3.2029,0.1441,6.6487,12.6788,23.6469,0.0,0.0,141.4365,0.0,,,,,1.6292,0.0,26.397,0.0673,6.6475,3.131,0.8832,8.837,1.791,2.9799,9.5796,7.116,408.798,74.64,0.7193,16.0,1.33,7.1196,0.4989,53.1836,3.9139,1.7819,18.1087,,,,,,535.0164,5.92,2.0111,1.1065,10.9003,208.2045,4.4447,208.2045
2008-07-19 13:17,1,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,202.0179,9.5157,416.7075,9.3144,192.7035,-5447.75,2701.75,-4047.0,-1916.5,7.5788,67.1333,3.5986,84.7569,8.659,50.153,64.1114,49.847,118.6128,14.37,5.434,364.3782,131.8027,734.7924,141.0845,637.2655,185.7574,2936.0,23.8245,364.5364,115.6273,11.3019,16.1755,24.2829,710.5095,0.8694,145.8,625.9636,84.7681,140.6972,485.2665,7.1041,1685.8514,9317.1698,,,718.5777,58.4808,2.882,-0.1892,998.444,42.0579,89.0,126.4,96.5,45.1001,306.038,0.3263,8.33,8.266,4.819,8.443,0.4909,8.2054,0.47,,562.0,788.0,759.0,2100.0,2.1,1.4,17.78,13.31,22.912,9.21,17.87,60.11,5.09,19.75,0.949,9.71,16.73,5.09,11.059,22.624,0.1164,13.3,16.73,79.618,0.0,2.4266,182.4956,839.6006,,,104.4042,4.1446,29.621,3.9133,23.551,41.3837,32.6256,15.7716,97.3868,0.1117,2.5274,2.8705,1.5306,2.5493,0.1479,2.8046,,251.4536,329.6406,325.0672,902.4576,5.7247,3.8541,6.1797,2.568,4.6067,16.0104,1.5481,5.9453,3.16,8.9855,1.5481,2.9844,6.2277,0.0353,3.7663,5.6983,24.7959,13.5664,15.4488,58.0575,283.6616,,,28.7334,1.2356,11.4871,4.0782,4.3102,3.7696,2.0627,18.0233,21.6062,8.7236,3.0609,5.2231,0.0,0.0,2.2943,4.0917,50.6425,2.0261,5.2707,1.8268,4.2581,3.7479,3.522,10.3162,29.1663,18.7546,109.5747,14.2503,5.765,0.8972,3.1281,60.0,70.9161,8.8647,0.4264,4.8795,7.5418,10.0984,3.1182,15.079,6.528,2.8042,32.3594,3.0301,21.3645,5.4178,9.3327,8.3977,148.0287,31.4674,45.5423,3.1842,13.3923,9.1221,0.0,2.6727,93.9245,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,34.1573,1.0281,,3.9238,1.5357,10.8251,18.9849,9.0113,0.0,0.0,240.7767,244.2748,,,,36.9067,2.9626,0.0,14.5293,0.0751,7.087,12.1831,0.6451,6.4568,2.1538,2.9667,9.3046,7.116,411.136,74.654,0.1832,16.16,0.85,7.1619,0.3752,23.0713,3.9306,1.1386,24.7524,267.064,1.1,0.4122,0.4119,68.8489,535.0245,11.21,4.0923,2.0952,9.2721,82.8602,3.1745,82.8602
2008-07-19 14:43,-1,2988.72,2479.9,2199.0333,909.7926,1.3204,104.2367,201.8482,9.6052,422.2894,9.6924,192.1557,-5468.25,2648.25,-4515.0,-1657.25,7.3145,62.9333,3.3813,84.9105,8.6789,50.51,64.1125,49.49,117.0442,76.9,1.279,363.0273,131.8027,733.8778,142.5427,637.3727,189.9079,2936.0,24.3791,361.4582,116.1818,13.5597,15.6209,23.4736,710.4043,0.9761,147.6545,625.2945,70.2289,160.321,464.9735,7.5925,1752.0968,8205.7,,,709.0867,58.6635,3.132,0.2838,980.451,41.1025,127.0,118.0,123.7,47.8,162.432,0.1915,5.51,13.2651,9.073,15.241,1.3029,11.9738,0.35,,859.0,355.0,3433.0,3004.0,1.7,0.9,16.22,14.67,22.562,5.69,18.2,52.571,5.92,23.6,1.264,10.63,13.56,5.92,11.382,24.32,0.3458,9.56,21.97,104.95,0.0,5.5398,152.0885,820.3999,,,94.0954,3.2119,31.83,3.1959,33.896,37.8477,44.3906,16.9347,50.3631,0.0581,2.1775,4.2154,2.896,4.0526,0.3882,3.9403,,415.5048,157.0889,1572.6896,1377.4276,5.444,4.19,6.3329,1.7339,4.966,15.7375,1.7317,6.6262,3.2699,9.402,1.7317,3.0672,6.6839,0.0928,3.0229,6.3292,29.0339,8.4026,4.8851,45.7058,309.8492,,,32.4228,1.1135,13.3972,5.6363,3.9482,4.9881,2.1737,17.8537,14.5054,5.286,2.4643,7.6602,317.7362,0.0,1.9689,6.5718,94.4594,3.6091,13.442,1.5441,6.2313,2.8049,4.9898,15.7089,13.4051,76.0354,181.2641,5.176,5.3899,1.3671,2.7013,34.0336,41.5236,7.1274,0.4097,4.468,6.9785,11.1303,3.0744,13.7105,3.9918,2.8555,27.6824,3.0301,24.2831,6.5291,12.3786,9.1494,100.0021,37.8979,48.4887,3.4234,35.4323,6.4746,0.0,3.5135,149.4399,225.0169,100.4883,305.75,88.5553,104.666,71.7583,0.0,336.766,72.9635,1.767,,3.1817,0.1488,8.6804,29.2542,9.9979,0.0,711.6418,113.5593,0.0,,,,4.12,2.4416,0.0,13.2699,0.0977,5.4751,6.7553,0.7404,6.4865,2.1565,3.2465,7.7754,7.116,372.822,72.442,1.8804,131.68,39.33,56.9303,17.4781,161.4081,35.3198,54.2917,62.7572,268.228,7.32,3.5611,2.729,25.0363,530.5682,9.33,2.8971,1.7585,8.5831,73.8432,2.0544,73.8432
2008-07-19 15:22,-1,3032.24,2502.87,2233.3667,1326.52,1.5334,100.3967,201.9424,10.5661,420.5925,10.3387,191.6037,-5476.25,2635.25,-3987.5,117.0,7.2748,62.8333,3.2728,86.3269,8.7677,50.248,64.1511,49.752,121.4364,76.39,2.209,353.34,176.3136,789.7523,138.0882,667.7418,233.5491,2865.0,-12.2945,355.0809,144.0191,21.9782,32.2945,44.1498,745.6025,0.9256,146.6636,645.7636,65.8417,,,7.5017,1828.3846,9014.46,,,796.595,58.3858,3.148,-0.5677,993.1274,38.1448,119.0,143.2,123.1,48.8,296.303,0.3744,3.64,14.2354,9.005,12.506,0.4434,13.9047,0.43,,699.0,283.0,1747.0,1443.0,3.9,0.8,15.24,10.85,37.715,3.98,25.54,72.149,5.52,15.76,0.519,10.71,19.77,5.52,8.446,33.832,0.3951,9.09,19.77,92.307,0.0,4.1338,69.151,1406.4004,,,149.2172,2.5775,19.862,3.6163,34.125,55.9626,53.0876,17.4864,88.7672,0.1092,1.0929,4.4239,3.2376,3.6536,0.1293,4.3474,,319.1252,128.0296,799.5884,628.3083,4.8956,2.913,11.0583,1.1229,7.3296,23.116,1.6216,4.7279,3.155,9.7777,1.6216,2.5923,10.5352,0.1301,3.0939,6.3767,32.0537,,,21.0312,494.7368,,,57.2692,0.8495,7.1493,5.3823,4.7226,4.9184,2.185,22.3369,24.4142,3.6256,3.3208,4.2178,0.0,866.0295,2.5046,7.0492,85.2255,2.9734,4.2892,1.2943,7.257,3.4473,3.8754,12.7642,10.739,43.8119,0.0,11.4064,2.0088,1.5533,6.2069,25.3521,37.4691,15.247,0.7198,4.3131,2.7092,6.1538,4.7756,11.4945,2.8822,3.8248,30.8924,5.3863,44.898,4.4384,5.2987,7.4365,89.9529,17.0927,19.1303,4.5375,42.6838,6.1979,0.0,3.0615,140.1953,171.4486,276.881,461.8619,240.1781,0.0,587.3773,748.1781,0.0,55.1057,2.2358,,3.2712,0.0372,3.7821,107.6905,15.6016,293.1396,0.0,148.0663,0.0,,,,,2.5512,0.0,18.7319,0.0616,4.4146,2.9954,2.2181,6.3745,2.0579,1.9999,9.4805,7.116,399.914,79.156,1.0388,19.63,1.98,9.7608,0.8311,70.9706,4.9086,2.5014,22.05,,,,,,532.0155,8.83,3.1776,1.6597,10.9698,,99.3032,73.8432
2008-07-19 17:53,-1,2946.25,2432.84,2233.3667,1326.52,1.5334,100.3967,200.472,8.6617,414.2426,9.2441,191.228,-6058.0,2953.75,-3906.5,193.75,3.0505,62.3778,3.52,85.4233,9.6484,50.5795,64.072,49.4205,117.4928,59.94,3.024,360.2873,142.2591,746.8692,137.6473,640.1936,192.7702,2865.0,28.2955,360.2409,130.5545,7.618,11.7045,18.3685,728.5007,0.9227,144.6982,635.4936,70.3707,,,6.7509,1832.6305,7869.7,,,748.0887,58.656,2.541,-0.0946,998.1081,37.9213,123.0,159.8,119.3,48.8,296.303,0.3744,3.64,12.3665,5.369,10.42,0.5564,11.8948,0.45,,2089.0,910.0,323.0,1157.0,1.7,0.9,19.7,14.38,35.535,7.92,21.62,82.556,6.61,24.22,1.003,11.8,21.78,6.61,9.679,34.8069,0.5217,12.32,34.99,111.952,0.0,2.8799,129.1731,1132.2998,,,158.2729,2.6668,29.743,3.6327,32.0878,52.6671,36.4696,17.4864,88.7672,0.1092,1.0929,3.9449,1.4873,3.1727,0.1614,3.8352,,982.8228,384.6101,152.4347,478.1502,5.5901,3.8197,10.178,2.3901,5.9858,25.2892,1.9589,6.9023,3.3583,10.4221,1.9589,2.6806,9.6731,0.1582,3.7242,9.5854,33.4938,,,42.1498,335.5983,,,58.2605,0.923,10.5837,5.4262,5.4238,4.9037,2.185,22.3369,24.4142,3.6256,3.3208,4.638,347.774,865.1584,1.4577,6.1687,61.9853,2.5154,6.0186,1.0841,6.2202,3.6019,3.6904,34.4833,30.8083,8.2683,597.1613,7.2788,2.0253,1.4752,2.7253,55.102,76.0159,3.4943,3.2918,5.4679,4.9282,10.1083,4.7579,13.0665,5.7538,3.3771,42.8261,5.2729,23.3606,6.7233,10.1989,9.0384,285.9,56.4737,52.6935,4.7779,56.539,8.5143,0.0,5.506,159.0889,325.3468,71.0586,0.0,826.936,0.0,78.3348,723.4234,273.8095,42.6594,8.2199,,2.7883,0.2873,7.0485,14.7656,14.3881,0.0,0.0,68.7351,622.2222,,,,4.6687,2.1027,0.0,21.157,0.0706,4.5466,4.406,2.9077,7.097,1.791,2.9799,9.5796,7.116,412.222,80.326,1.105,16.06,1.65,7.2448,0.6268,86.9463,3.896,2.0541,30.6277,254.006,4.75,1.8784,1.87,22.5598,534.2091,8.91,2.2598,1.6679,13.7755,44.0077,3.8276,44.0077
2008-07-19 19:44,-1,3030.27,2430.12,2230.4222,1463.6606,0.8294,102.3433,202.0901,9.035,415.8852,9.999,192.0912,-6154.0,2691.75,-3914.75,580.25,3.0515,60.8,3.4927,87.1543,9.1502,50.2847,64.2476,49.7153,121.8664,74.46,3.978,352.1836,132.3455,723.4934,146.4855,631.0145,201.7609,2853.0,2.1109,351.46,114.4564,12.74,17.8891,26.2754,697.218,1.115,152.3582,618.2745,83.4997,,,8.4126,1740.6472,9238.3601,,,806.2734,58.823,2.575,-0.4731,995.1991,36.9578,89.0,173.7,122.5,56.2,219.7679,0.2301,5.7,14.104,8.255,10.965,0.4136,13.8354,0.35,,2117.0,643.0,441.0,565.0,3.0,0.6,18.27,10.81,15.84,5.04,6.91,47.803,3.43,17.53,0.247,11.94,14.05,3.43,4.58,18.091,0.334,13.41,14.05,114.35,0.0,1.9062,65.3582,1046.2002,,,105.5219,3.4843,29.099,2.8,24.0522,53.0949,40.5089,17.4008,83.5542,0.0767,1.8459,4.3345,2.3404,3.8913,0.1207,4.2802,,1000.9579,276.541,181.7863,254.5432,4.9162,3.0709,5.1685,1.6849,2.1646,14.0744,0.8887,5.6179,3.4442,8.099,0.8887,1.1881,5.5104,0.0899,4.1816,3.7205,36.0395,,,23.0568,375.0252,,,39.0975,1.1262,9.5342,3.9873,5.7322,5.0409,2.5197,15.015,27.7464,5.5695,3.93,6.0381,326.1524,467.5756,2.5678,6.9791,91.3669,2.6365,4.1364,1.9544,7.2025,2.8088,6.1127,34.4004,23.8878,11.2651,97.3718,8.6069,2.258,4.2602,4.9342,24.1071,55.7395,3.1495,0.3887,5.1876,4.7207,8.168,2.1894,7.9894,3.4406,1.0951,23.6929,4.7415,162.4892,4.9878,2.3822,10.4319,110.283,19.1737,17.4307,2.5947,29.9535,8.8016,0.0,2.2725,136.9466,266.1526,509.0909,110.6781,189.4602,586.3636,0.0,355.7932,304.5139,22.6594,2.6373,,3.6587,0.3268,3.7548,41.0596,11.3245,0.0,723.3853,159.5238,748.3871,,,,,4.0505,0.0,13.0876,0.0988,5.9234,4.734,0.5157,8.4653,1.4336,2.9239,7.5762,7.116,404.356,72.04,0.1489,13.73,0.87,5.4711,0.371,29.4773,3.3955,1.2077,51.4535,,,,,,541.9036,6.48,2.2019,1.1958,8.3645,,2.8515,44.0077
2008-07-19 19:45,-1,3058.88,2690.15,2248.9,1004.4692,0.7884,106.24,202.417,13.6872,408.4017,9.6836,192.7334,-5395.5,2551.75,-3819.75,-737.0,7.3885,67.3,3.4588,83.8887,8.7289,50.4685,64.4021,49.5316,116.5628,78.09,2.671,358.67,142.2945,745.6875,136.6791,637.6436,133.6606,2865.0,29.1309,360.1382,131.4255,5.5936,10.8691,15.3094,730.3781,0.9965,144.3255,635.8891,57.0841,,,6.2166,1826.1111,9117.3699,,,778.3335,59.0421,2.27,0.7096,992.8298,40.5458,91.0,175.4,201.1,55.5,249.9639,0.0577,7.56,13.5649,19.388,14.952,1.3097,12.2552,0.48,,233.0,346.0,1429.0,807.0,1.9,1.1,13.92,14.09,37.242,7.61,21.7,11.961,4.72,24.7,1.026,12.72,12.63,4.72,4.496,35.803,0.7151,17.14,28.89,73.632,0.0,7.5616,126.1031,1222.1006,,,128.7632,2.7835,27.861,2.9057,29.3966,74.695,65.5784,19.9839,92.8285,0.0216,2.7959,4.3027,5.6741,3.7801,0.3878,4.0139,,106.4973,151.6605,652.0774,366.1448,4.8066,3.83,10.9128,2.7469,6.7634,3.3091,1.4892,6.7078,3.2599,11.2226,1.4892,1.6179,10.2964,0.1827,4.958,8.0261,22.1485,,,39.4817,376.4134,,,40.8608,0.962,10.8717,4.1681,5.7341,7.4754,2.4679,24.8852,7.321,7.116,2.8699,6.7774,399.362,0.0,3.306,6.7015,141.6508,3.6611,13.525,1.6483,6.3586,3.8319,3.3651,4.3184,13.5593,37.4108,109.498,12.1235,7.1384,1.4888,2.8232,39.4422,32.6055,11.1311,1.1227,3.881,3.9589,9.902,4.9943,9.147,5.5678,3.4032,8.9488,5.2729,16.2027,6.8585,10.428,9.6785,225.7941,43.4259,29.3676,4.902,71.7657,11.8759,0.0,4.5432,128.9887,374.6159,89.1323,484.1046,0.0,0.0,129.2388,0.0,440.8163,121.6359,2.5556,,3.8989,0.0527,6.9056,47.8698,13.4041,0.0,0.0,79.1209,0.0,,,,13.823,1.6426,0.0,16.5435,0.1232,4.7144,4.2075,2.6891,6.9889,1.4141,2.8062,7.1665,7.116,408.116,73.856,0.4455,15.97,0.76,6.4786,0.3589,72.153,3.9131,1.029,43.0771,265.09,7.78,3.2415,2.9349,23.6052,493.0054,278.19,92.5866,56.4274,16.0862,95.031,2.1261,95.031
2008-07-19 20:24,-1,2967.68,2600.47,2248.9,1004.4692,0.7884,106.24,202.4544,12.6837,417.6009,9.7046,192.7498,-4196.5,2059.5,-2948.0,622.75,2.2675,62.8,3.5067,85.4274,9.6234,50.4893,63.9315,49.5107,117.419,61.1,3.217,358.9564,142.7009,745.4127,138.3109,639.9682,216.9538,2865.0,26.9791,358.3473,129.68,8.8612,13.0209,19.9475,725.4652,0.9079,144.5455,632.5727,74.3992,,,7.6346,1788.8624,8615.27,,,748.563,58.7785,2.27,0.7096,992.8298,40.5458,91.0,136.1,116.8,55.5,249.9639,0.0577,7.56,13.3953,7.245,16.973,1.3892,12.0061,0.48,,5781.0,2900.0,3961.0,948.0,2.4,0.6,12.48,11.45,31.969,5.63,19.79,81.637,5.09,18.92,0.877,11.79,16.32,5.09,6.867,31.886,0.4077,7.18,25.3,90.715,0.0,2.8877,100.5114,740.3994,,,61.5139,2.8729,27.861,2.9057,29.3966,53.8333,44.2335,19.9839,92.8285,0.0216,2.7959,4.2453,2.277,3.9049,0.4127,3.9363,,2803.1611,1377.7589,1965.4555,423.4787,4.3824,3.0596,9.2406,1.6988,5.5396,21.5711,1.5156,5.1862,3.4278,8.7793,1.5156,2.1256,9.6503,0.1204,2.7826,7.1398,30.9028,,,35.7156,205.529,,,20.5522,1.0021,10.8717,4.1681,4.5861,4.4915,2.4679,24.8852,7.321,7.116,2.8699,6.153,496.3964,624.0602,3.1427,6.6164,57.1204,4.0644,14.3147,1.5571,6.2289,3.8319,3.9248,137.7577,140.8109,134.3623,152.228,133.5286,133.4845,134.0243,3.8217,27.9793,38.494,2.5951,2.9979,3.4767,3.6794,8.0238,4.2888,15.4539,4.0705,3.0923,37.6287,5.2729,18.8665,5.2798,8.9128,9.0916,184.1738,39.091,34.4251,4.3952,44.9089,4.9673,0.0,3.9995,121.9301,477.0328,106.1693,51.4694,892.1933,616.8421,86.1931,364.0719,155.6827,37.8245,2.5556,,1.7466,2.9308,5.6187,25.8449,8.594,0.0,686.5784,138.5827,395.2941,,,,6.5964,2.3441,0.0,8.2176,0.0727,4.8876,6.5231,2.0667,6.7934,1.4141,2.8062,7.1665,7.116,408.468,74.016,0.3469,17.54,1.36,8.2095,0.5478,51.7053,4.2941,1.8374,13.9158,265.184,6.28,2.2928,2.3682,18.212,535.1818,7.09,2.4902,1.3248,14.2892,111.6525,3.4456,111.6525
2008-07-19 21:35,-1,3016.11,2428.37,2248.9,1004.4692,0.7884,106.24,202.5999,12.4278,413.3677,9.7046,192.8953,-5357.5,2872.5,-3911.5,873.75,3.0995,67.0333,3.5207,83.8887,8.7289,50.4685,64.4021,49.5316,116.5628,78.09,2.671,360.6945,141.9964,746.1649,137.1391,639.83,194.3669,2865.0,28.3118,361.1809,130.3082,6.8983,11.6882,18.1525,728.0125,1.0028,147.1409,638.63,65.504,,,7.4956,1712.8033,9126.72,,,786.6071,58.3664,2.27,0.7096,992.8298,40.5458,123.0,175.8,211.9,55.5,249.9639,0.0577,7.56,13.3764,13.545,18.186,1.2564,12.1224,0.48,,862.0,882.0,422.0,186.0,2.5,0.8,14.9,14.36,36.258,10.29,23.39,43.062,6.18,14.7,1.179,17.58,5.58,6.18,5.58,38.652,0.6348,24.97,21.47,109.867,0.0,4.2936,138.5192,1266.0,,,123.1775,2.9198,27.861,2.9057,30.9815,69.3175,72.1316,19.9839,92.8285,0.0216,2.7959,4.2495,3.351,4.5845,0.3714,3.9676,,354.072,392.7259,179.359,76.6219,4.9838,3.8947,10.6022,3.1792,6.8929,12.2822,1.9743,4.6386,5.0014,11.5511,1.9743,1.6883,11.4445,0.229,6.2758,7.2497,37.0311,,,43.4619,406.3592,,,42.0501,1.0207,10.8717,5.6188,5.8287,8.726,2.4679,24.8852,7.321,7.116,2.8699,4.7137,397.4922,979.2574,3.6422,6.6024,108.9894,4.3995,12.9464,1.8549,6.2845,3.8319,3.0589,16.0896,30.705,10.7887,21.2876,8.4421,2.9246,0.7098,3.7295,33.6449,45.7453,2.7268,1.1227,4.1309,5.2213,10.1129,4.8592,8.2658,7.5033,3.6557,22.155,5.2729,21.8283,4.07,12.1954,13.4911,80.8892,52.8739,30.7396,5.3092,63.2981,16.9701,0.0,3.3619,167.7256,790.5782,104.004,979.8817,816.9231,497.603,119.3208,115.01,0.0,57.2817,3.2587,,3.55,0.671,8.0873,44.0988,13.8714,0.0,0.0,86.0068,0.0,,,,7.9931,2.6612,0.0,15.6593,0.1007,5.0025,7.4717,0.4676,7.4985,1.4141,2.8062,7.1665,7.116,396.504,75.06,0.7399,15.15,1.11,6.509,0.4257,81.5915,3.8209,1.4788,20.9776,265.206,7.04,3.2894,2.6545,5.8617,533.42,3.54,1.0395,0.6636,7.4181,90.2294,3.0687,90.2294
